team_id,class,team_name,rank,1試合平均空中戦勝利数
001,J1,鹿島アントラーズ,7,18.0
002,J1,川崎フロンターレ,14,13.9
003,J1,セレッソ大阪,19,11.7
004,J1,清水エスパルス,13,14.1
005,J1,京都サンガF.C.,3,21.0
006,J1,浦和レッズ,9,17.0
007,J1,名古屋グランパス,11,15.6
008,J1,柏レイソル,15,13.8
009,J1,ＦＣ町田ゼルビア,2,26.0
010,J1,ガンバ大阪,16,13.5
011,J1,アビスパ福岡,4,19.3
012,J1,アルビレックス新潟,17,12.3
013,J1,サンフレッチェ広島,4,19.3
014,J1,横浜Ｆ・マリノス,20,11.6
015,J1,ヴィッセル神戸,1,26.2
016,J1,ファジアーノ岡山,6,19.1
017,J1,湘南ベルマーレ,18,12.1
018,J1,ＦＣ東京,12,14.3
019,J1,東京ヴェルディ,8,17.8
020,J1,横浜ＦＣ,10,16.8
