team_id,class,team_name,rank,空中戦勝率
001,J1,鹿島アントラーズ,5,51.4
002,J1,川崎フロンターレ,12,49.3
003,J1,セレッソ大阪,7,50.7
004,J1,清水エスパルス,15,48.3
005,J1,京都サンガF.C.,16,48.2
006,J1,浦和レッズ,14,49.0
007,J1,名古屋グランパス,13,49.1
008,J1,柏レイソル,3,52.7
009,J1,ＦＣ町田ゼルビア,1,59.1
010,J1,ガンバ大阪,20,43.0
011,J1,アビスパ福岡,4,52.3
012,J1,アルビレックス新潟,19,43.4
013,J1,サンフレッチェ広島,9,50.2
014,J1,横浜Ｆ・マリノス,17,47.8
015,J1,ヴィッセル神戸,6,50.9
016,J1,ファジアーノ岡山,8,50.4
017,J1,湘南ベルマーレ,18,44.6
018,J1,ＦＣ東京,10,50.1
019,J1,東京ヴェルディ,11,49.7
020,J1,横浜ＦＣ,2,54.9
