team_id,class,team_name,rank,平均ボール支配率
001,J1,鹿島アントラーズ,15,47.2
002,J1,川崎フロンターレ,12,49.4
003,J1,セレッソ大阪,3,53.9
004,J1,清水エスパルス,9,49.7
005,J1,京都サンガF.C.,9,49.7
006,J1,浦和レッズ,13,49.2
007,J1,名古屋グランパス,16,47.0
008,J1,柏レイソル,1,58.6
009,J1,ＦＣ町田ゼルビア,14,47.3
010,J1,ガンバ大阪,7,51.5
011,J1,アビスパ福岡,19,44.4
012,J1,アルビレックス新潟,6,52.1
013,J1,サンフレッチェ広島,5,52.4
014,J1,横浜Ｆ・マリノス,2,55.8
015,J1,ヴィッセル神戸,3,53.9
016,J1,ファジアーノ岡山,20,44.1
017,J1,湘南ベルマーレ,8,51.2
018,J1,ＦＣ東京,11,49.6
019,J1,東京ヴェルディ,17,46.2
020,J1,横浜ＦＣ,18,44.8
