team_id,class,team_name,rank,1試合平均ブロック数
001,J1,鹿島アントラーズ,20,17.7
002,J1,川崎フロンターレ,7,21.1
003,J1,セレッソ大阪,4,21.4
004,J1,清水エスパルス,17,18.5
005,J1,京都サンガF.C.,13,19.7
006,J1,浦和レッズ,3,21.8
007,J1,名古屋グランパス,18,18.3
008,J1,柏レイソル,5,21.3
009,J1,ＦＣ町田ゼルビア,9,20.5
010,J1,ガンバ大阪,13,19.7
011,J1,アビスパ福岡,16,18.7
012,J1,アルビレックス新潟,15,19.4
013,J1,サンフレッチェ広島,11,20.4
014,J1,横浜Ｆ・マリノス,9,20.5
015,J1,ヴィッセル神戸,19,17.9
016,J1,ファジアーノ岡山,8,20.8
017,J1,湘南ベルマーレ,2,22.3
018,J1,ＦＣ東京,12,19.9
019,J1,東京ヴェルディ,1,23.5
020,J1,横浜ＦＣ,5,21.3
