team_id,class,team_name,rank,1試合平均クリア数
001,J1,鹿島アントラーズ,15,21.9
002,J1,川崎フロンターレ,17,21.2
003,J1,セレッソ大阪,16,21.8
004,J1,清水エスパルス,8,24.1
005,J1,京都サンガF.C.,4,25.5
006,J1,浦和レッズ,5,25.3
007,J1,名古屋グランパス,6,24.5
008,J1,柏レイソル,3,25.9
009,J1,ＦＣ町田ゼルビア,18,20.9
010,J1,ガンバ大阪,6,24.5
011,J1,アビスパ福岡,10,23.4
012,J1,アルビレックス新潟,14,22.1
013,J1,サンフレッチェ広島,20,17.3
014,J1,横浜Ｆ・マリノス,9,24.0
015,J1,ヴィッセル神戸,12,22.7
016,J1,ファジアーノ岡山,1,29.7
017,J1,湘南ベルマーレ,13,22.3
018,J1,ＦＣ東京,11,22.8
019,J1,東京ヴェルディ,2,26.8
020,J1,横浜ＦＣ,18,20.9
