team_id,class,team_name,rank,1試合平均クロス数
001,J1,鹿島アントラーズ,6,14.4
002,J1,川崎フロンターレ,9,14.3
003,J1,セレッソ大阪,9,14.3
004,J1,清水エスパルス,13,13.8
005,J1,京都サンガF.C.,15,13.2
006,J1,浦和レッズ,13,13.8
007,J1,名古屋グランパス,19,11.1
008,J1,柏レイソル,6,14.4
009,J1,ＦＣ町田ゼルビア,4,14.8
010,J1,ガンバ大阪,5,14.7
011,J1,アビスパ福岡,9,14.3
012,J1,アルビレックス新潟,18,11.2
013,J1,サンフレッチェ広島,1,19.8
014,J1,横浜Ｆ・マリノス,12,14.2
015,J1,ヴィッセル神戸,2,18.5
016,J1,ファジアーノ岡山,3,16.9
017,J1,湘南ベルマーレ,16,13.0
018,J1,ＦＣ東京,20,9.7
019,J1,東京ヴェルディ,17,11.7
020,J1,横浜ＦＣ,6,14.4
