team_id,class,team_name,rank,1試合平均ドリブル数
001,J1,鹿島アントラーズ,10,10.4
002,J1,川崎フロンターレ,5,11.3
003,J1,セレッソ大阪,1,13.3
004,J1,清水エスパルス,2,12.9
005,J1,京都サンガF.C.,20,6.5
006,J1,浦和レッズ,3,11.9
007,J1,名古屋グランパス,19,7.5
008,J1,柏レイソル,4,11.8
009,J1,ＦＣ町田ゼルビア,14,9.9
010,J1,ガンバ大阪,18,9.1
011,J1,アビスパ福岡,7,10.7
012,J1,アルビレックス新潟,17,9.5
013,J1,サンフレッチェ広島,10,10.4
014,J1,横浜Ｆ・マリノス,7,10.7
015,J1,ヴィッセル神戸,12,10.3
016,J1,ファジアーノ岡山,15,9.8
017,J1,湘南ベルマーレ,9,10.5
018,J1,ＦＣ東京,6,10.8
019,J1,東京ヴェルディ,15,9.8
020,J1,横浜ＦＣ,13,10.2
