team_id,class,team_name,rank,value
001,J1,鹿島アントラーズ,11,46.4
002,J1,川崎フロンターレ,6,47.8
003,J1,セレッソ大阪,16,43.1
004,J1,清水エスパルス,17,42.6
005,J1,京都サンガF.C.,4,50.0
006,J1,浦和レッズ,3,53.5
007,J1,名古屋グランパス,15,44.4
008,J1,柏レイソル,10,46.5
009,J1,ＦＣ町田ゼルビア,12,46.2
010,J1,ガンバ大阪,7,47.7
011,J1,アビスパ福岡,9,46.9
012,J1,アルビレックス新潟,8,47.4
013,J1,サンフレッチェ広島,17,42.6
014,J1,横浜Ｆ・マリノス,4,50.0
015,J1,ヴィッセル神戸,20,42.5
016,J1,ファジアーノ岡山,1,56.4
017,J1,湘南ベルマーレ,2,54.8
018,J1,ＦＣ東京,17,42.6
019,J1,東京ヴェルディ,14,44.9
020,J1,横浜ＦＣ,13,45.9
