team_id,class,team_name,rank,value
001,J1,鹿島アントラーズ,5,15.1
002,J1,川崎フロンターレ,1,17.8
003,J1,セレッソ大阪,2,16.8
004,J1,清水エスパルス,8,14.3
005,J1,京都サンガF.C.,6,15.0
006,J1,浦和レッズ,10,13.3
007,J1,名古屋グランパス,19,11.0
008,J1,柏レイソル,18,11.3
009,J1,ＦＣ町田ゼルビア,11,13.2
010,J1,ガンバ大阪,4,15.3
011,J1,アビスパ福岡,3,15.4
012,J1,アルビレックス新潟,14,12.6
013,J1,サンフレッチェ広島,9,13.9
014,J1,横浜Ｆ・マリノス,16,11.9
015,J1,ヴィッセル神戸,15,12.0
016,J1,ファジアーノ岡山,7,14.3
017,J1,湘南ベルマーレ,13,12.7
018,J1,ＦＣ東京,12,12.9
019,J1,東京ヴェルディ,20,9.5
020,J1,横浜ＦＣ,17,11.3
