team_id,class,team_name,rank,被ゴール期待値
001,J1,鹿島アントラーズ,5,15.6
002,J1,川崎フロンターレ,14,11.6
003,J1,セレッソ大阪,6,15.3
004,J1,清水エスパルス,9,14.7
005,J1,京都サンガF.C.,1,17.3
006,J1,浦和レッズ,8,15.0
007,J1,名古屋グランパス,2,16.1
008,J1,柏レイソル,4,15.7
009,J1,ＦＣ町田ゼルビア,17,10.8
010,J1,ガンバ大阪,15,11.3
011,J1,アビスパ福岡,16,10.9
012,J1,アルビレックス新潟,7,15.0
013,J1,サンフレッチェ広島,20,9.0
014,J1,横浜Ｆ・マリノス,3,16.1
015,J1,ヴィッセル神戸,18,10.0
016,J1,ファジアーノ岡山,11,14.2
017,J1,湘南ベルマーレ,12,13.5
018,J1,ＦＣ東京,10,14.6
019,J1,東京ヴェルディ,13,12.9
020,J1,横浜ＦＣ,19,10.0
