team_id,class,team_name,rank,被ゴール期待値 ※PKを除く
001,J1,鹿島アントラーズ,6,14.8
002,J1,川崎フロンターレ,16,10.8
003,J1,セレッソ大阪,7,14.4
004,J1,清水エスパルス,10,13.1
005,J1,京都サンガF.C.,2,15.7
006,J1,浦和レッズ,4,15.0
007,J1,名古屋グランパス,1,16.1
008,J1,柏レイソル,5,14.9
009,J1,ＦＣ町田ゼルビア,17,10.8
010,J1,ガンバ大阪,14,11.3
011,J1,アビスパ福岡,15,10.9
012,J1,アルビレックス新潟,9,13.4
013,J1,サンフレッチェ広島,20,9.0
014,J1,横浜Ｆ・マリノス,3,15.3
015,J1,ヴィッセル神戸,18,9.2
016,J1,ファジアーノ岡山,11,12.6
017,J1,湘南ベルマーレ,13,11.8
018,J1,ＦＣ東京,8,13.8
019,J1,東京ヴェルディ,12,12.1
020,J1,横浜ＦＣ,19,9.2
