team_id,class,team_name,rank,1試合平均1vs1勝利数
001,J1,鹿島アントラーズ,14,15.4
002,J1,川崎フロンターレ,10,16.5
003,J1,セレッソ大阪,7,17.2
004,J1,清水エスパルス,3,17.9
005,J1,京都サンガF.C.,17,15.2
006,J1,浦和レッズ,11,16.3
007,J1,名古屋グランパス,19,14.3
008,J1,柏レイソル,11,16.3
009,J1,ＦＣ町田ゼルビア,20,14.0
010,J1,ガンバ大阪,2,19.8
011,J1,アビスパ福岡,18,14.8
012,J1,アルビレックス新潟,15,15.3
013,J1,サンフレッチェ広島,13,15.7
014,J1,横浜Ｆ・マリノス,8,16.8
015,J1,ヴィッセル神戸,15,15.3
016,J1,ファジアーノ岡山,3,17.9
017,J1,湘南ベルマーレ,1,21.0
018,J1,ＦＣ東京,8,16.8
019,J1,東京ヴェルディ,3,17.9
020,J1,横浜ＦＣ,6,17.7
