team_id,class,team_name,rank,1試合平均パス数
001,J1,鹿島アントラーズ,14,415.8
002,J1,川崎フロンターレ,9,472.6
003,J1,セレッソ大阪,2,572.1
004,J1,清水エスパルス,7,483.0
005,J1,京都サンガF.C.,19,385.1
006,J1,浦和レッズ,12,448.0
007,J1,名古屋グランパス,13,416.9
008,J1,柏レイソル,1,627.4
009,J1,ＦＣ町田ゼルビア,17,391.4
010,J1,ガンバ大阪,5,505.5
011,J1,アビスパ福岡,18,386.2
012,J1,アルビレックス新潟,4,538.1
013,J1,サンフレッチェ広島,6,490.6
014,J1,横浜Ｆ・マリノス,3,557.4
015,J1,ヴィッセル神戸,11,458.0
016,J1,ファジアーノ岡山,20,359.3
017,J1,湘南ベルマーレ,8,476.5
018,J1,ＦＣ東京,10,467.5
019,J1,東京ヴェルディ,15,408.9
020,J1,横浜ＦＣ,16,397.9
