team_id,class,team_name,rank,パス成功率
001,J1,鹿島アントラーズ,15,73.1
002,J1,川崎フロンターレ,8,77.7
003,J1,セレッソ大阪,2,82.3
004,J1,清水エスパルス,6,77.8
005,J1,京都サンガF.C.,19,67.7
006,J1,浦和レッズ,9,76.9
007,J1,名古屋グランパス,12,74.5
008,J1,柏レイソル,1,82.8
009,J1,ＦＣ町田ゼルビア,18,71.3
010,J1,ガンバ大阪,5,78.0
011,J1,アビスパ福岡,14,73.3
012,J1,アルビレックス新潟,4,80.5
013,J1,サンフレッチェ広島,11,76.4
014,J1,横浜Ｆ・マリノス,2,82.3
015,J1,ヴィッセル神戸,16,71.7
016,J1,ファジアーノ岡山,20,67.6
017,J1,湘南ベルマーレ,10,76.8
018,J1,ＦＣ東京,6,77.8
019,J1,東京ヴェルディ,13,73.9
020,J1,横浜ＦＣ,17,71.4
