team_id,class,team_name,rank,1試合平均シュート数
001,J1,鹿島アントラーズ,9,11.5
002,J1,川崎フロンターレ,5,12.1
003,J1,セレッソ大阪,1,13.8
004,J1,清水エスパルス,5,12.1
005,J1,京都サンガF.C.,12,10.5
006,J1,浦和レッズ,7,11.8
007,J1,名古屋グランパス,19,9.3
008,J1,柏レイソル,14,10.2
009,J1,ＦＣ町田ゼルビア,11,10.7
010,J1,ガンバ大阪,3,12.8
011,J1,アビスパ福岡,2,13.4
012,J1,アルビレックス新潟,10,11.1
013,J1,サンフレッチェ広島,4,12.6
014,J1,横浜Ｆ・マリノス,16,9.9
015,J1,ヴィッセル神戸,15,10.1
016,J1,ファジアーノ岡山,8,11.6
017,J1,湘南ベルマーレ,13,10.3
018,J1,ＦＣ東京,16,9.9
019,J1,東京ヴェルディ,18,9.8
020,J1,横浜ＦＣ,20,9.0
