team_id,class,team_name,rank,1試合平均被シュート数
001,J1,鹿島アントラーズ,8,11.2
002,J1,川崎フロンターレ,15,10.1
003,J1,セレッソ大阪,1,13.2
004,J1,清水エスパルス,10,11.0
005,J1,京都サンガF.C.,2,13.0
006,J1,浦和レッズ,10,11.0
007,J1,名古屋グランパス,5,12.3
008,J1,柏レイソル,5,12.3
009,J1,ＦＣ町田ゼルビア,19,9.3
010,J1,ガンバ大阪,13,10.8
011,J1,アビスパ福岡,16,9.7
012,J1,アルビレックス新潟,8,11.2
013,J1,サンフレッチェ広島,20,9.1
014,J1,横浜Ｆ・マリノス,3,12.9
015,J1,ヴィッセル神戸,17,9.5
016,J1,ファジアーノ岡山,7,11.7
017,J1,湘南ベルマーレ,10,11.0
018,J1,ＦＣ東京,4,12.7
019,J1,東京ヴェルディ,14,10.7
020,J1,横浜ＦＣ,17,9.5
