team_id,class,team_name,rank,1試合平均タックル数
001,J1,鹿島アントラーズ,8,19.0
002,J1,川崎フロンターレ,16,16.9
003,J1,セレッソ大阪,7,19.1
004,J1,清水エスパルス,10,18.6
005,J1,京都サンガF.C.,6,19.6
006,J1,浦和レッズ,18,15.7
007,J1,名古屋グランパス,13,17.8
008,J1,柏レイソル,17,16.5
009,J1,ＦＣ町田ゼルビア,20,14.4
010,J1,ガンバ大阪,2,22.7
011,J1,アビスパ福岡,19,15.6
012,J1,アルビレックス新潟,12,17.9
013,J1,サンフレッチェ広島,14,17.2
014,J1,横浜Ｆ・マリノス,15,17.1
015,J1,ヴィッセル神戸,11,18.2
016,J1,ファジアーノ岡山,5,19.8
017,J1,湘南ベルマーレ,1,23.7
018,J1,ＦＣ東京,8,19.0
019,J1,東京ヴェルディ,3,21.8
020,J1,横浜ＦＣ,4,20.3
