team_id,class,team_name,rank,value
001,J1,鹿島アントラーズ,20,55.7
002,J1,川崎フロンターレ,5,65.5
003,J1,セレッソ大阪,19,59.8
004,J1,清水エスパルス,2,66.8
005,J1,京都サンガF.C.,16,61.2
006,J1,浦和レッズ,11,63.2
007,J1,名古屋グランパス,14,62.0
008,J1,柏レイソル,7,65.2
009,J1,ＦＣ町田ゼルビア,6,65.3
010,J1,ガンバ大阪,1,68.0
011,J1,アビスパ福岡,12,63.1
012,J1,アルビレックス新潟,17,60.5
013,J1,サンフレッチェ広島,4,65.6
014,J1,横浜Ｆ・マリノス,2,66.8
015,J1,ヴィッセル神戸,18,60.0
016,J1,ファジアーノ岡山,13,62.6
017,J1,湘南ベルマーレ,8,64.4
018,J1,ＦＣ東京,9,64.0
019,J1,東京ヴェルディ,15,61.8
020,J1,横浜ＦＣ,10,63.9
