team_id,class,team_name,rank,1試合平均スルーパス数
001,J1,鹿島アントラーズ,9,13.3
002,J1,川崎フロンターレ,7,14.1
003,J1,セレッソ大阪,2,16.0
004,J1,清水エスパルス,3,15.9
005,J1,京都サンガF.C.,10,12.5
006,J1,浦和レッズ,8,14.0
007,J1,名古屋グランパス,18,9.9
008,J1,柏レイソル,1,18.8
009,J1,ＦＣ町田ゼルビア,19,9.5
010,J1,ガンバ大阪,6,14.4
011,J1,アビスパ福岡,16,10.4
012,J1,アルビレックス新潟,12,11.9
013,J1,サンフレッチェ広島,5,14.5
014,J1,横浜Ｆ・マリノス,12,11.9
015,J1,ヴィッセル神戸,15,10.8
016,J1,ファジアーノ岡山,11,12.3
017,J1,湘南ベルマーレ,4,14.9
018,J1,ＦＣ東京,14,11.3
019,J1,東京ヴェルディ,17,10.2
020,J1,横浜ＦＣ,20,9.1
