team_id,class,team_name,rank,スルーパス成功率
001,J1,鹿島アントラーズ,14,41.9
002,J1,川崎フロンターレ,3,54.4
003,J1,セレッソ大阪,11,44.8
004,J1,清水エスパルス,8,47.1
005,J1,京都サンガF.C.,20,34.4
006,J1,浦和レッズ,1,58.2
007,J1,名古屋グランパス,13,42.0
008,J1,柏レイソル,6,50.9
009,J1,ＦＣ町田ゼルビア,19,36.0
010,J1,ガンバ大阪,5,52.0
011,J1,アビスパ福岡,9,46.4
012,J1,アルビレックス新潟,4,53.8
013,J1,サンフレッチェ広島,7,47.5
014,J1,横浜Ｆ・マリノス,16,41.3
015,J1,ヴィッセル神戸,2,55.5
016,J1,ファジアーノ岡山,17,40.5
017,J1,湘南ベルマーレ,12,43.6
018,J1,ＦＣ東京,15,41.5
019,J1,東京ヴェルディ,10,45.1
020,J1,横浜ＦＣ,18,39.5
