節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１節第１日,j1_2026_02061903_横浜FM_町田,2026-02-06 19:03:00,横浜FM,町田,2.0,3.0,-3.0,False,0.203,0.224,0.573,A,A,True,A
第１節第１日,j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,京都,神戸,1.0,1.0,0.0,False,0.37,0.26,0.37,D,D,True,D
第１節第３日,j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,福岡,岡山,1.0,1.0,-0.5,False,0.341,0.254,0.405,D,D,True,D
第１節第３日,j1_2026_02081403_名古屋_清水,2026-02-08 14:03:00,名古屋,清水,1.0,0.0,3.0,True,0.573,0.224,0.203,H,H,True,H
第１節第３日,j1_2026_02081603_東京Ｖ_水戸,2026-02-08 16:03:00,東京Ｖ,水戸,3.0,1.0,2.5,True,0.542,0.23,0.228,H,H,True,H
第１節第３日,j1_2026_02081503_川崎Ｆ_柏,2026-02-08 15:03:00,川崎Ｆ,柏,5.0,3.0,3.0,True,0.573,0.224,0.203,H,H,True,H
第１節第２日,j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,Ｃ大阪,Ｇ大阪,0.0,0.0,0.0,False,0.37,0.26,0.37,D,D,True,D
第１節第２日,j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,FC東京,鹿島,1.0,1.0,0.0,False,0.37,0.26,0.37,H,D,False,H
第１節第２日,j1_2026_02071304_千葉_浦和,2026-02-07 13:04:00,千葉,浦和,0.0,2.0,-1.5,False,0.283,0.242,0.475,A,A,True,A
第１節第１日,j1_2026_02061906_長崎_広島,2026-02-06 19:06:00,長崎,広島,1.0,3.0,-3.0,False,0.203,0.224,0.573,A,A,True,A
第２節第１日,j1_2026_02141403_町田_水戸,2026-02-14 14:03:00,町田,水戸,2.0,2.0,0.5,True,0.429,0.25,0.321,D,D,True,D
第２節第３日,j1_2026_02151503_福岡_Ｃ大阪,2026-02-15 15:03:00,福岡,Ｃ大阪,0.0,2.0,-2.5,False,0.228,0.23,0.542,A,A,True,A
第２節第２日,j1_2026_02151403_柏_東京Ｖ,2026-02-15 14:03:00,柏,東京Ｖ,1.0,2.0,-3.0,False,0.19,0.221,0.59,A,A,True,A
第２節第２日,j1_2026_02151303_千葉_川崎Ｆ,2026-02-15 13:03:00,千葉,川崎Ｆ,0.0,0.0,-0.5,False,0.321,0.25,0.429,A,D,False,A
第２節第２日,j1_2026_02141403_清水_京都,2026-02-14 14:03:00,清水,京都,1.0,1.0,0.0,False,0.363,0.259,0.378,D,D,True,D
第２節第２日,j1_2026_02141403_広島_岡山,2026-02-14 14:03:00,広島,岡山,1.0,1.0,0.0,False,0.382,0.258,0.36,H,D,False,H
第２節第１日,j1_2026_02141503_鹿島_横浜FM,2026-02-14 15:03:00,鹿島,横浜FM,1.0,0.0,3.0,True,0.586,0.221,0.193,H,H,True,H
第２節第１日,j1_2026_02141503_FC東京_浦和,2026-02-14 15:03:00,FC東京,浦和,1.0,1.0,-1.0,False,0.299,0.245,0.455,A,D,False,A
第２節第１日,j1_2026_02131903_神戸_長崎,2026-02-13 19:03:00,神戸,長崎,2.0,0.0,3.0,True,0.586,0.221,0.193,H,H,True,H
第２節第３日,j1_2026_02151603_Ｇ大阪_名古屋,2026-02-15 16:03:00,Ｇ大阪,名古屋,0.0,0.0,0.0,False,0.363,0.259,0.378,A,D,False,A
第３節第２日,j1_2026_02221500_Ｃ大阪_広島,2026-02-22 15:00:00,Ｃ大阪,広島,,,-2.0,False,0.244,0.234,0.522,A,,False,A
第３節第２日,j1_2026_02221400_岡山_Ｇ大阪,2026-02-22 14:00:00,岡山,Ｇ大阪,,,-1.0,False,0.314,0.248,0.437,A,,False,A
第３節第２日,j1_2026_02221400_京都_福岡,2026-02-22 14:00:00,京都,福岡,,,1.0,True,0.455,0.245,0.3,H,,False,H
第３節第２日,j1_2026_02221400_水戸_千葉,2026-02-22 14:00:00,水戸,千葉,,,0.0,False,0.38,0.258,0.361,D,,False,D
第３節第１日,j1_2026_02211500_名古屋_長崎,2026-02-21 15:00:00,名古屋,長崎,,,3.0,True,0.619,0.214,0.167,H,,False,H
第３節第１日,j1_2026_02211430_清水_神戸,2026-02-21 14:30:00,清水,神戸,,,0.0,False,0.342,0.254,0.404,A,,False,A
第３節第１日,j1_2026_02211600_鹿島_柏,2026-02-21 16:00:00,鹿島,柏,,,3.0,True,0.609,0.216,0.174,H,,False,H
第３節第１日,j1_2026_02211500_川崎Ｆ_FC東京,2026-02-21 15:00:00,川崎Ｆ,FC東京,,,3.0,True,0.593,0.22,0.187,H,,False,H
第３節第１日,j1_2026_02211400_横浜FM_浦和,2026-02-21 14:00:00,横浜FM,浦和,,,-2.0,False,0.209,0.225,0.566,A,,False,A
第３節第１日,j1_2026_02211400_東京Ｖ_町田,2026-02-21 14:00:00,東京Ｖ,町田,,,0.0,False,0.379,0.259,0.363,D,,False,D
第４節第３日,j1_2026_03011400_岡山_名古屋,2026-03-01 14:00:00,岡山,名古屋,,,-1.0,False,0.294,0.244,0.462,A,,False,A
第４節第３日,j1_2026_03011600_川崎Ｆ_水戸,2026-03-01 16:00:00,川崎Ｆ,水戸,,,2.5,True,0.586,0.221,0.193,H,,False,H
第４節第２日,j1_2026_02281700_長崎_Ｃ大阪,2026-02-28 17:00:00,長崎,Ｃ大阪,,,-3.0,False,0.155,0.211,0.634,A,,False,A
第４節第２日,j1_2026_02281500_Ｇ大阪_清水,2026-02-28 15:00:00,Ｇ大阪,清水,,,1.0,True,0.475,0.242,0.283,H,,False,H
第４節第２日,j1_2026_02281500_FC東京_柏,2026-02-28 15:00:00,FC東京,柏,,,1.0,True,0.485,0.24,0.274,H,,False,H
第４節第２日,j1_2026_02281400_浦和_鹿島,2026-02-28 14:00:00,浦和,鹿島,,,-1.0,False,0.327,0.251,0.422,D,,False,D
