season,round_start,expected_rounds,origin_competition_key,applies_across_competitions,start_date,expected_weeks,expected_return_date,team,player_name,absence_type,availability,note,match_player_key,match_status,weight_minutes,weight_attack,weight_defense,impact_attack,impact_defense,impact_total,impact_total_per_round,regular_flag,debug_reason
2026,,,special_2026,1,2026-04-08,,2026-10-07,いわき,柴田壮介,injury,out,公式 右膝前十字靱帯損傷、右膝外側半月板損傷で全治6ヶ月程度を要する見込み,2026|いわき|柴田壮介,matched,0.0625,0.25,0.0625,0.25,0.0625,0.1,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-03-26,,2026-12-24,ロアッソ熊本,武者大夢,injury,out,左膝前十字靭帯損傷、左膝外側半月板損傷で加療期間は手術日より約9ヶ月,2026|ロアッソ熊本|武者大夢,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-14,,2026-08-13,京都,マルコトゥーリオ,injury,out,公式 左長内転筋腱断裂で全治約3ヶ月,2026|京都|マルコトゥーリオ,matched,0.0625,0.5,0.0625,0.5,0.0625,0.15,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-03-03,,2026-09-01,山口,沼田航征,injury,out,右肩腱板断裂、右肩反復性肩関節脱臼の手術を行い、術後6ヶ月程度の加療予定,2026|山口|沼田航征,matched,0.03125,0.0,0.03125,0.0,0.03125,0.025,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-04-26,,2026-08-25,新潟,小野裕二,injury,out,公式 左内側半月板損傷で全治約4ヶ月の見込み,2026|新潟|小野裕二,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-23,,2026-08-22,新潟,落合陸,injury,out,公式 左膝外側半月板損傷で全治約3か月の見込み,2026|新潟|落合陸,matched,0.0625,0.0,0.0625,0.0,0.0625,0.05,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-27,,2026-09-25,栃木SC,櫻庭立樹,injury,out,公式 右膝外側半月板損傷で復帰まで約4〜6ヶ月を要する見込み,2026|栃木SC|櫻庭立樹,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-03-26,,2026-09-24,横浜FM,遠野大弥,injury,out,右アキレス腱断裂で全治6ヶ月の見込み,2026|横浜FM|遠野大弥,matched,0.0625,0.5,0.0625,0.5,0.0625,0.15,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-28,,2026-11-26,福岡,福島和毅,injury,out,公式 右膝外側半月板損傷で全治6か月,2026|福岡|福島和毅,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-19,,2027-01-17,鳥栖,水巻時飛,injury,out,公式 左足前十字靭帯損傷で全治8ヶ月,2026|鳥栖|水巻時飛,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
