team_name,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
鹿島アントラーズ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
鹿島アントラーズ,0,0,0,0,0,0,0%,0%,0,0,0,
浦和レッズ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
浦和レッズ,0,0,0,0,0,0,0%,0%,0,0,0,
柏レイソル,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
柏レイソル,0,0,0,0,0,0,0%,0%,0,0,0,
ＦＣ東京,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
ＦＣ東京,0,0,0,0,0,0,0%,0%,0,0,0,
東京ヴェルディ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
東京ヴェルディ,0,0,0,0,0,0,0%,0%,0,0,0,
ＦＣ町田ゼルビア,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
ＦＣ町田ゼルビア,0,0,0,0,0,0,0%,0%,0,0,0,
川崎フロンターレ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
川崎フロンターレ,0,0,0,0,0,0,0%,0%,0,0,0,
横浜F・マリノス,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
横浜F・マリノス,0,0,0,0,0,0,0%,0%,0,0,0,
横浜ＦＣ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
横浜ＦＣ,0,0,0,0,0,0,0%,0%,0,0,0,
湘南ベルマーレ,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
湘南ベルマーレ,0,0,0,0,0,0,0%,0%,0,0,0,
アルビレックス新潟,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
アルビレックス新潟,0,0,0,0,0,0,0%,0%,0,0,0,
清水エスパルス,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
清水エスパルス,0,0,0,0,0,0,0%,0%,0,0,0,
名古屋グランパス,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
名古屋グランパス,0,0,0,0,0,0,0%,0%,0,0,0,
京都サンガＦ.Ｃ.,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
京都サンガＦ.Ｃ.,0,0,0,0,0,0,0%,0%,0,0,0,
ガンバ大阪,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
ガンバ大阪,0,0,0,0,0,0,0%,0%,0,0,0,
セレッソ大阪,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
セレッソ大阪,0,0,0,0,0,0,0%,0%,0,0,0,
ヴィッセル神戸,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
ヴィッセル神戸,0,0,0,0,0,0,0%,0%,0,0,0,
ファジアーノ岡山,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
ファジアーノ岡山,0,0,0,0,0,0,0%,0%,0,0,0,
サンフレッチェ広島,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
サンフレッチェ広島,0,0,0,0,0,0,0%,0%,0,0,0,
アビスパ福岡,,試合数,勝,PK勝,分,PK負,敗,ホーム 勝率,アウェイ 勝率,得点,失点,得失点
アビスパ福岡,0,0,0,0,0,0,0%,0%,0,0,0,
