snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_style_short_counter_index,flab_style_short_counter_shot_rate,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_style_long_counter_index,flab_style_long_counter_shot_rate,flab_style_center_attack_index,flab_style_center_attack_shot_rate,flab_style_right_attack_index,flab_style_right_attack_shot_rate,flab_style_left_attack_index,flab_style_left_attack_shot_rate,flab_style_enemy_possession_index,flab_style_enemy_possession_shot_rate,flab_style_own_possession_index,flab_style_own_possession_shot_rate,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260530,20260525,j1,2026,FC東京,FC東京,0.89,0.893,42.5,24.8,9.3,10.2,52.1778,14.3,55.2,23.4,59.7,43.1,37.5,14.3,55.3,15.2,48.8,23.3,63.6,9.7,48.0,1.5,15.78,2.0,52.8,0.89,10.17,2.0,32.88,1.83,10.2,81.96,4.55,12.62,1.62,1.5,-0.12,2.0,-0.003,2.0,165.34,9.19,49.07,4.79,0.27,0.28,110.2,(17位),15.8,(2位),14.3,109.6,(5位),(2位),29.23,1.62,10.44,195.19,10.84,55.63,1522.44,84.58,415.77,203.44,11.3,53.72,257.3,14.29,76.27
20260530,20260525,j1,2026,鹿島,鹿島,0.5,1.057,34.6,21.3,11.3,12.1,54.5667,15.0,35.2,16.4,51.0,33.9,48.3,14.5,36.6,7.0,51.0,17.7,66.3,6.5,47.2,1.61,11.83,1.0,48.3,0.5,12.06,1.0,31.79,1.77,7.89,65.91,3.66,20.04,1.423,1.61,0.187,1.0,-0.557,1.0,111.64,6.2,26.37,7.4,0.41,1.65,111.3,(14位),11.8,(10位),10.6,106.8,(4位),(12位),16.52,0.92,4.41,221.88,12.33,64.16,1398.09,77.67,384.48,224.27,12.46,53.85,270.18,15.01,76.45
20260530,20260525,j1,2026,神戸,神戸,1.17,1.106,53.5,15.2,9.0,10.8,53.7532,14.9,47.9,14.6,56.6,25.3,51.9,10.9,58.4,12.6,55.0,18.7,43.0,5.8,52.2,1.44,12.89,1.0,49.9,1.17,10.78,1.0,41.57,2.31,13.16,60.21,3.34,12.07,1.679,1.44,-0.239,1.0,0.064,1.0,121.25,6.74,35.16,8.01,0.44,3.24,123.3,(3位),12.9,(7位),10.5,119.4,(13位),(5位),14.01,0.78,3.52,213.08,11.84,58.12,1698.62,94.37,429.24,228.48,12.69,66.25,268.66,14.93,74.8
20260530,20260525,j1,2026,広島,広島,1.17,1.113,69.9,15.9,8.1,9.8,52.5655,15.4,70.3,15.1,67.1,32.2,63.0,15.6,49.6,16.0,58.3,30.2,39.9,7.0,57.5,1.56,16.06,4.0,51.8,1.17,9.78,4.0,41.16,2.29,9.22,87.76,4.88,32.39,1.862,1.56,-0.302,4.0,0.057,4.0,158.95,8.83,43.18,5.73,0.32,2.4,123.3,(3位),16.1,(1位),13.0,120.2,(16位),(1位),20.5,1.14,7.08,216.42,12.02,55.24,1696.14,94.23,512.76,212.79,11.82,65.72,278.08,15.45,71.54
20260530,20260525,j1,2026,町田,町田,1.0,1.136,46.9,16.9,10.9,11.5,45.3487,12.6,46.1,12.7,38.8,29.5,51.9,11.4,49.0,14.0,53.5,24.3,49.7,7.1,48.2,1.28,11.39,3.0,54.6,1.0,11.5,3.0,25.72,1.43,6.15,56.11,3.12,16.52,1.128,1.28,0.152,3.0,-0.136,3.0,107.68,5.98,25.33,5.04,0.28,1.35,107.1,(19位),11.4,(15位),10.6,105.8,(2位),(7位),26.91,1.49,8.86,173.66,9.65,47.06,1581.3,87.85,415.81,226.2,12.57,61.95,226.29,12.57,62.07
20260530,20260525,j1,2026,横浜FM,横浜FM,1.44,1.138,57.0,19.4,9.2,10.4,47.6191,11.7,44.3,17.1,46.2,36.7,54.5,9.9,60.7,13.6,42.5,16.4,48.4,6.0,50.5,1.56,11.78,7.0,52.5,1.44,10.39,7.0,29.4,1.63,9.48,84.47,4.69,25.6,1.243,1.56,0.317,7.0,0.302,7.0,114.87,6.38,36.89,6.43,0.36,1.67,114.2,(10位),11.8,(11位),10.3,113.4,(7位),(3位),23.4,1.3,6.0,157.61,8.76,41.78,1433.09,79.62,413.63,232.6,12.92,59.35,210.41,11.69,57.27
20260530,20260525,j1,2026,浦和,浦和,0.94,1.142,36.8,19.6,11.3,12.4,52.3484,13.9,47.3,17.3,37.9,40.8,64.3,15.3,36.6,16.2,59.0,26.3,51.5,11.3,50.6,1.33,13.94,6.0,49.5,0.94,12.44,6.0,29.08,1.62,10.02,66.14,3.67,20.1,1.4,1.33,-0.07,6.0,-0.202,6.0,150.52,8.36,47.08,5.54,0.31,1.15,109.6,(18位),13.9,(3位),12.7,110.1,(6位),(14位),27.29,1.52,7.63,193.57,10.75,63.98,1505.32,83.63,387.95,224.86,12.49,56.22,249.94,13.89,81.63
20260530,20260525,j1,2026,東京Ｖ,東京Ｖ,1.39,1.144,58.6,20.5,8.8,10.6,44.063,9.8,30.4,24.5,49.7,31.0,45.3,11.6,43.0,11.8,35.5,16.7,51.3,5.4,45.4,1.0,9.56,5.0,57.1,1.39,10.56,5.0,15.42,0.86,4.71,58.13,3.23,5.5,0.899,1.0,0.101,5.0,0.246,5.0,91.45,5.08,23.38,5.66,0.31,0.9,111.7,(13位),9.6,(20位),8.6,119.7,(14位),(4位),13.16,0.73,3.33,148.33,8.24,35.21,1686.08,93.67,415.8,236.81,13.16,69.78,176.9,9.83,43.25
20260530,20260525,j1,2026,岡山,岡山,1.33,1.177,61.1,14.6,9.2,11.4,42.8341,10.6,75.7,13.3,32.7,28.1,49.9,12.4,66.4,13.0,33.7,18.4,33.4,18.0,54.4,1.33,11.67,6.0,49.2,1.33,11.44,6.0,39.52,2.2,8.96,61.4,3.41,26.04,1.312,1.33,0.018,6.0,0.153,6.0,110.99,6.17,37.31,7.18,0.4,2.06,116.9,(7位),11.7,(12位),10.0,123.9,(19位),(6位),18.43,1.02,4.56,133.18,7.4,36.01,1526.51,84.81,475.21,258.92,14.38,69.41,191.13,10.62,49.54
20260530,20260525,j1,2026,福岡,福岡,1.5,1.205,50.0,17.9,10.4,11.8,42.7889,10.9,45.5,6.4,37.5,34.9,34.5,9.9,53.0,8.4,44.7,21.5,37.9,2.7,51.3,0.94,10.83,10.0,52.8,1.5,11.83,10.0,19.74,1.1,4.75,58.08,3.23,22.6,0.966,0.94,-0.026,10.0,0.295,10.0,127.53,7.09,32.38,5.34,0.3,1.09,112.3,(12位),10.8,(18位),9.7,114.1,(9位),(9位),23.59,1.31,5.29,152.57,8.48,38.16,1435.5,79.75,417.03,251.8,13.99,68.6,195.9,10.88,48.2
