snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_style_short_counter_index,flab_style_short_counter_shot_rate,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_style_long_counter_index,flab_style_long_counter_shot_rate,flab_style_center_attack_index,flab_style_center_attack_shot_rate,flab_style_right_attack_index,flab_style_right_attack_shot_rate,flab_style_left_attack_index,flab_style_left_attack_shot_rate,flab_style_enemy_possession_index,flab_style_enemy_possession_shot_rate,flab_style_own_possession_index,flab_style_own_possession_shot_rate,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals
20260802,20260629,j1,,FC東京,FC東京,1.05,0.982,43.2,24.8,9.6,10.5,53.5,21.6,57.3,42.5,38.4,13.1,57.0,14.7,49.8,25.0,63.1,8.8,1.636,1.45,-0.186,2.0,0.068,2.0,109.9,(17位),15.9,(2位),14.4,109.8,(5位),(3位)
20260802,20260629,j1,,鹿島,鹿島,0.7,1.083,37.8,19.6,11.1,12.0,40.3,16.3,51.4,32.2,46.9,14.4,37.5,8.0,49.0,18.6,64.3,6.1,1.445,1.55,0.105,1.0,-0.383,1.0,112.5,(13位),12.0,(10位),10.6,108.3,(4位),(13位)
20260802,20260629,j1,,広島,広島,1.1,1.085,71.1,16.9,8.2,9.9,70.3,16.2,65.9,34.3,64.9,15.8,49.5,16.0,57.8,31.0,39.1,7.6,1.824,1.55,-0.274,4.0,0.015,4.0,121.8,(5位),16.4,(1位),13.4,119.8,(14位),(1位)
20260802,20260629,j1,,東京Ｖ,東京Ｖ,1.5,1.129,65.2,20.2,8.7,10.5,29.5,22.6,53.0,30.0,46.0,10.8,43.5,12.7,33.7,18.3,50.4,5.6,0.881,0.95,0.069,5.0,0.371,5.0,112.9,(12位),9.8,(20位),8.7,121.3,(18位),(3位)
20260802,20260629,j1,,横浜FM,横浜FM,1.35,1.144,54.7,18.2,9.1,10.4,45.7,18.0,43.6,36.3,56.4,9.1,58.3,14.0,40.6,17.7,47.5,6.3,1.183,1.6,0.417,7.0,0.206,7.0,114.4,(10位),11.4,(15位),9.9,114.9,(11位),(2位)
20260802,20260629,j1,,岡山,岡山,1.25,1.151,62.1,15.0,9.4,11.6,78.1,12.6,34.2,29.0,52.1,12.2,66.8,13.3,34.4,24.2,32.9,18.5,1.379,1.35,-0.029,6.0,0.099,6.0,116.4,(6位),12.3,(9位),10.6,123.4,(20位),(7位)
20260802,20260629,j1,,神戸,神戸,1.15,1.16,52.4,16.3,9.2,11.0,48.1,15.1,54.9,25.5,53.3,10.5,53.9,12.6,51.2,18.5,41.4,5.7,1.643,1.55,-0.093,1.0,-0.01,1.0,123.2,(3位),12.8,(6位),10.4,119.9,(15位),(5位)
20260802,20260629,j1,,町田,町田,1.05,1.19,47.8,17.8,11.1,11.8,48.7,14.9,44.0,31.7,51.2,10.9,49.1,14.6,56.0,24.8,50.9,6.7,1.206,1.35,0.144,3.0,-0.14,3.0,107.2,(20位),12.0,(10位),11.2,105.7,(2位),(10位)
20260802,20260629,j1,,福岡,福岡,1.5,1.216,50.6,18.2,10.2,11.6,43.9,9.3,37.3,35.0,35.9,9.9,55.1,9.6,45.4,19.6,38.5,5.7,1.003,1.05,0.047,10.0,0.284,10.0,111.8,(14位),11.2,(17位),10.0,113.8,(9位),(9位)
20260802,20260629,j1,,浦和,浦和,1.0,1.227,36.0,18.8,11.8,13.0,46.9,17.6,38.9,38.9,64.9,15.8,40.0,16.5,62.9,25.0,51.0,11.5,1.352,1.25,-0.102,6.0,-0.227,6.0,110.5,(16位),13.8,(3位),12.5,110.2,(6位),(15位)
20260802,20260629,j1,,柏,柏,1.35,1.264,42.4,23.9,10.8,11.6,46.3,15.6,56.5,37.7,68.9,14.2,41.3,10.9,66.6,20.0,64.3,8.1,1.384,1.25,-0.134,8.0,0.086,8.0,109.8,(18位),12.7,(8位),11.5,107.2,(3位),(7位)
20260802,20260629,j1,,清水,清水,1.25,1.321,58.5,12.4,9.8,11.9,49.3,8.4,47.9,31.6,55.2,6.5,72.8,9.9,44.6,18.9,35.5,7.1,1.171,0.95,-0.221,7.0,-0.071,7.0,124.7,(1位),10.7,(18位),8.5,120.7,(17位),(11位)
20260802,20260629,j1,,Ｇ大阪,Ｇ大阪,1.15,1.327,50.1,18.3,9.9,12.0,54.1,19.4,61.2,34.4,48.4,10.4,42.5,16.3,62.6,23.7,43.7,9.2,1.358,1.55,0.192,5.0,-0.177,5.0,123.6,(2位),12.7,(7位),10.3,120.5,(16位),(12位)
20260802,20260629,j1,,水戸,水戸,1.75,1.354,52.1,21.0,10.1,11.5,40.9,16.0,60.8,31.8,46.6,8.0,33.7,20.7,53.1,22.1,68.2,7.0,1.037,0.9,-0.137,9.0,0.396,9.0,110.7,(15位),11.4,(14位),10.3,113.4,(8位),(6位)
20260802,20260629,j1,,名古屋,名古屋,1.6,1.444,53.2,15.8,12.8,14.5,57.1,22.2,60.0,31.2,39.0,14.8,46.3,18.4,52.7,22.3,55.3,6.8,1.508,1.7,0.192,3.0,0.156,3.0,115.1,(9位),13.4,(4位),11.6,113.3,(7位),(17位)
20260802,20260629,j1,,京都,京都,1.55,1.525,60.3,16.3,10.4,12.8,50.5,19.6,56.9,36.2,65.6,13.3,51.7,11.1,42.4,23.8,42.5,6.2,1.192,1.1,-0.092,8.0,0.025,8.0,122.8,(4位),12.9,(5位),10.5,122.2,(19位),(14位)
20260802,20260629,j1,,川崎Ｆ,川崎Ｆ,1.5,1.565,38.1,19.9,14.0,14.7,45.7,24.7,48.3,34.6,39.3,11.7,65.5,14.3,69.9,17.6,53.3,8.4,1.161,1.15,-0.011,4.0,-0.065,4.0,107.9,(19位),11.8,(13位),10.9,104.6,(1位),(18位)
20260802,20260629,j1,,長崎,長崎,1.4,1.639,40.6,20.8,12.7,15.1,52.9,18.8,39.7,36.7,38.0,8.2,44.7,14.1,42.4,20.2,45.8,6.0,1.197,1.1,-0.097,9.0,-0.239,9.0,115.8,(7位),10.7,(18位),9.2,118.5,(12位),(19位)
20260802,20260629,j1,,Ｃ大阪,Ｃ大阪,1.0,1.666,50.1,25.3,11.9,14.2,50.5,17.5,58.9,42.2,49.7,14.7,42.5,15.7,45.0,24.2,52.5,5.2,1.411,1.55,0.139,2.0,-0.666,2.0,115.5,(8位),11.8,(12位),10.2,118.7,(13位),(16位)
20260802,20260629,j1,,千葉,千葉,1.75,1.709,33.5,20.2,14.3,16.3,47.5,17.4,29.5,34.3,39.3,16.6,48.2,14.3,39.9,24.7,59.7,5.0,1.212,1.05,-0.162,10.0,0.041,10.0,113.8,(11位),11.3,(16位),9.9,114.3,(10位),(20位)
