snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260811,20260810,j1,2026,広島,広島,0.0,0.481,7.2,7.0,49.9438,19.5,56.8,3.0,20.0,2.0,67.6,0.0,7.0,2.0,2.53,2.53,2.53,8.27,8.27,8.27,2.689,3.0,0.311,2.0,-0.481,2.0,9.99,9.99,9.99,0.21,0.21,0.21,110.0,(8位),20.0,(1位),18.2,97.0,(4位),(2位),1.85,1.85,1.85,15.1,15.1,15.1,118.02,118.02,118.02,9.61,9.61,9.61,19.48,19.48,19.48
20260811,20260810,j1,2026,岡山,岡山,2.0,0.595,5.3,6.0,49.6084,15.5,63.2,1.0,20.0,14.0,61.0,2.0,6.0,14.0,2.08,2.08,2.08,2.6,2.6,2.6,2.493,1.0,-1.493,14.0,1.405,14.0,7.03,7.03,7.03,0.35,0.35,0.35,119.0,(4位),20.0,(1位),16.8,114.0,(16位),(1位),1.92,1.92,1.92,11.46,11.46,11.46,89.97,89.97,89.97,11.64,11.64,11.64,15.45,15.45,15.45
20260811,20260810,j1,2026,神戸,神戸,0.0,0.769,9.7,11.0,53.1856,12.4,51.9,1.0,8.0,8.0,50.0,0.0,11.0,8.0,1.0,1.0,1.0,1.25,1.25,1.25,1.011,1.0,-0.011,8.0,-0.769,8.0,6.85,6.85,6.85,0.33,0.33,0.33,128.0,(1位),8.0,(18位),6.3,113.0,(15位),(8位),0.25,0.25,0.25,11.19,11.19,11.19,68.87,68.87,68.87,14.1,14.1,14.1,12.44,12.44,12.44
20260811,20260810,j1,2026,長崎,長崎,1.0,0.847,9.4,10.0,44.6068,12.2,57.0,2.0,14.0,5.0,48.6,1.0,10.0,5.0,2.06,2.06,2.06,6.16,6.16,6.16,1.515,2.0,0.485,5.0,0.153,5.0,7.72,7.72,7.72,0.12,0.12,0.12,105.0,(14位),14.0,(9位),13.3,106.0,(8位),(6位),0.71,0.71,0.71,9.45,9.45,9.45,69.85,69.85,69.85,13.56,13.56,13.56,12.23,12.23,12.23
20260811,20260810,j1,2026,町田,町田,1.0,0.998,8.2,9.0,53.1844,18.2,53.1,5.0,16.0,1.0,58.9,1.0,9.0,1.0,2.52,2.52,2.52,12.23,12.23,12.23,1.924,5.0,3.076,1.0,0.002,1.0,9.36,9.36,9.36,0.42,0.42,0.42,121.0,(3位),16.0,(6位),13.2,110.0,(12位),(4位),1.37,1.37,1.37,14.31,14.31,14.31,102.02,102.02,102.02,12.99,12.99,12.99,18.19,18.19,18.19
20260811,20260810,j1,2026,福岡,福岡,1.0,1.011,6.3,8.0,46.8144,9.8,50.0,0.0,11.0,17.0,48.1,1.0,8.0,17.0,2.09,2.09,2.09,0.0,0.0,0.0,0.769,0.0,-0.769,17.0,-0.011,17.0,7.67,7.67,7.67,0.44,0.44,0.44,113.0,(6位),11.0,(12位),9.7,128.0,(20位),(3位),0.53,0.53,0.53,7.19,7.19,7.19,103.83,103.83,103.83,16.84,16.84,16.84,9.81,9.81,9.81
20260811,20260810,j1,2026,清水,清水,0.0,1.037,15.9,17.0,33.2519,10.3,57.5,1.0,14.0,8.0,34.7,0.0,17.0,8.0,3.32,3.32,3.32,2.6,2.6,2.6,1.52,1.0,-0.52,8.0,-1.037,8.0,8.98,8.98,8.98,0.73,0.73,0.73,94.0,(18位),14.0,(9位),14.9,107.0,(10位),(16位),1.95,1.95,1.95,5.03,5.03,5.03,49.72,49.72,49.72,19.52,19.52,19.52,10.3,10.3,10.3
20260811,20260810,j1,2026,浦和,浦和,4.0,1.038,11.0,11.0,39.4917,16.4,71.4,3.0,19.0,12.0,42.1,4.0,11.0,12.0,3.27,3.27,3.27,5.06,5.06,5.06,2.553,3.0,0.447,12.0,2.962,12.0,10.54,10.54,10.54,0.54,0.54,0.54,101.0,(15位),19.0,(3位),18.8,100.0,(5位),(8位),2.18,2.18,2.18,10.91,10.91,10.91,66.8,66.8,66.8,12.28,12.28,12.28,16.35,16.35,16.35
20260811,20260810,j1,2026,水戸,水戸,2.0,1.09,9.7,9.0,48.1452,14.7,42.8,1.0,15.0,14.0,54.0,2.0,9.0,14.0,1.43,1.43,1.43,0.32,0.32,0.32,1.947,1.0,-0.947,14.0,0.91,14.0,3.83,3.83,3.83,0.51,0.51,0.51,92.0,(20位),15.0,(7位),16.3,93.0,(2位),(4位),0.55,0.55,0.55,12.75,12.75,12.75,62.93,62.93,62.93,10.48,10.48,10.48,14.73,14.73,14.73
20260811,20260810,j1,2026,鹿島,鹿島,3.0,1.416,9.4,10.0,62.4427,18.6,51.4,4.0,19.0,3.0,57.8,3.0,10.0,3.0,2.72,2.72,2.72,8.33,8.33,8.33,2.945,4.0,1.055,3.0,1.584,3.0,12.4,12.4,12.4,0.26,0.26,0.26,124.0,(2位),19.0,(3位),15.3,107.0,(10位),(6位),1.35,1.35,1.35,14.56,14.56,14.56,59.1,59.1,59.1,9.9,9.9,9.9,18.63,18.63,18.63
20260811,20260810,j1,2026,東京Ｖ,東京Ｖ,1.0,1.501,13.4,15.0,33.463,10.3,48.6,1.0,14.0,10.0,42.7,1.0,15.0,10.0,1.1,1.1,1.1,1.25,1.25,1.25,2.064,1.0,-1.064,10.0,-0.501,10.0,5.64,5.64,5.64,0.5,0.5,0.5,106.0,(12位),14.0,(9位),13.2,112.0,(14位),(13位),1.36,1.36,1.36,7.86,7.86,7.86,90.84,90.84,90.84,18.01,18.01,18.01,10.31,10.31,10.31
20260811,20260810,j1,2026,京都,京都,2.0,1.515,13.3,14.0,55.3932,13.5,51.4,1.0,10.0,14.0,42.9,2.0,14.0,14.0,1.01,1.01,1.01,2.62,2.62,2.62,0.847,1.0,0.153,14.0,0.485,14.0,9.05,9.05,9.05,0.29,0.29,0.29,106.0,(12位),10.0,(14位),9.4,105.0,(7位),(10位),1.0,1.0,1.0,11.45,11.45,11.45,56.49,56.49,56.49,13.32,13.32,13.32,13.45,13.45,13.45
20260811,20260810,j1,2026,名古屋,名古屋,1.0,1.52,14.9,14.0,66.7481,21.3,65.3,0.0,17.0,17.0,42.5,1.0,14.0,17.0,2.18,2.18,2.18,0.0,0.0,0.0,1.037,0.0,-1.037,17.0,-0.52,17.0,10.39,10.39,10.39,0.8,0.8,0.8,107.0,(10位),17.0,(5位),15.9,94.0,(3位),(10位),1.32,1.32,1.32,17.8,17.8,17.8,70.76,70.76,70.76,10.06,10.06,10.06,21.3,21.3,21.3
20260811,20260810,j1,2026,FC東京,FC東京,5.0,1.924,13.2,16.0,46.8156,11.7,41.1,1.0,9.0,20.0,46.9,5.0,16.0,20.0,0.53,0.53,0.53,4.15,4.15,4.15,0.998,1.0,0.002,20.0,3.076,20.0,6.47,6.47,6.47,0.2,0.2,0.2,110.0,(8位),9.0,(16位),8.2,121.0,(18位),(15位),1.22,1.22,1.22,9.99,9.99,9.99,84.69,84.69,84.69,14.65,14.65,14.65,11.73,11.73,11.73
20260811,20260810,j1,2026,柏,柏,1.0,1.947,16.3,15.0,51.8548,14.6,46.0,2.0,9.0,5.0,57.2,1.0,15.0,5.0,1.15,1.15,1.15,5.67,5.67,5.67,1.09,2.0,0.91,5.0,-0.947,5.0,8.14,8.14,8.14,0.38,0.38,0.38,93.0,(19位),9.0,(16位),9.7,92.0,(1位),(13位),1.26,1.26,1.26,12.22,12.22,12.22,69.33,69.33,69.33,10.08,10.08,10.08,14.62,14.62,14.62
20260811,20260810,j1,2026,川崎Ｆ,川崎Ｆ,1.0,2.064,13.2,14.0,66.537,21.4,57.3,1.0,15.0,10.0,51.3,1.0,14.0,10.0,1.52,1.52,1.52,2.47,2.47,2.47,1.501,1.0,-0.501,10.0,-1.064,10.0,6.32,6.32,6.32,0.4,0.4,0.4,112.0,(7位),15.0,(7位),13.4,106.0,(8位),(10位),1.78,1.78,1.78,18.12,18.12,18.12,57.83,57.83,57.83,7.07,7.07,7.07,21.42,21.42,21.42
