league,round,round_no,rows,go_count,caution_count,hold_count,blank_count,go_rate,caution_rate,hold_rate
J1,第５節,5,10,4,3,3,0,40.0,30.0,30.0
J1,第６節,6,10,5,5,0,0,50.0,50.0,0.0
J1,第８節,8,10,3,3,4,0,30.0,30.0,40.0
J2,第７節,7,6,2,4,0,0,33.333333333333336,66.66666666666667,0.0
J2,第８節,8,7,3,4,0,0,42.857142857142854,57.142857142857146,0.0
J2,第９節,9,4,0,3,1,0,0.0,75.0,25.0
J2,第１０節,10,4,1,2,1,0,25.0,50.0,25.0
J2,第１１節,11,6,4,1,1,0,66.66666666666667,16.666666666666668,16.666666666666668
J2,第１２節,12,5,1,4,0,0,20.0,80.0,0.0
J2,第１３節,13,5,2,3,0,0,40.0,60.0,0.0
J2,第１４節,14,4,2,2,0,0,50.0,50.0,0.0
J2,第１５節,15,5,1,3,1,0,20.0,60.0,20.0
J2,第１６節,16,5,2,2,1,0,40.0,40.0,20.0
J2,第１７節,17,5,2,3,0,0,40.0,60.0,0.0
J2,第１８節,18,6,2,2,2,0,33.333333333333336,33.333333333333336,33.333333333333336
