league,round,match_id,home_team,away_team,predicted_result,flab_trial_flag,flab_trial_score,flab_trial_reason
J1,第５節,j1_2026_03071303_千葉_柏,千葉,柏,H,CAUTION,2.785,"被シュート成功率差=H優位(整合,7.45); シュート成功率差=A優位(逆行,-1.88)"
J1,第５節,j1_2026_03071403_FC東京_横浜FM,FC東京,横浜FM,H,CAUTION,1.420,"被シュート成功率差=H優位(整合,6.91); シュート成功率差=A優位(逆行,-4.07)"
J1,第５節,j1_2026_03271900_神戸_広島,神戸,広島,D,CAUTION,-3.755,被シュート成功率差=H優位(5.97); シュート成功率差=H優位(1.54)
J1,第６節,j1_2026_03141300_横浜FM_千葉,横浜FM,千葉,H,CAUTION,-1.390,"被シュート成功率差=A優位(逆行,-8.16); シュート成功率差=H優位(整合,5.38)"
J1,第６節,j1_2026_03141400_柏_町田,柏,町田,H,CAUTION,-4.700,"被シュート成功率差=A優位(逆行,-3.20); シュート成功率差=A優位(逆行,-6.20)"
J1,第６節,j1_2026_03141500_広島_Ｇ大阪,広島,Ｇ大阪,H,CAUTION,-2.915,"被シュート成功率差=A優位(逆行,-4.51); シュート成功率差=A優位(逆行,-1.32)"
J1,第６節,j1_2026_03141600_東京Ｖ_浦和,東京Ｖ,浦和,A,CAUTION,0.255,"被シュート成功率差=A優位(整合,-6.39); シュート成功率差=H優位(逆行,5.88)"
J1,第６節,j1_2026_03151400_長崎_福岡,長崎,福岡,A,CAUTION,-5.730,"被シュート成功率差=H優位(逆行,6.29); シュート成功率差=H優位(逆行,5.17)"
J1,第８節,j1_2026_03221304_清水_広島,清水,広島,A,CAUTION,-3.200,"被シュート成功率差=H優位(逆行,7.08); シュート成功率差=拮抗(中立,-0.68)"
J1,第８節,j1_2026_03221503_Ｃ大阪_神戸,Ｃ大阪,神戸,A,CAUTION,0.540,"被シュート成功率差=H優位(逆行,2.08); シュート成功率差=A優位(整合,-3.16)"
J1,第８節,j1_2026_03221603_浦和_町田,浦和,町田,A,CAUTION,-0.400,"被シュート成功率差=H優位(逆行,5.07); シュート成功率差=A優位(整合,-4.27)"
J2,第７節,j2_2026_03201403_新潟_富山,新潟,富山,A,CAUTION,-3.655,"被シュート成功率差=H優位(逆行,2.99); シュート成功率差=H優位(逆行,4.32)"
J2,第７節,j2_2026_03211403_札幌_甲府,札幌,甲府,D,CAUTION,-6.255,被シュート成功率差=A優位(-5.08); シュート成功率差=A優位(-7.43)
J2,第７節,j2_2026_03221403_今治_徳島,今治,徳島,H,CAUTION,-9.370,"被シュート成功率差=A優位(逆行,-3.98); シュート成功率差=A優位(逆行,-14.76)"
J2,第７節,j2_2026_03221403_山形_仙台,山形,仙台,A,CAUTION,-0.935,"被シュート成功率差=拮抗(中立,0.20); シュート成功率差=H優位(逆行,1.67)"
J2,第８節,j2_2026_03281400_横浜FC_湘南,横浜FC,湘南,H,CAUTION,-3.715,"被シュート成功率差=A優位(逆行,-6.57); シュート成功率差=A優位(逆行,-0.86)"
J2,第８節,j2_2026_03281400_甲府_大宮,甲府,大宮,A,CAUTION,-1.935,"被シュート成功率差=H優位(逆行,4.08); シュート成功率差=拮抗(中立,-0.21)"
J2,第８節,j2_2026_03281400_藤枝_札幌,藤枝,札幌,A,CAUTION,-4.600,"被シュート成功率差=H優位(逆行,2.60); シュート成功率差=H優位(逆行,6.60)"
J2,第８節,j2_2026_03291400_富山_今治,富山,今治,A,CAUTION,-0.345,"被シュート成功率差=A優位(整合,-3.47); シュート成功率差=H優位(逆行,4.16)"
J2,第９節,j2_2026_04041400_横浜FC_秋田,横浜FC,秋田,H,CAUTION,-2.040,"被シュート成功率差=A優位(逆行,-6.47); シュート成功率差=H優位(整合,2.39)"
J2,第９節,j2_2026_04041400_磐田_甲府,磐田,甲府,H,CAUTION,-9.225,"被シュート成功率差=A優位(逆行,-8.52); シュート成功率差=A優位(逆行,-9.93)"
