date,section,home_team,away_team,home_score,away_score
2024/02/23,1,Sanfrecce Hiroshima,Urawa Reds,2,0
2024/02/24,1,Avispa Fukuoka,Consadole Sapporo,0,0
2024/02/24,1,Kyoto Sanga F.C.,Kashima Antlers,1,1
2024/02/24,1,Kashiwa Reysol,Shonan Bellmare,2,0
2024/02/24,1,FC Tokyo,Cerezo Osaka,2,2
2024/02/24,1,Kawasaki Frontale,Jubilo Iwata,0,1
2024/02/24,1,Gamba Osaka,Machida Zelvia,0,1
2024/02/24,1,Vissel Kobe,Nagoya Grampus,2,0
2024/02/25,1,Albirex Niigata,Sagan Tosu,1,0
2024/03/01,2,Sagan Tosu,Sanfrecce Hiroshima,0,0
2024/03/01,2,Yokohama F. Marinos,Urawa Reds,2,1
2024/03/01,2,Consadole Sapporo,Machida Zelvia,1,1
2024/03/02,2,Kashima Antlers,Cerezo Osaka,1,1
2024/03/02,2,Shonan Bellmare,Nagoya Grampus,2,0
2024/03/02,2,Albirex Niigata,Gamba Osaka,1,0
2024/03/02,2,Jubilo Iwata,Kawasaki Frontale,0,1
2024/03/02,2,FC Tokyo,Kyoto Sanga F.C.,2,2
2024/03/02,2,Vissel Kobe,Kashiwa Reysol,0,1
