team,home_points_per_match,away_points_per_match,home_win_rate,home_draw_rate,home_loss_rate,away_win_rate,away_draw_rate,away_loss_rate,home_matches,away_matches,home_winrate,home_drawrate,home_lossrate,away_winrate,away_drawrate,away_lossrate
FC東京,1.4737,1.1579,0.4211,0.2105,0.3684,0.2632,0.3684,0.3684,19,19,0.4211,0.2105,0.3684,0.2632,0.3684,0.3684
京都,1.7368,1.8421,0.4737,0.3158,0.2105,0.5263,0.2632,0.2105,19,19,0.4737,0.3158,0.2105,0.5263,0.2632,0.2105
名古屋,1.5263,0.7368,0.4211,0.2632,0.3158,0.1579,0.2632,0.5789,19,19,0.4211,0.2632,0.3158,0.1579,0.2632,0.5789
岡山,1.3158,1.0526,0.3684,0.2105,0.4211,0.2632,0.2632,0.4737,19,19,0.3684,0.2105,0.4211,0.2632,0.2632,0.4737
川崎Ｆ,1.5789,1.4211,0.4211,0.3158,0.2632,0.3684,0.3158,0.3158,19,19,0.4211,0.3158,0.2632,0.3684,0.3158,0.3158
広島,1.7895,1.7895,0.5263,0.2105,0.2632,0.5263,0.2105,0.2632,19,19,0.5263,0.2105,0.2632,0.5263,0.2105,0.2632
新潟,0.7895,0.4737,0.1053,0.4737,0.4211,0.1053,0.1579,0.7368,19,19,0.1053,0.4737,0.4211,0.1053,0.1579,0.7368
東京Ｖ,1.4211,0.8421,0.4211,0.1579,0.4211,0.1579,0.3684,0.4737,19,19,0.4211,0.1579,0.4211,0.1579,0.3684,0.4737
柏,2.1579,1.7895,0.6316,0.2632,0.1053,0.4737,0.3684,0.1579,19,19,0.6316,0.2632,0.1053,0.4737,0.3684,0.1579
横浜FC,1.1579,0.6842,0.3158,0.2105,0.4737,0.1579,0.2105,0.6316,19,19,0.3158,0.2105,0.4737,0.1579,0.2105,0.6316
横浜FM,1.3684,0.8947,0.3684,0.2632,0.3684,0.2632,0.1053,0.6316,19,19,0.3684,0.2632,0.3684,0.2632,0.1053,0.6316
浦和,2.2105,0.8947,0.6842,0.1579,0.1579,0.1579,0.4211,0.4211,19,19,0.6842,0.1579,0.1579,0.1579,0.4211,0.4211
清水,1.3158,1.0,0.3158,0.3684,0.3158,0.2632,0.2105,0.5263,19,19,0.3158,0.3684,0.3158,0.2632,0.2105,0.5263
湘南,1.1053,0.5789,0.2632,0.3158,0.4211,0.1579,0.1053,0.7368,19,19,0.2632,0.3158,0.4211,0.1579,0.1053,0.7368
町田,1.5789,1.5789,0.4737,0.1579,0.3684,0.4211,0.3158,0.2632,19,19,0.4737,0.1579,0.3684,0.4211,0.3158,0.2632
神戸,1.8421,1.5263,0.5263,0.2632,0.2105,0.4211,0.2632,0.3158,19,19,0.5263,0.2632,0.2105,0.4211,0.2632,0.3158
福岡,1.4737,1.0526,0.3684,0.3684,0.2632,0.2632,0.2632,0.4737,19,19,0.3684,0.3684,0.2632,0.2632,0.2632,0.4737
鹿島,2.2632,1.7368,0.6842,0.2105,0.1053,0.5263,0.1579,0.3158,19,19,0.6842,0.2105,0.1053,0.5263,0.1579,0.3158
Ｃ大阪,1.5789,1.1579,0.4211,0.3158,0.2632,0.3158,0.2105,0.4737,19,19,0.4211,0.3158,0.2632,0.3158,0.2105,0.4737
Ｇ大阪,1.9474,1.0526,0.6316,0.0526,0.3158,0.2632,0.2632,0.4737,19,19,0.6316,0.0526,0.3158,0.2632,0.2632,0.4737
