節,match_id,datetime,stadium,home_team,away_team,home_score,away_score
第１節第１日,j1_2025_02141903_Ｇ大阪_Ｃ大阪,2025-02-14 19:03:00,パナスタ,Ｇ大阪,Ｃ大阪,2,5
第１節第２日,j1_2025_02151403_横浜FM_新潟,2025-02-15 14:03:00,日産ス,横浜FM,新潟,1,1
第１節第２日,j1_2025_02151403_神戸_浦和,2025-02-15 14:03:00,ノエスタ,神戸,浦和,0,0
第１節第２日,j1_2025_02151403_横浜FC_FC東京,2025-02-15 14:03:00,ニッパツ,横浜FC,FC東京,0,1
第１節第２日,j1_2025_02151404_岡山_京都,2025-02-15 14:04:00,ＪＦＥス,岡山,京都,2,0
第１節第２日,j1_2025_02151404_福岡_柏,2025-02-15 14:04:00,ベススタ,福岡,柏,0,1
第１節第２日,j1_2025_02151503_川崎Ｆ_名古屋,2025-02-15 15:03:00,Ｕ等々力,川崎Ｆ,名古屋,4,0
第１節第２日,j1_2025_02151503_湘南_鹿島,2025-02-15 15:03:00,レモンＳ,湘南,鹿島,1,0
第１節第３日,j1_2025_02161403_東京Ｖ_清水,2025-02-16 14:03:00,国立,東京Ｖ,清水,0,1
第１節第３日,j1_2025_02161403_町田_広島,2025-02-16 14:03:00,Ｇスタ,町田,広島,1,2
第２節第１日,j1_2025_02221403_横浜FC_岡山,2025-02-22 14:03:00,ニッパツ,横浜FC,岡山,1,0
第２節第１日,j1_2025_02221403_名古屋_神戸,2025-02-22 14:03:00,豊田ス,名古屋,神戸,2,2
第２節第１日,j1_2025_02221403_京都_浦和,2025-02-22 14:03:00,サンガＳ,京都,浦和,1,1
第２節第１日,j1_2025_02221403_柏_川崎Ｆ,2025-02-22 14:03:00,三協Ｆ柏,柏,川崎Ｆ,1,1
第２節第１日,j1_2025_02221403_清水_新潟,2025-02-22 14:03:00,アイスタ,清水,新潟,2,0
第２節第１日,j1_2025_02221503_Ｇ大阪_福岡,2025-02-22 15:03:00,パナスタ,Ｇ大阪,福岡,2,1
第２節第１日,j1_2025_02221503_Ｃ大阪_湘南,2025-02-22 15:03:00,ヨドコウ,Ｃ大阪,湘南,1,2
第２節第１日,j1_2025_02221503_鹿島_東京Ｖ,2025-02-22 15:03:00,カシマ,鹿島,東京Ｖ,4,0
第２節第１日,j1_2025_02221503_FC東京_町田,2025-02-22 15:03:00,味スタ,FC東京,町田,0,1
第２節第２日,j1_2025_02231403_広島_横浜FM,2025-02-23 14:03:00,Ｅピース,広島,横浜FM,1,0
第３節第１日,j1_2025_02261901_岡山_Ｇ大阪,2025-02-26 19:01:00,ＪＦＥス,岡山,Ｇ大阪,2,0
第３節第１日,j1_2025_02261903_清水_広島,2025-02-26 19:03:00,アイスタ,清水,広島,1,1
第３節第１日,j1_2025_02261903_FC東京_名古屋,2025-02-26 19:03:00,味スタ,FC東京,名古屋,3,1
第３節第１日,j1_2025_02261903_福岡_川崎Ｆ,2025-02-26 19:03:00,ベススタ,福岡,川崎Ｆ,1,2
第３節第１日,j1_2025_02261903_柏_Ｃ大阪,2025-02-26 19:03:00,三協Ｆ柏,柏,Ｃ大阪,2,1
第３節第１日,j1_2025_02261903_神戸_京都,2025-02-26 19:03:00,ノエスタ,神戸,京都,1,1
第３節第１日,j1_2025_02261903_鹿島_新潟,2025-02-26 19:03:00,カシマ,鹿島,新潟,2,1
第３節第１日,j1_2025_02261903_横浜FM_横浜FC,2025-02-26 19:03:00,日産ス,横浜FM,横浜FC,0,0
第３節第１日,j1_2025_02261903_湘南_浦和,2025-02-26 19:03:00,レモンＳ,湘南,浦和,2,1
第３節第１日,j1_2025_02261903_町田_東京Ｖ,2025-02-26 19:03:00,Ｇスタ,町田,東京Ｖ,0,1
第４節第１日,j1_2025_03011304_横浜FM_湘南,2025-03-01 13:04:00,日産ス,横浜FM,湘南,1,1
第４節第１日,j1_2025_03011403_鹿島_FC東京,2025-03-01 14:03:00,カシマ,鹿島,FC東京,2,0
第４節第１日,j1_2025_03011503_川崎Ｆ_京都,2025-03-01 15:03:00,Ｕ等々力,川崎Ｆ,京都,0,1
第４節第１日,j1_2025_03011503_神戸_福岡,2025-03-01 15:03:00,ノエスタ,神戸,福岡,0,1
第４節第２日,j1_2025_03021403_東京Ｖ_Ｇ大阪,2025-03-02 14:03:00,味スタ,東京Ｖ,Ｇ大阪,0,1
第４節第２日,j1_2025_03021403_名古屋_町田,2025-03-02 14:03:00,豊田ス,名古屋,町田,1,2
第４節第２日,j1_2025_03021403_岡山_清水,2025-03-02 14:03:00,ＪＦＥス,岡山,清水,1,1
第４節第２日,j1_2025_03021403_新潟_Ｃ大阪,2025-03-02 14:03:00,デンカＳ,新潟,Ｃ大阪,2,2
第４節第２日,j1_2025_03021431_広島_横浜FC,2025-03-02 14:31:00,Ｅピース,広島,横浜FC,1,0
第４節第２日,j1_2025_03021503_浦和_柏,2025-03-02 15:03:00,埼玉,浦和,柏,0,2
第５節第１日,j1_2025_03081403_浦和_岡山,2025-03-08 14:03:00,埼玉,浦和,岡山,1,0
第５節第１日,j1_2025_03081408_新潟_東京Ｖ,2025-03-08 14:08:00,デンカＳ,新潟,東京Ｖ,2,2
第５節第１日,j1_2025_03081503_Ｇ大阪_清水,2025-03-08 15:03:00,パナスタ,Ｇ大阪,清水,1,0
第５節第１日,j1_2025_03081603_横浜FC_町田,2025-03-08 16:03:00,ニッパツ,横浜FC,町田,0,2
第５節第１日,j1_2025_03081603_柏_鹿島,2025-03-08 16:03:00,三協Ｆ柏,柏,鹿島,1,3
第５節第１日,j1_2025_03081603_FC東京_湘南,2025-03-08 16:03:00,味スタ,FC東京,湘南,0,0
第５節第１日,j1_2025_03081603_Ｃ大阪_名古屋,2025-03-08 16:03:00,ヨドコウ,Ｃ大阪,名古屋,1,1
第５節第２日,j1_2025_03091403_京都_福岡,2025-03-09 14:03:00,サンガＳ,京都,福岡,0,1
第６節第１日,j1_2025_03151403_東京Ｖ_名古屋,2025-03-15 14:03:00,味スタ,東京Ｖ,名古屋,2,1
第６節第１日,j1_2025_03151403_横浜FC_Ｃ大阪,2025-03-15 14:03:00,ニッパツ,横浜FC,Ｃ大阪,2,0
第６節第１日,j1_2025_03151403_福岡_FC東京,2025-03-15 14:03:00,ベススタ,福岡,FC東京,1,0
第６節第１日,j1_2025_03151403_町田_新潟,2025-03-15 14:03:00,Ｇスタ,町田,新潟,1,0
第６節第２日,j1_2025_03161303_清水_京都,2025-03-16 13:03:00,アイスタ,清水,京都,1,2
第６節第２日,j1_2025_03161403_岡山_川崎Ｆ,2025-03-16 14:03:00,ＪＦＥス,岡山,川崎Ｆ,0,0
第６節第２日,j1_2025_03161403_鹿島_浦和,2025-03-16 14:03:00,カシマ,鹿島,浦和,1,1
