節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１節第１日,j1_2025_02141903_Ｇ大阪_Ｃ大阪,2025-02-14 19:03:00,Ｇ大阪,Ｃ大阪,2,5,0.7895,True,0.282,0.427,0.291,A,A,True,A
第１節第２日,j1_2025_02151403_横浜FM_新潟,2025-02-15 14:03:00,横浜FM,新潟,1,1,0.8947,True,0.316,0.402,0.282,H,D,False,H
第１節第２日,j1_2025_02151403_神戸_浦和,2025-02-15 14:03:00,神戸,浦和,0,0,0.9474,True,0.32,0.417,0.263,H,D,False,H
第１節第２日,j1_2025_02151403_横浜FC_FC東京,2025-02-15 14:03:00,横浜FC,FC東京,0,1,0.0,False,0.257,0.405,0.338,A,A,True,A
第１節第２日,j1_2025_02151404_岡山_京都,2025-02-15 14:04:00,岡山,京都,2,0,-0.5263,False,0.277,0.411,0.312,A,H,False,A
第１節第２日,j1_2025_02151404_福岡_柏,2025-02-15 14:04:00,福岡,柏,0,1,-0.3158,False,0.29,0.419,0.291,A,A,True,A
第１節第２日,j1_2025_02151503_川崎Ｆ_名古屋,2025-02-15 15:03:00,川崎Ｆ,名古屋,4,0,0.8421,True,0.326,0.422,0.251,H,H,True,H
第１節第２日,j1_2025_02151503_湘南_鹿島,2025-02-15 15:03:00,湘南,鹿島,1,0,-0.6315,False,0.278,0.406,0.316,A,H,False,A
第１節第３日,j1_2025_02161403_東京Ｖ_清水,2025-02-16 14:03:00,東京Ｖ,清水,0,1,0.4211,True,0.241,0.401,0.359,A,A,True,A
第１節第３日,j1_2025_02161403_町田_広島,2025-02-16 14:03:00,町田,広島,1,2,-0.2106,False,0.267,0.43,0.302,A,A,True,A
第２節第１日,j1_2025_02221403_横浜FC_岡山,2025-02-22 14:03:00,横浜FC,岡山,1,0,0.1053,True,0.293,0.395,0.312,A,H,False,A
第２節第１日,j1_2025_02221403_名古屋_神戸,2025-02-22 14:03:00,名古屋,神戸,2,2,0.0,False,0.293,0.419,0.287,H,D,False,H
第２節第１日,j1_2025_02221403_京都_浦和,2025-02-22 14:03:00,京都,浦和,1,1,0.8421,True,0.315,0.416,0.269,H,D,False,H
第２節第１日,j1_2025_02221403_柏_川崎Ｆ,2025-02-22 14:03:00,柏,川崎Ｆ,1,1,0.7368,True,0.287,0.427,0.285,H,D,False,H
第２節第１日,j1_2025_02221403_清水_新潟,2025-02-22 14:03:00,清水,新潟,2,0,0.8421,True,0.348,0.41,0.242,H,H,True,H
第２節第１日,j1_2025_02221503_Ｇ大阪_福岡,2025-02-22 15:03:00,Ｇ大阪,福岡,2,1,0.8948,True,0.317,0.418,0.265,H,H,True,H
第２節第１日,j1_2025_02221503_Ｃ大阪_湘南,2025-02-22 15:03:00,Ｃ大阪,湘南,1,2,1.0,True,0.372,0.409,0.218,H,A,False,H
第２節第１日,j1_2025_02221503_鹿島_東京Ｖ,2025-02-22 15:03:00,鹿島,東京Ｖ,4,0,1.4211,True,0.385,0.385,0.23,H,H,True,H
第２節第１日,j1_2025_02221503_FC東京_町田,2025-02-22 15:03:00,FC東京,町田,0,1,-0.1052,False,0.308,0.421,0.272,H,A,False,H
第２節第２日,j1_2025_02231403_広島_横浜FM,2025-02-23 14:03:00,広島,横浜FM,1,0,0.8948,True,0.369,0.416,0.215,H,H,True,H
第３節第１日,j1_2025_02261901_岡山_Ｇ大阪,2025-02-26 19:01:00,岡山,Ｇ大阪,2,0,0.2632,True,0.277,0.412,0.311,A,H,False,A
第３節第１日,j1_2025_02261903_清水_広島,2025-02-26 19:03:00,清水,広島,1,1,-0.4737,False,0.271,0.431,0.298,A,D,False,A
第３節第１日,j1_2025_02261903_FC東京_名古屋,2025-02-26 19:03:00,FC東京,名古屋,3,1,0.7369,True,0.317,0.418,0.264,H,H,True,H
第３節第１日,j1_2025_02261903_福岡_川崎Ｆ,2025-02-26 19:03:00,福岡,川崎Ｆ,1,2,0.0526,True,0.268,0.423,0.309,A,A,True,A
第３節第１日,j1_2025_02261903_柏_Ｃ大阪,2025-02-26 19:03:00,柏,Ｃ大阪,2,1,1.0,True,0.285,0.428,0.286,A,H,False,A
第３節第１日,j1_2025_02261903_神戸_京都,2025-02-26 19:03:00,神戸,京都,1,1,0.0,False,0.31,0.421,0.27,H,D,False,H
第３節第１日,j1_2025_02261903_鹿島_新潟,2025-02-26 19:03:00,鹿島,新潟,2,1,1.7895,True,0.335,0.408,0.258,H,H,True,H
第３節第１日,j1_2025_02261903_横浜FM_横浜FC,2025-02-26 19:03:00,横浜FM,横浜FC,0,0,0.6842,True,0.345,0.394,0.261,H,D,False,H
第３節第１日,j1_2025_02261903_湘南_浦和,2025-02-26 19:03:00,湘南,浦和,2,1,0.2106,True,0.286,0.405,0.309,A,H,False,A
第３節第１日,j1_2025_02261903_町田_東京Ｖ,2025-02-26 19:03:00,町田,東京Ｖ,0,1,0.7368,True,0.395,0.394,0.211,H,A,False,H
