team_name,rank_latest,points_latest,season,fetched_date
鹿島アントラーズ,1,76,2025,20260214
柏レイソル,2,75,2025,20260214
京都サンガF.C.,3,68,2025,20260214
サンフレッチェ広島,4,68,2025,20260214
ヴィッセル神戸,5,64,2025,20260214
ＦＣ町田ゼルビア,6,60,2025,20260214
浦和レッズ,7,59,2025,20260214
川崎フロンターレ,8,57,2025,20260214
ガンバ大阪,9,57,2025,20260214
セレッソ大阪,10,52,2025,20260214
ＦＣ東京,11,50,2025,20260214
アビスパ福岡,12,48,2025,20260214
ファジアーノ岡山,13,45,2025,20260214
清水エスパルス,14,44,2025,20260214
横浜Ｆ・マリノス,15,43,2025,20260214
名古屋グランパス,16,43,2025,20260214
東京ヴェルディ,17,43,2025,20260214
横浜ＦＣ,18,35,2025,20260214
湘南ベルマーレ,19,32,2025,20260214
アルビレックス新潟,20,24,2025,20260214
