節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,prob_home_win_adj,prob_draw_adj,prob_away_win_adj
第１節第１日,j1_2025_02141903_Ｇ大阪_Ｃ大阪,2025-02-14 19:03:00,Ｇ大阪,Ｃ大阪,2,5,0.7895,True,0.282,0.427,0.291,A,A,True,A,0.296211,0.43410550000000003,0.2696835
第１節第２日,j1_2025_02151403_横浜FM_新潟,2025-02-15 14:03:00,横浜FM,新潟,1,1,0.8947,True,0.316,0.402,0.282,H,D,False,H,0.3321046,0.41005230000000004,0.2578431
第１節第２日,j1_2025_02151403_神戸_浦和,2025-02-15 14:03:00,神戸,浦和,0,0,0.9474,True,0.32,0.417,0.263,H,D,False,H,0.3370532,0.4255266,0.23742020000000003
第１節第２日,j1_2025_02151403_横浜FC_FC東京,2025-02-15 14:03:00,横浜FC,FC東京,0,1,0.0,False,0.257,0.405,0.338,A,A,True,A,0.257,0.405,0.338
第１節第２日,j1_2025_02151404_岡山_京都,2025-02-15 14:04:00,岡山,京都,2,0,-0.5263,False,0.277,0.411,0.312,A,H,False,A,0.2675266,0.4062633,0.3262101
第１節第２日,j1_2025_02151404_福岡_柏,2025-02-15 14:04:00,福岡,柏,0,1,-0.3158,False,0.29,0.419,0.291,A,A,True,A,0.28431560000000006,0.4161578,0.29952660000000003
第１節第２日,j1_2025_02151503_川崎Ｆ_名古屋,2025-02-15 15:03:00,川崎Ｆ,名古屋,4,0,0.8421,True,0.326,0.422,0.251,H,H,True,H,0.34148412632632635,0.4300013224224224,0.22851455125125125
第１節第２日,j1_2025_02151503_湘南_鹿島,2025-02-15 15:03:00,湘南,鹿島,1,0,-0.6315,False,0.278,0.406,0.316,A,H,False,A,0.266633,0.4003165,0.3330505
第１節第３日,j1_2025_02161403_東京Ｖ_清水,2025-02-16 14:03:00,東京Ｖ,清水,0,1,0.4211,True,0.241,0.401,0.359,A,A,True,A,0.24833904075924076,0.4043893005994007,0.34727165864135867
第１節第３日,j1_2025_02161403_町田_広島,2025-02-16 14:03:00,町田,広島,1,2,-0.2106,False,0.267,0.43,0.302,A,A,True,A,0.2634764672672673,0.42853503043043045,0.3079885023023023
