順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,season,round
1,鹿島アントラーズ,76,38,23,7,8,58,31,+27,,2025,最新節
2,柏レイソル,75,38,21,12,5,60,34,+26,,2025,最新節
3,京都サンガF.C.,68,38,19,11,8,62,40,+22,,2025,最新節
4,サンフレッチェ広島,68,38,20,8,10,46,28,+18,,2025,最新節
5,ヴィッセル神戸,64,38,18,10,10,46,33,+13,,2025,最新節
6,ＦＣ町田ゼルビア,60,38,17,9,12,52,38,+14,,2025,最新節
7,浦和レッズ,59,38,16,11,11,45,39,+6,,2025,最新節
8,川崎フロンターレ,57,38,15,12,11,67,57,+10,,2025,最新節
9,ガンバ大阪,57,38,17,6,15,53,55,-2,,2025,最新節
10,セレッソ大阪,52,38,14,10,14,60,57,+3,,2025,最新節
11,ＦＣ東京,50,38,13,11,14,41,48,-7,,2025,最新節
12,アビスパ福岡,48,38,12,12,14,34,38,-4,,2025,最新節
13,ファジアーノ岡山,45,38,12,9,17,34,43,-9,,2025,最新節
14,清水エスパルス,44,38,11,11,16,41,51,-10,,2025,最新節
15,横浜Ｆ・マリノス,43,38,12,7,19,46,47,-1,,2025,最新節
16,名古屋グランパス,43,38,11,10,17,44,56,-12,,2025,最新節
17,東京ヴェルディ,43,38,11,10,17,23,41,-18,,2025,最新節
18,横浜ＦＣ,35,38,9,8,21,27,45,-18,,2025,最新節
19,湘南ベルマーレ,32,38,8,8,22,36,63,-27,,2025,最新節
20,アルビレックス新潟,24,38,4,12,22,36,67,-31,,2025,最新節
