team,home_points_per_match,away_points_per_match,home_win_rate,home_draw_rate,home_loss_rate,away_win_rate,away_draw_rate,away_loss_rate,home_matches,away_matches
千葉,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
名古屋,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
川崎Ｆ,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
広島,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
東京Ｖ,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
柏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
横浜FM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
水戸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
浦和,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
清水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
町田,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
長崎,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
