順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,水戸ホーリーホック,70,38,20,10,8,55,34,+21,,2025,最新節,20260208
2,Ｖ・ファーレン長崎,70,38,19,13,6,63,44,+19,,2025,最新節,20260208
3,ジェフユナイテッド千葉,69,38,20,9,9,56,34,+22,,2025,最新節,20260208
4,徳島ヴォルティス,65,38,18,11,9,45,24,+21,,2025,最新節,20260208
5,ジュビロ磐田,64,38,19,7,12,59,51,+8,,2025,最新節,20260208
6,ＲＢ大宮アルディージャ,63,38,18,9,11,60,39,+21,,2025,最新節,20260208
7,ベガルタ仙台,62,38,16,14,8,47,36,+11,,2025,最新節,20260208
8,サガン鳥栖,58,38,16,10,12,46,43,+3,,2025,最新節,20260208
9,いわきＦＣ,56,38,15,11,12,55,44,+11,,2025,最新節,20260208
10,モンテディオ山形,53,38,15,8,15,58,54,+4,,2025,最新節,20260208
11,ＦＣ今治,53,38,13,14,11,46,46,+0,,2025,最新節,20260208
12,北海道コンサドーレ札幌,53,38,16,5,17,50,63,-13,,2025,最新節,20260208
13,ヴァンフォーレ甲府,44,38,11,11,16,37,45,-8,,2025,最新節,20260208
14,ブラウブリッツ秋田,43,38,11,10,17,43,59,-16,,2025,最新節,20260208
15,藤枝ＭＹＦＣ,39,38,9,12,17,41,50,-9,,2025,最新節,20260208
16,大分トリニータ,38,38,8,14,16,27,44,-17,,2025,最新節,20260208
17,カターレ富山,37,38,9,10,19,34,49,-15,,2025,最新節,20260208
18,ロアッソ熊本,37,38,9,10,19,41,57,-16,,2025,最新節,20260208
19,レノファ山口ＦＣ,36,38,7,15,16,36,47,-11,,2025,最新節,20260208
20,愛媛ＦＣ,22,38,3,13,22,35,71,-36,,2025,最新節,20260208
