順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,32,12,12,8,4,0,0,0,23,6,+17,,2026,最新節,20260428
2,湘南ベルマーレ,26,12,9,7,2,3,2,1,21,10,+11,,2026,最新節,20260428
3,ブラウブリッツ秋田,22,12,7,7,0,5,4,1,14,11,+3,,2026,最新節,20260428
4,モンテディオ山形,17,12,6,5,1,6,6,0,12,12,+0,,2026,最新節,20260428
5,ＳＣ相模原,16,12,5,4,1,7,5,2,20,20,+0,,2026,最新節,20260428
6,ヴァンラーレ八戸,15,12,4,4,0,8,5,3,12,11,+1,,2026,最新節,20260428
7,横浜ＦＣ,14,12,5,4,1,7,7,0,20,21,-1,,2026,最新節,20260428
8,栃木ＳＣ,13,12,4,4,0,8,7,1,19,22,-3,,2026,最新節,20260428
9,ザスパ群馬,13,12,4,3,1,8,6,2,14,27,-13,,2026,最新節,20260428
10,栃木シティ,12,12,4,3,1,8,7,1,13,28,-15,,2026,最新節,20260428
1,いわきＦＣ,26,12,9,7,2,3,2,1,18,11,+7,,2026,最新節,20260428
2,ヴァンフォーレ甲府,23,12,8,7,1,4,4,0,14,8,+6,,2026,最新節,20260428
3,藤枝ＭＹＦＣ,22,12,7,5,2,5,2,3,16,14,+2,,2026,最新節,20260428
4,ＲＢ大宮アルディージャ,21,12,7,6,1,5,4,1,26,17,+9,,2026,最新節,20260428
5,ＦＣ岐阜,21,12,7,6,1,5,4,1,18,14,+4,,2026,最新節,20260428
6,松本山雅ＦＣ,18,12,6,5,1,6,5,1,23,15,+8,,2026,最新節,20260428
7,ジュビロ磐田,16,12,6,3,3,6,5,1,9,13,-4,,2026,最新節,20260428
8,北海道コンサドーレ札幌,16,12,6,4,2,6,6,0,12,17,-5,,2026,最新節,20260428
9,ＡＣ長野パルセイロ,9,12,2,2,0,10,7,3,10,24,-14,,2026,最新節,20260428
10,福島ユナイテッドＦＣ,8,12,2,2,0,10,8,2,16,29,-13,,2026,最新節,20260428
1,徳島ヴォルティス,27,12,9,9,0,3,3,0,30,8,+22,,2026,最新節,20260428
2,カターレ富山,27,12,10,7,3,2,2,0,28,16,+12,,2026,最新節,20260428
3,高知ユナイテッドＳＣ,24,12,8,7,1,4,3,1,20,17,+3,,2026,最新節,20260428
4,アルビレックス新潟,22,12,8,5,3,4,3,1,13,11,+2,,2026,最新節,20260428
5,愛媛ＦＣ,19,12,6,5,1,6,4,2,15,12,+3,,2026,最新節,20260428
6,ツエーゲン金沢,17,12,6,3,3,6,4,2,10,16,-6,,2026,最新節,20260428
7,カマタマーレ讃岐,13,12,4,4,0,8,7,1,8,22,-14,,2026,最新節,20260428
8,ＦＣ大阪,11,12,3,2,1,9,6,3,6,10,-4,,2026,最新節,20260428
9,ＦＣ今治,10,12,3,2,1,9,7,2,6,12,-6,,2026,最新節,20260428
10,奈良クラブ,10,12,3,2,1,9,7,2,14,26,-12,,2026,最新節,20260428
1,テゲバジャーロ宮崎,33,12,11,11,0,1,1,0,25,7,+18,,2026,最新節,20260428
2,鹿児島ユナイテッドＦＣ,23,12,8,6,2,4,3,1,14,9,+5,,2026,最新節,20260428
3,サガン鳥栖,21,12,7,6,1,5,4,1,14,9,+5,,2026,最新節,20260428
4,レノファ山口ＦＣ,20,12,7,5,2,5,4,1,15,14,+1,,2026,最新節,20260428
5,大分トリニータ,18,12,6,5,1,6,5,1,15,12,+3,,2026,最新節,20260428
6,ロアッソ熊本,16,12,5,5,0,7,6,1,13,15,-2,,2026,最新節,20260428
7,レイラック滋賀ＦＣ,13,11,4,4,0,7,6,1,7,14,-7,,2026,最新節,20260428
8,ギラヴァンツ北九州,11,12,3,3,0,9,7,2,12,19,-7,,2026,最新節,20260428
9,ＦＣ琉球,11,12,4,1,3,8,6,2,8,16,-8,,2026,最新節,20260428
10,ガイナーレ鳥取,11,11,4,2,2,7,6,1,6,14,-8,,2026,最新節,20260428
