順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,藤枝ＭＹＦＣ,6,2,2,0,0,5,1,4,W W,2026,最新節,20260821,regular_2026_27,0
2,横浜ＦＣ,6,2,2,0,0,4,1,3,W W,2026,最新節,20260821,regular_2026_27,0
3,ＲＢ大宮アルディージャ,6,2,2,0,0,4,2,2,W W,2026,最新節,20260821,regular_2026_27,0
4,湘南ベルマーレ,6,2,2,0,0,2,0,2,W W,2026,最新節,20260821,regular_2026_27,0
5,サガン鳥栖,4,2,1,1,0,2,0,2,W D,2026,最新節,20260821,regular_2026_27,0
6,栃木シティ,3,2,1,0,1,5,2,3,L W,2026,最新節,20260821,regular_2026_27,0
7,カターレ富山,3,2,1,0,1,4,2,2,L W,2026,最新節,20260821,regular_2026_27,0
8,北海道コンサドーレ札幌,3,2,1,0,1,3,2,1,W L,2026,最新節,20260821,regular_2026_27,0
9,モンテディオ山形,3,2,1,0,1,2,1,1,W L,2026,最新節,20260821,regular_2026_27,0
10,アルビレックス新潟,3,2,1,0,1,2,2,0,L W,2026,最新節,20260821,regular_2026_27,0
11,いわきＦＣ,3,2,1,0,1,3,4,-1,W L,2026,最新節,20260821,regular_2026_27,0
12,ヴァンラーレ八戸,3,2,1,0,1,2,5,-3,W L,2026,最新節,20260821,regular_2026_27,0
13,テゲバジャーロ宮崎,1,2,0,1,1,1,2,-1,L D,2026,最新節,20260821,regular_2026_27,0
14,大分トリニータ,1,2,0,1,1,0,1,-1,L D,2026,最新節,20260821,regular_2026_27,0
15,ジュビロ磐田,1,2,0,1,1,2,4,-2,D L,2026,最新節,20260821,regular_2026_27,0
16,ヴァンフォーレ甲府,1,2,0,1,1,1,3,-2,L D,2026,最新節,20260821,regular_2026_27,0
17,ベガルタ仙台,1,2,0,1,1,0,2,-2,L D,2026,最新節,20260821,regular_2026_27,0
17,徳島ヴォルティス,1,2,0,1,1,0,2,-2,L D,2026,最新節,20260821,regular_2026_27,0
19,ブラウブリッツ秋田,1,2,0,1,1,1,5,-4,D L,2026,最新節,20260821,regular_2026_27,0
20,ＦＣ今治,0,2,0,0,2,3,5,-2,L L,2026,最新節,20260821,regular_2026_27,0
