match_date,competition,home_team,away_team,city,country,memo,memo2
2026/4/8,ACL2,G大阪,バンコクU,吹田,日本,none,
2026/4/15,ACL2,G大阪,バンコクU,バンコク,タイ,long,
2026/4/16,ACL Elite,神戸,アル・サッド,ジッダ,サウジアラビア,long_haul,
2026/4/17,ACL Elite,町田,アル・イテハド,ジッダ,サウジアラビア,long_haul,
2026/4/26,ACL Elite,町田,アル・アハリ・サウジ,KASC,サウジアラビア,long_haul,
2026/5/17,ACL2,G大阪,アルナスル,吹田,サウジアラビア,long_haul,
2026/09/15,ACL Elite,鹿島,ニューカッスル・ジェッツ,鹿嶋,日本,第1節,
2026/09/15,ACL Elite,G大阪,コンアン・ハノイ,吹田,日本,第1節,
2026/09/15,ACL Elite,大田,京都,大田広域市,韓国,第1節,
2026/09/16,ACL Elite,全北現代,柏,全北特別自治道,韓国,第1節,
2026/09/16,ACL Elite,ポートFC,神戸 ,バンコク,タイ,第1節,
2026/09/17,ACL2,町田,PKRスヴァイリエン,町田,日本,,
2026/10/13,ACL Elite,ニューカッスル・ジェッツ,G大阪,ニューカッスル,オーストラリア,第2節,
2026/10/13,ACL Elite,京都,ラチャブリ,京都,日本,第2節,
2026/10/13,ACL Elite,コンアン・ハノイ,鹿島,ハノイ,ベトナム,第2節,
2026/10/14,ACL Elite,柏,ポートFC,柏,日本,第2節,
2026/10/14,ACL Elite,神戸,全北現代,神戸,日本,第2節,
2026/10/15,ACL2,タンピネス・ローバース,町田,シンガポール,シンガポール,,
2026/10/27,ACL Elite,京都,ニューカッスル・ジェッツ,京都,日本,第3節,
2026/10/27,ACL Elite,大田,神戸,大田,韓国,第3節,
2026/10/27,ACL Elite,ラチャブリ,柏,ラチャブリ,タイ,第3節,
2026/10/28,ACL Elite,鹿島,浦項,鹿嶋,日本,第3節,
2026/10/28,ACL Elite,G大阪,ブリーラム,吹田,日本,第3節,
2026/10/29,ACL2,上海申花,町田,上海,中国,,
2026/11/03,ACL Elite,柏,大田,柏,日本,第4節,
2026/11/03,ACL Elite,神戸,ラチャブリ,神戸,日本,第4節,
2026/11/03,ACL Elite,コンアン・ハノイ,京都,ハノイ,ベトナム,第4節,
2026/11/04,ACL Elite,浦項,G大阪,浦項,韓国,第4節,
2026/11/04,ACL Elite,ブリーラム・U,鹿島,ブリーラム,タイ,第4節,
2026/11/05,ACL2,町田,上海申花,町田,日本,,
2026/11/24,ACL Elite,ニューカッスル・ジェッツ,柏,ニューカッスル,オーストラリア,第5節,
2026/11/24,ACL Elite,京都,浦項,京都,日本,第5節,
2026/11/24,ACL Elite,コンアン・ハノイ,神戸,ハノイ,ベトナム,第5節,
2026/11/25,ACL Elite,鹿島,全北現代,鹿嶋,日本,第5節,
2026/11/25,ACL Elite,G大阪,ポートFC,吹田,日本,第5節,
2026/11/26,ACL2,PKRスヴァイリエン,町田,スヴァイリエン,カンボジア,,
2026/12/01,ACL Elite,柏,コンアン・ハノイ,柏,日本,第6節,
2026/12/01,ACL Elite,神戸,ニューカッスル・ジェッツ,神戸,日本,第6節,
2026/12/01,ACL Elite,ブリーラム・U,京都,ブリーラム,タイ,第6節,
2026/12/02,ACL Elite,全北現代,G大阪,全北特別自治道,韓国,第6節,
2026/12/02,ACL Elite,ポートFC,鹿島,バンコク,タイ,第6節,
2026/12/03,ACL2,町田,タンピネス・ローバース,町田,日本,,
2027/02/09,ACL Elite,京都,全北現代,京都,日本,第7節,
2027/02/09,ACL Elite,大田,鹿島,大田広域市,韓国,第7節,
2027/02/09,ACL Elite,ラチャブリ,G大阪,ラチャブリ,タイ,第7節,
2027/02/10,ACL Elite,柏,ブリーラム・U,柏,日本,第7節,
2027/02/10,ACL Elite,神戸,浦項,神戸,日本,第7節,
2027/02/16,ACL Elite,鹿島,ラチャブリ,鹿嶋,日本,第8節,
2027/02/16,ACL Elite,G大阪,大田,吹田,日本,第8節,
2027/02/16,ACL Elite,浦項,柏,浦項,韓国,第8節,
2027/02/16,ACL Elite,ポートFC,京都,バンコク,タイ,第8節,
2027/02/16,ACL Elite,ブリーラム・U,神戸,ブリーラム,タイ,第8節,
