背番号,Unnamed: 1,HG,名前,Pos.,出生地 ※1,生年月日,身長/体重,出場 試合数 ※2,ゴール 数 ※3,player_no,position,player_name,birth,height_weight,club_key,club_name,fetched_at,source_url
1.0,,,早川 友基,GK,神奈川県,1999/3/3,187/81,3,0,1.0,GK,早川 友基,1999/3/3,187/81,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
21.0,,HG,山田 大樹,GK,千葉県,2002/1/8,192/90,0,0,21.0,GK,山田 大樹,2002/1/8,192/90,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
29.0,,,梶川 裕嗣,GK,愛知県,1991/7/26,185/78,0,0,29.0,GK,梶川 裕嗣,1991/7/26,185/78,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
31.0,,,藤井 陽登,GK,青森県,2003/6/5,183/79,0,0,31.0,GK,藤井 陽登,2003/6/5,183/79,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
2.0,,,安西 幸輝,DF,兵庫県,1995/5/31,172/64,0,0,2.0,DF,安西 幸輝,1995/5/31,172/64,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
3.0,,,キム テヒョン,DF,大韓民国,2000/9/17,187/82,3,1,3.0,DF,キム テヒョン,2000/9/17,187/82,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
4.0,,,千田 海人,DF,宮城県,1994/10/17,186/82,0,0,4.0,DF,千田 海人,1994/10/17,186/82,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
5.0,,HG,関川 郁万,DF,東京都,2000/9/13,182/72,0,0,5.0,DF,関川 郁万,2000/9/13,182/72,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
7.0,,,小川 諒也,DF,東京都,1996/11/24,183/78,3,0,7.0,DF,小川 諒也,1996/11/24,183/78,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
16.0,,HG,溝口 修平,DF,茨城県,2004/2/13,174/66,2,0,16.0,DF,溝口 修平,2004/2/13,174/66,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
22.0,,,濃野 公人,DF,福岡県,2002/3/26,179/67,2,0,22.0,DF,濃野 公人,2002/3/26,179/67,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
23.0,,,津久井 佳祐,DF,埼玉県,2004/5/21,180/70,0,0,23.0,DF,津久井 佳祐,2004/5/21,180/70,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
25.0,,,小池 龍太,DF,東京都,1995/8/29,170/65,2,0,25.0,DF,小池 龍太,1995/8/29,170/65,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
28.0,,HG,大川 佑梧,DF,茨城県,2007/7/14,185/73,0,0,28.0,DF,大川 佑梧,2007/7/14,185/73,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
32.0,,HG,松本 遥翔,DF,埼玉県,2006/9/29,176/73,1,0,32.0,DF,松本 遥翔,2006/9/29,176/73,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
35.0,,,元砂 晏翔仁 ウデンバ,DF,兵庫県,2009/3/10,192/82,0,0,35.0,DF,元砂 晏翔仁 ウデンバ,2009/3/10,192/82,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
55.0,,HG,植田 直通,DF,熊本県,1994/10/24,186/79,3,1,55.0,DF,植田 直通,1994/10/24,186/79,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
6.0,,,三竿 健斗,MF,東京都,1996/4/16,181/73,2,0,6.0,MF,三竿 健斗,1996/4/16,181/73,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
10.0,,HG,柴崎 岳,MF,青森県,1992/5/28,175/64,1,0,10.0,MF,柴崎 岳,1992/5/28,175/64,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
13.0,,,知念 慶,MF,沖縄県,1995/3/17,177/73,3,0,13.0,MF,知念 慶,1995/3/17,177/73,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
14.0,,,樋口 雄太,MF,佐賀県,1996/10/30,168/66,3,0,14.0,MF,樋口 雄太,1996/10/30,168/66,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
20.0,,HG,舩橋 佑,MF,茨城県,2002/7/12,175/67,0,0,20.0,MF,舩橋 佑,2002/7/12,175/67,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
24.0,,,林 晴己,MF,山口県,2003/12/5,177/73,3,0,24.0,MF,林 晴己,2003/12/5,177/73,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
27.0,,HG,松村 優太,MF,大阪府,2001/4/13,173/63,0,0,27.0,MF,松村 優太,2001/4/13,173/63,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
71.0,,HG,荒木 遼太郎,MF,熊本県,2002/1/29,170/60,3,0,71.0,MF,荒木 遼太郎,2002/1/29,170/60,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
9.0,,,レオ セアラ,FW,ブラジル,1995/2/3,178/78,3,2,9.0,FW,レオ セアラ,1995/2/3,178/78,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
11.0,,,田川 亨介,FW,長崎県,1999/2/11,181/70,0,0,11.0,FW,田川 亨介,1999/2/11,181/70,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
17.0,,,エウベル,FW,ブラジル,1992/5/27,170/70,3,0,17.0,FW,エウベル,1992/5/27,170/70,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
19.0,,,師岡 柊生,FW,東京都,2000/12/9,174/69,0,0,19.0,FW,師岡 柊生,2000/12/9,174/69,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
30.0,,,吉田 湊海,FW,神奈川県,2008/7/15,172/72,0,0,30.0,FW,吉田 湊海,2008/7/15,172/72,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
34.0,,HG,徳田 誉,FW,千葉県,2007/2/18,186/83,1,0,34.0,FW,徳田 誉,2007/2/18,186/83,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
