team,category,stadium,place,lat,lon
浦和レッズ,J1,埼玉スタジアム2002,〒336-0967 埼玉県さいたま市緑区美園２丁目１,35.903885999464606,139.71783654966347
横浜F・マリノス,J1,日産スタジアム,〒222-0036 神奈川県横浜市港北区小机町３３００,35.51011680735539,139.607226716569
FC東京 ,J1,味の素スタジアム,〒182-0032 東京都調布市西町３７６−３,35.664206155282656,139.5276784515036
 東京ヴェルディ,J1,味の素スタジアム,〒182-0032 東京都調布市西町３７６−３,35.664206155282656,139.5276784515036
名古屋グランパス,J1,豊田スタジアム,〒471-0016 愛知県豊田市千石町７丁目２,35.08473962063071,137.17116401709413
ガンバ大阪,J1,パナソニックスタジアム吹田,〒565-0826 大阪府吹田市千里万博公園３−３ 市立吹田サッカースタジアム,34.80287067613142,135.53846087475415
鹿島アントラーズ,J1,メルカリスタジアム,〒314-0007 茨城県鹿嶋市神向寺後山２６−２,35.99217312474389,140.64071506686008
サンフレッチェ広島,J1,エディオンピースウイング広島,〒730-0011 広島県広島市中区基町１５−２−１,34.40226716716296,132.45706794347265
ヴィッセル神戸,J1,ノエビアスタジアム神戸,〒652-0855 兵庫県神戸市兵庫区御崎町１丁目２−２,34.6569962029823,135.17006277844857
川崎フロンターレ,J1,Uvanceとどろきスタジアム by Fujitsu,〒211-0052 神奈川県川崎市中原区等々力１−１,35.585892797514894,139.6528842691062
セレッソ大阪,J1,ヨドコウ桜スタジアム,〒546-0034 大阪府大阪市東住吉区長居公園１−１,34.615472717803655,135.51676080358234
アビスパ福岡,J1,ベスト電器スタジアム,〒812-0852 福岡県福岡市博多区東平尾公園２丁目１−１,33.5860172015689,130.4616167164922
京都サンガ,J1,サンガスタジアム by Kyocera,〒621-0807 京都府亀岡市亀岡駅北１丁目8−２,35.01746678668297,135.5851611612701
清水エスパルス,J1,IAIスタジアム日本平,〒424-0926 静岡県静岡市清水区村松３８８０−１,34.98448998705034,138.48196538401172
V・ファーレン長崎,J1,PEACE STADIUM,〒850-0046 長崎県長崎市幸町６−７−１,32.75918381036681,129.8645230273383
ジェフ千葉,J1,フクダ電子アリーナ,〒260-0835 千葉県千葉市中央区川崎町１−２０,35.57765269401521,140.12347406869307
柏レイソル,J1,三協フロンテア柏スタジアム,〒277-0083 千葉県柏市日立台１丁目２−５０,35.84902140785495,139.97601829568976
水戸ホーリーホック,J1,K’sデンキスタジアム水戸,〒310-0914 茨城県水戸市小吹町 ２０５８ １,36.34548848840872,140.41299789571065
ファジアーノ岡山,J1,ＪＦＥ晴れの国スタジアム,〒700-0012 岡山県岡山市北区いずみ町２−１−１１,34.68075765895528,133.91923509564234
ＦＣ町田ゼルビア,J1,町田ＧＩＯＮスタジアム,〒195-0063 東京都町田市野津田町２０３５,35.59269833903571,139.4395052110222
広島,J1,Ｅピース,〒730-0011 広島県広島市中区基町１５−２−１,34.40226716716296,132.45706794347265
水戸,J1,Ｋｓスタ,〒310-0914 茨城県水戸市小吹町 ２０５８ １,36.34548848840872,140.41299789571065
長崎,J1,ピースタ,〒850-0046 長崎県長崎市幸町６−７−１,32.75918381036681,129.8645230273383
名古屋,J1,豊田ス,〒471-0016 愛知県豊田市千石町７丁目２,35.08473962063071,137.17116401709413
北海道コンサドーレ札幌,J2,大和ハウス プレミストドーム,〒062-0045 北海道札幌市豊平区羊ケ丘１,43.015333789219696,141.40988612006493
ヴァンラーレ八戸,J2,プライフーズスタジアム,〒039-2241 青森県八戸市市川町市川後５５−１,40.590528022102994,141.4562383184187
ベガルタ仙台,J2,ユアテックスタジアム仙台,〒981-3131 宮城県仙台市泉区七北田柳７８,38.319339256918454,140.88232170743814
ブラウブリッツ秋田,J2,ソユースタジアム,〒010-0974 秋田県秋田市八橋運動公園１−１０,39.72167240639048,140.09631988051552
モンテディオ山形,J2,NDソフトスタジアム山形,〒994-0000 山形県天童市山王１−１,38.335729952607466,140.37889386511043
