ホーム　／　アウェイ	C大阪	FC東京	G大阪	いわき	京都	今治	仙台	八戸	千葉	名古屋	大分	大宮	宮崎	富山	山口	山形	岡山	川崎F	広島	徳島	愛媛	新潟	札幌	東京V	柏	栃木C	横浜FC	横浜FM	水戸	浦和	清水	湘南	熊本	甲府	町田	磐田	神戸	福岡	秋田	藤枝	長崎	鳥取	鳥栖	鹿島
C大阪	0.0	382.9	20.9	551.1	45.1	243.4	632.1	845.2	432.5	159.7	389.3	400.8	468.6	270.1	377.8	599.9	146.3	391.4	281.3	96.3	264.8	482.5	1063.8	382.9	427.6	420.1	384.0	385.3	483.2	407.4	273.8	357.7	478.9	301.1	373.0	216.1	32.1	479.3	697.6	249.9	562.1	150.6	480.9	489.5
FC東京	382.9	0.0	374.7	192.3	364.7	625.8	318.8	573.1	54.7	223.2	771.7	29.6	842.1	235.0	756.3	306.5	521.3	14.3	658.7	477.5	647.7	250.2	833.2	0.0	45.4	75.7	22.7	18.6	109.9	31.7	121.3	39.4	861.2	84.8	11.3	182.8	411.6	860.8	453.9	146.2	944.9	480.4	863.4	106.8
G大阪	20.9	374.7	0.0	539.1	24.2	251.3	616.8	827.4	425.4	152.1	399.6	391.5	482.7	251.9	382.7	583.9	148.6	383.8	285.5	110.0	274.5	465.5	1044.3	374.7	419.0	408.8	377.0	378.1	473.0	398.3	269.2	351.3	489.2	291.8	365.2	213.7	37.4	486.1	679.4	246.1	571.4	140.2	488.7	480.9
いわき	551.1	192.3	539.1	0.0	524.2	787.8	144.8	400.6	173.3	395.5	938.3	164.6	1018.6	329.4	909.4	152.7	677.5	192.7	812.5	647.4	812.9	186.1	668.5	192.3	152.3	132.3	205.9	202.0	84.9	160.8	311.5	230.9	1027.8	256.1	203.5	370.7	576.4	1017.5	308.1	335.4	1108.4	620.3	1022.9	115.7
京都	45.1	364.7	24.2	524.2	0.0	263.9	598.2	805.9	416.5	144.6	414.1	380.0	501.0	230.3	391.6	564.6	156.6	374.5	294.0	129.4	288.7	445.0	1021.2	364.7	408.4	395.1	368.4	369.2	460.3	387.0	263.9	343.3	503.6	280.8	355.5	211.5	55.2	496.7	657.5	241.8	584.6	133.2	500.4	470.2
今治	243.4	625.8	251.3	787.8	263.9	0.0	855.0	1045.4	675.8	402.7	152.5	642.7	258.0	479.8	140.7	818.9	113.2	634.6	61.2	153.3	32.5	695.4	1238.0	625.8	670.2	659.0	627.3	628.6	723.9	649.5	516.7	601.1	241.0	543.1	616.1	457.5	214.2	236.2	894.9	492.4	320.7	195.3	237.6	732.2
仙台	632.1	318.8	616.8	144.8	598.2	855.0	0.0	257.3	312.2	488.6	1007.5	289.2	1099.1	375.9	964.7	44.0	742.0	323.0	870.6	726.8	883.0	166.7	524.1	318.8	286.2	245.9	336.7	332.3	223.4	287.7	428.2	358.1	1095.8	362.4	329.2	481.5	652.9	1074.6	170.1	449.4	1171.8	672.1	1083.0	259.7
八戸	845.2	573.1	827.4	400.6	805.9	1045.4	257.3	0.0	569.5	718.4	1196.2	543.5	1299.6	575.5	1137.1	267.2	933.3	578.4	1049.6	934.8	1075.9	365.0	269.7	573.1	542.8	498.4	592.1	587.6	480.7	542.8	675.8	612.1	1281.0	606.6	583.0	724.2	860.8	1246.4	150.6	695.0	1349.5	852.2	1258.4	516.2
千葉	432.5	54.7	425.4	173.3	416.5	675.8	312.2	569.5	0.0	273.4	820.2	58.0	887.0	287.6	807.8	307.5	572.9	42.6	710.3	526.1	696.8	273.3	834.4	54.7	33.0	94.8	48.5	47.3	89.3	51.5	162.9	75.4	909.5	138.7	61.9	225.3	462.0	911.4	460.8	188.3	993.9	534.2	913.4	65.6
名古屋	159.7	223.2	152.1	395.5	144.6	402.7	488.6	718.4	273.4	0.0	548.8	241.4	623.5	171.3	534.7	460.8	300.0	231.9	437.3	254.9	424.5	354.0	954.4	223.2	267.8	263.3	224.9	226.1	324.5	247.9	119.9	199.3	638.4	141.9	213.4	75.7	188.6	638.1	576.6	99.4	721.8	270.9	640.3	329.7
大分	389.3	771.7	399.6	938.3	414.1	152.5	1007.5	1196.2	820.2	548.8	0.0	790.1	126.3	632.3	108.0	971.4	265.7	779.8	152.6	294.2	125.4	847.8	1383.2	771.7	816.6	808.4	771.7	773.3	872.3	796.7	658.8	744.9	89.6	690.4	761.6	597.9	362.2	119.0	1045.6	633.9	174.3	344.1	107.4	878.4
大宮	400.8	29.6	391.5	164.6	380.0	642.7	289.2	543.5	58.0	241.4	790.1	0.0	863.3	232.3	771.3	277.0	536.4	36.8	673.6	496.2	665.5	224.5	803.9	29.6	31.7	46.9	49.8	45.2	84.7	7.7	147.1	68.9	879.6	99.7	40.0	207.3	428.6	876.7	425.1	171.3	962.7	491.4	880.0	91.0
宮崎	468.6	842.1	482.7	1018.6	501.0	258.0	1099.1	1299.6	887.0	623.5	126.3	863.3	0.0	728.0	231.4	1065.3	367.2	848.6	274.0	372.8	226.0	944.1	1495.9	842.1	887.5	886.7	839.1	841.3	947.3	869.4	724.0	811.7	106.8	764.8	831.5	661.7	446.2	193.7	1149.4	698.7	170.7	453.0	170.5	948.4
富山	270.1	235.0	251.9	329.4	230.3	479.8	375.9	575.5	287.6	171.3	632.3	232.3	728.0	0.0	589.8	339.1	366.6	249.1	495.0	359.5	508.4	216.2	796.2	235.0	263.8	221.4	251.7	249.6	289.2	239.9	216.2	239.9	720.2	167.6	231.9	220.0	285.3	699.4	427.5	215.2	795.9	297.2	707.3	316.5
山口	377.8	756.3	382.7	909.4	391.6	140.7	964.7	1137.1	807.8	534.7	108.0	771.3	231.4	589.8	0.0	926.2	235.0	766.0	97.6	292.6	134.8	800.7	1310.3	756.3	799.9	783.7	759.5	760.5	850.3	778.4	651.4	734.0	158.0	672.3	747.1	593.7	346.9	110.1	986.8	627.7	213.0	292.6	121.5	861.7
山形	599.9	306.5	583.9	152.7	564.6	818.9	44.0	267.2	307.5	460.8	971.4	277.0	1065.3	339.1	926.2	0.0	705.7	312.5	832.8	693.7	847.3	125.9	527.5	306.5	278.8	231.4	326.1	321.6	221.3	276.7	409.2	345.3	1059.3	341.0	316.2	459.5	619.6	1036.2	156.0	429.1	1134.3	633.9	1045.1	261.6
岡山	146.3	521.3	148.6	677.5	156.6	113.2	742.0	933.3	572.9	300.0	265.7	536.4	367.2	366.6	235.0	705.7	0.0	530.9	137.5	85.7	142.7	582.1	1130.2	521.3	564.9	550.1	524.6	525.6	616.1	543.5	417.8	499.2	353.8	437.3	512.0	361.7	114.4	340.7	782.9	394.6	431.6	90.7	345.4	626.8
川崎F	391.4	14.3	383.8	192.7	374.5	634.6	323.0	578.4	42.6	231.9	779.8	36.8	848.6	249.1	766.0	312.5	530.9	0.0	668.4	485.5	656.0	260.8	839.8	14.3	41.3	83.6	13.7	9.4	108.7	35.8	125.6	39.0	869.1	96.2	19.3	187.8	420.5	869.9	461.5	150.8	953.2	491.7	872.2	99.9
広島	281.3	658.7	285.5	812.5	294.0	61.2	870.6	1049.6	710.3	437.3	152.6	673.6	274.0	495.0	97.6	832.8	137.5	668.4	0.0	200.2	77.9	707.7	1231.6	658.7	702.3	686.3	662.0	663.0	752.7	680.7	554.5	636.6	232.0	574.7	649.5	497.4	250.1	205.1	899.0	531.0	301.7	199.2	212.4	764.1
徳島	96.3	477.5	110.0	647.4	129.4	153.3	726.8	934.8	526.1	254.9	294.2	496.2	372.8	359.5	292.6	693.7	85.7	485.5	200.2	0.0	171.2	574.4	1146.3	477.5	522.5	516.3	477.5	479.1	579.1	502.8	365.2	450.9	383.6	396.7	467.4	305.1	74.3	389.1	786.0	340.6	467.9	147.9	389.0	584.3
愛媛	264.8	647.7	274.5	812.9	288.7	32.5	883.0	1075.9	696.8	424.5	125.4	665.5	226.0	508.4	134.8	847.3	142.7	656.0	77.9	171.2	0.0	724.3	1269.9	647.7	692.4	683.2	648.3	649.8	747.4	672.2	536.4	621.8	214.9	565.8	637.7	476.2	237.1	219.6	925.4	511.7	297.3	227.0	218.1	754.3
新潟	482.5	250.2	465.5	186.1	445.0	695.4	166.7	365.0	273.3	354.0	847.8	224.5	944.1	216.2	800.7	125.9	582.1	260.8	707.7	574.4	724.3	0.0	604.3	250.2	240.4	179.5	272.7	268.3	208.8	227.7	326.4	283.4	935.2	254.8	256.9	366.8	500.1	910.7	223.3	341.8	1009.4	508.7	919.9	252.9
札幌	1063.8	833.2	1044.3	668.5	1021.2	1238.0	524.1	269.7	834.4	954.4	1383.2	803.9	1495.9	796.2	1310.3	527.5	1130.2	839.8	1231.6	1146.3	1269.9	604.3	0.0	833.2	806.3	757.6	853.3	848.8	746.5	803.9	928.0	871.4	1462.7	856.9	842.5	971.0	1074.4	1416.0	382.3	945.0	1522.5	1042.8	1431.2	783.7
東京V	382.9	0.0	374.7	192.3	364.7	625.8	318.8	573.1	54.7	223.2	771.7	29.6	842.1	235.0	756.3	306.5	521.3	14.3	658.7	477.5	647.7	250.2	833.2	0.0	45.4	75.7	22.7	18.6	109.9	31.7	121.3	39.4	861.2	84.8	11.3	182.8	411.6	860.8	453.9	146.2	944.9	480.4	863.4	106.8
柏	427.6	45.4	419.0	152.3	408.4	670.2	286.2	542.8	33.0	267.8	816.6	31.7	887.5	263.8	799.9	278.8	564.9	41.3	702.3	522.5	692.4	240.4	806.3	45.4	0.0	61.9	54.0	50.3	67.7	24.0	166.0	80.3	906.1	127.6	56.2	227.9	456.0	904.8	430.7	191.2	989.7	521.6	907.7	61.9
栃木C	420.1	75.7	408.8	132.3	395.1	659.0	245.9	498.4	94.8	263.3	808.4	46.9	886.7	221.4	783.7	231.4	550.1	83.6	686.3	516.3	683.2	179.5	757.6	75.7	61.9	0.0	96.7	92.1	68.7	48.7	183.6	113.9	898.0	123.9	84.9	240.5	446.2	890.7	378.3	206.2	979.6	498.2	895.2	97.2
横浜FC	384.0	22.7	377.0	205.9	368.4	627.3	336.7	592.1	48.5	224.9	771.7	49.8	839.1	251.7	759.5	326.1	524.6	13.7	662.0	477.5	648.3	272.7	853.3	22.7	54.0	96.7	0.0	4.6	121.7	49.4	115.3	27.6	861.0	93.3	20.2	177.7	413.5	862.9	474.8	140.7	945.4	487.4	864.9	110.2
横浜FM	385.3	18.6	378.1	202.0	369.2	628.6	332.3	587.6	47.3	226.1	773.3	45.2	841.3	249.6	760.5	321.6	525.6	9.4	663.0	479.1	649.8	268.3	848.8	18.6	50.3	92.1	4.6	0.0	117.9	44.9	117.7	30.3	862.6	92.8	17.7	180.0	414.7	864.1	470.3	143.1	946.9	487.6	866.2	107.6
水戸	483.2	109.9	473.0	84.9	460.3	723.9	223.4	480.7	89.3	324.5	872.3	84.7	947.3	289.2	850.3	221.3	616.1	108.7	752.7	579.1	747.4	208.8	746.5	109.9	67.7	68.7	121.7	117.9	0.0	79.4	230.9	147.4	961.9	182.6	121.2	291.8	510.3	956.8	376.4	255.6	1044.4	566.2	960.7	44.3
浦和	407.4	31.7	398.3	160.8	387.0	649.5	287.7	542.8	51.5	247.9	796.7	7.7	869.4	239.9	778.4	276.7	543.5	35.8	680.7	502.8	672.2	227.7	803.9	31.7	24.0	48.7	49.4	44.9	79.4	0.0	151.6	71.0	886.2	106.4	42.8	212.4	435.4	883.7	425.8	176.1	969.4	498.8	886.9	83.7
清水	273.8	121.3	269.2	311.5	263.9	516.7	428.2	675.8	162.9	119.9	658.8	147.1	724.0	216.2	651.4	409.2	417.8	125.6	554.5	365.2	536.4	326.4	928.0	121.3	166.0	183.6	115.3	117.7	230.9	151.6	0.0	87.8	747.8	71.6	110.1	62.4	304.5	752.9	545.7	25.4	832.8	390.5	753.8	225.3
湘南	357.7	39.4	351.3	230.9	343.3	601.1	358.1	612.1	75.4	199.3	744.9	68.9	811.7	239.9	734.0	345.3	499.2	39.0	636.6	450.9	621.8	283.4	871.4	39.4	80.3	113.9	27.6	30.3	147.4	71.0	87.8	0.0	834.1	74.8	29.1	150.1	387.5	836.9	491.3	113.2	918.7	464.2	838.6	137.7
熊本	478.9	861.2	489.2	1027.8	503.6	241.0	1095.8	1281.0	909.5	638.4	89.6	879.6	106.8	720.2	158.0	1059.3	353.8	869.1	232.0	383.6	214.9	935.2	1462.7	861.2	906.1	898.0	861.0	862.6	961.9	886.2	747.8	834.1	0.0	780.0	851.1	686.6	451.8	89.1	1130.4	722.8	87.9	429.0	65.0	967.9
甲府	301.1	84.8	291.8	256.1	280.8	543.1	362.4	606.6	138.7	141.9	690.4	99.7	764.8	167.6	672.3	341.0	437.3	96.2	574.7	396.7	565.8	254.8	856.9	84.8	127.6	123.9	93.3	92.8	182.6	106.4	71.6	74.8	780.0	0.0	76.9	119.0	329.0	777.4	474.7	88.5	863.0	395.6	780.5	189.4
