season,toto_round,J1_round,match_no,match_date,home_team,away_team,,,
2026,1608,1,1,2月7日,千葉,浦和,,,
2026,1608,1,2,2月7日,ＦＣ東京,鹿島,,,
2026,1608,1,3,2月7日,C大阪,G大阪,,,
2026,1608,1,4,2月8日,福岡,岡山,,,
2026,1608,1,5,2月8日,名古屋,清水,,,
2026,1608,1,6,2月8日,川崎F,柏,,,
2026,1608,1,7,2月8日,東京V,水戸,,,
2026,1608,1,8,2月7日,栃木C,仙台,,,
2026,1608,1,9,2月8日,いわき,札幌,,,
2026,1608,1,10,2月7日,湘南,秋田,,,
2026,1608,1,11,2月7日,横浜ＦＣ,山形,,,
2026,1608,1,12,2月8日,愛媛ＦＣ,新潟,,,
2026,1608,1,13,2月8日,ＦＣ琉球,鳥栖,,,
2026,1609,2,1,2月14日,清水,京都,,,
2026,1609,2,2,2月14日,町田,水戸,,,
2026,1609,2,3,2月14日,鹿島,横浜ＦM,,,
2026,1609,2,4,2月15日,柏,東京V,,,
2026,1609,2,5,2月15日,福岡,C大阪,,,
2026,1609,2,6,2月14日,広島,岡山,,,
2026,1609,2,7,2月14日,ＦＣ東京,浦和,,,
2026,1609,2,8,2月15日,千葉,川崎F,,,
2026,1609,2,9,2月15日,G大阪,名古屋,,,
2026,1609,2,10,2月15日,徳島,新潟,,,
2026,1609,2,11,2月14日,大宮,札幌,,,
2026,1609,2,12,2月14日,横浜ＦＣ,仙台,,,
2026,1609,2,13,2月15日,栃木C,秋田,,,
2026,1610,3,1,2月21日,横浜ＦM,浦和,,,
2026,1610,3,2,2月21日,清水,神戸,,,
2026,1610,3,3,2月21日,鹿島,柏,,,
2026,1610,3,4,2月22日,岡山,G大阪,,,
2026,1610,3,5,2月22日,C大阪,広島,,,
2026,1610,3,6,2月21日,川崎F,ＦＣ東京,,,
2026,1610,3,7,2月21日,名古屋,長崎,,,
2026,1610,3,8,2月22日,水戸,千葉,,,
2026,1610,3,9,2月22日,京都,福岡,,,
2026,1610,3,10,2月21日,東京V,町田,,,
2026,1610,3,11,2月21日,宮崎,鳥栖,,,
2026,1610,3,12,2月22日,徳島,富山,,,
2026,1610,3,13,2月21日,藤枝,甲府,,,
2026,1613,4,1,2月28日,横浜ＦM,東京V,,,
2026,1613,4,2,2月28日,G大阪,清水,,,
2026,1613,4,3,2月28日,長崎,C大阪,,,
2026,1613,4,4,3月1日,岡山,名古屋,,,
2026,1613,4,5,3月1日,川崎F,水戸,,,
2026,1613,4,6,2月28日,浦和,鹿島,,,
2026,1613,4,7,2月28日,ＦＣ東京,柏,,,
2026,1613,4,8,2月28日,仙台,八戸,,,
2026,1613,4,9,3月1日,今治,新潟,,,
2026,1613,4,10,3月1日,いわき,藤枝,,,
2026,1613,4,11,2月28日,栃木C,湘南,,,
2026,1613,4,12,2月28日,札幌,ＦＣ岐阜,,,
2026,1613,4,13,2月28日,富山,ＦＣ大阪,,,
2026,1614,5,1,3月7日,千葉,柏,,,
2026,1614,5,2,3月7日,鹿島,東京V,,,
2026,1614,5,3,3月7日,福岡,名古屋,,,
2026,1614,5,4,3月8日,岡山,京都,,,
2026,1614,5,5,3月8日,G大阪,長崎,,,
2026,1614,5,6,3月7日,ＦＣ東京,横浜ＦM,,,
2026,1614,5,7,3月7日,浦和,水戸,,,
2026,1614,5,8,3月7日,C大阪,清水,,,
2026,1614,5,9,3月7日,仙台,湘南,,,
2026,1614,5,10,3月7日,藤枝,磐田,,,
2026,1614,5,11,3月8日,八戸,横浜ＦＣ,,,
2026,1614,5,12,3月8日,山形,秋田,,,
2026,1614,5,13,3月7日,いわき,大宮,,,
2026,1616,6,1,3月14日,横浜ＦM,千葉,,,
2026,1616,6,2,3月14日,名古屋,神戸,,,
2026,1616,6,3,3月14日,水戸,ＦＣ東京,,,
2026,1616,6,4,3月14日,京都,C大阪,,,
2026,1616,6,5,3月14日,広島,G大阪,,,
2026,1616,6,6,3月14日,柏,町田,,,
2026,1616,6,7,3月14日,清水,岡山,,,
2026,1616,6,8,3月14日,鹿島,川崎F,,,
2026,1616,6,9,3月14日,東京V,浦和,,,
2026,1616,6,10,3月15日,長崎,福岡,,,
2026,1616,6,11,3月15日,八戸,栃木C,,,
2026,1616,6,12,3月14日,宮崎,大分,,,
2026,1616,6,13,3月14日,磐田,札幌,,,
2026,1618,7,1,3月21日,岡山,長崎,,,
2026,1618,7,2,3月22日,清水,広島,,,
2026,1618,7,3,3月22日,京都,名古屋,,,
2026,1618,7,4,3月22日,川崎F,横浜ＦM,,,
2026,1618,7,5,3月22日,柏,水戸,,,
2026,1618,7,6,3月21日,福岡,G大阪,,,
2026,1618,7,7,3月22日,鹿島,千葉,,,
2026,1618,7,8,3月22日,C大阪,神戸,,,
2026,1618,7,9,3月22日,浦和,町田,,,
2026,1618,7,10,3月22日,東京V,ＦＣ東京,,,
2026,1618,7,11,3月21日,札幌,甲府,,,
2026,1618,7,12,3月22日,今治,徳島,,,
2026,1618,7,13,3月21日,秋田,八戸,,,
2026,1619,8,1,3月28日,横浜ＦＣ,湘南,,,
2026,1619,8,2,3月28日,甲府,大宮,,,
2026,1619,8,3,3月29日,秋田,仙台,,,
2026,1619,8,4,3月29日,富山,今治,,,
2026,1619,8,5,3月29日,いわき,磐田,,,
2026,1619,8,6,3月28日,藤枝,札幌,,,
2026,1619,8,7,3月29日,山形,栃木C,,,
2026,1619,8,8,3月29日,徳島,高知,,,
2026,1619,8,9,3月29日,鳥取,鳥栖,,,
2026,1619,8,10,3月29日,滋賀,宮崎,,,
2026,1619,8,11,3月29日,山口,大分,,,
2026,1619,8,12,3月29日,ＦＣ大阪,新潟,,,
2026,1619,8,13,3月29日,八戸,ＳＣ相模原,,,
2026,1620,9,1,4月4日,千葉,東京V,,,
2026,1620,9,2,4月4日,名古屋,C大阪,,,
2026,1620,9,3,4月5日,長崎,清水,,,
2026,1620,9,4,4月5日,岡山,神戸,,,
2026,1620,9,5,4月5日,柏,横浜ＦM,,,
2026,1620,9,6,4月4日,水戸,鹿島,,,
