season,origin_competition_key,applies_across_competitions,team,player_name,absence_type,start_date,expected_weeks,expected_return_date,"note
※ cardは、欠場日の翌日をexpected_return_dateとする。",,
2026,special_2026,1,いわき,柴田壮介,injury,26/04/08,,26/10/07,公式 右膝前十字靱帯損傷、右膝外側半月板損傷で全治6ヶ月程度を要する見込み,,
2026,special_2026,1,ロアッソ熊本,武者大夢,injury,26/03/26,,26/12/24,左膝前十字靭帯損傷、左膝外側半月板損傷で加療期間は手術日より約9ヶ月,,
2026,special_2026,1,京都,マルコトゥーリオ,injury,26/05/14,,26/08/13,公式 左長内転筋腱断裂で全治約3ヶ月,,
2026,special_2026,1,山口,沼田航征,injury,26/03/03,,26/09/01,右肩腱板断裂、右肩反復性肩関節脱臼の手術を行い、術後6ヶ月程度の加療予定,,
2026,special_2026,1,新潟,小野裕二,injury,26/04/26,,26/08/25,公式 左内側半月板損傷で全治約4ヶ月の見込み,,
2026,special_2026,1,新潟,落合陸,injury,26/05/23,,26/08/22,公式 左膝外側半月板損傷で全治約3か月の見込み,,
2026,special_2026,1,栃木SC,櫻庭立樹,injury,26/05/27,,26/09/25,公式 右膝外側半月板損傷で復帰まで約4〜6ヶ月を要する見込み,,
2026,special_2026,1,横浜FM,遠野大弥,injury,26/03/26,,26/09/24,右アキレス腱断裂で全治6ヶ月の見込み,,
2026,special_2026,1,福岡,福島和毅,injury,26/05/28,,26/11/26,公式 右膝外側半月板損傷で全治6か月,,
2026,special_2026,1,鳥栖,水巻時飛,injury,26/05/19,,27/01/17,公式 左足前十字靭帯損傷で全治8ヶ月,,
2026,special_2026,1,鳥栖,鈴木大馳,injury,26/05/19,,26/08/18,公式 左足第5中足骨骨折で全治3ヶ月,,
2026,special_2026,1,C大阪,イェンギクシニ,injury,26/03/12,,26/07/30,左大腿直筋腱断裂,,
2026,special_2026,1,G大阪,半田陸,injury,26/04/20,,26/07/13,公式 左膝前十字靱帯損傷、外側半月板損傷,,
2026,special_2026,1,G大阪,横井佑弥,injury,26/02/20,,26/05/15,右前十字靭帯損傷、外側半月板損傷,,
2026,special_2026,1,川崎F,山市秀翔,病気,26/03/09,,26/07/27,右鎖骨下静脈血栓症、右胸郭出口症候群,,
2026,special_2026,1,徳島,三井大輝,injury,26/04/10,,26/07/03,公式 右膝外側半月板断裂,,
2026,special_2026,1,札幌,中村桐耶,injury,26/02/28,,26/05/23,左膝後十字靭帯不全、外側半月板損傷,,
2026,special_2026,1,東京V,吉田泰授,injury,26/05/04,,26/09/21,公式 左膝複合靭帯損傷、半月板損傷,,
2026,special_2026,1,東京V,山見大登,injury,26/05/04,,26/11/16,公式 左膝前十字靭帯損傷,,
2026,special_2026,1,松本,安永玲央,injury,26/05/18,,26/08/10,公式 左第5中足骨疲労骨折,,
2026,special_2026,1,水戸,島谷義進,injury,26/03/19,,26/07/09,第5腰椎分離症,,
