season,origin_competition_key,applies_across_competitions,team,player_name,absence_type,start_date,expected_return_date_min,expected_return_date_max,actual_return_date,note
2026,special_2026,1,いわき,柴田壮介,injury,2026/4/8,2026/10/7,2026/10/7,,公式 右膝前十字靱帯損傷、右膝外側半月板損傷で全治6ヶ月程度を要する見込み
2026,special_2026,1,ロアッソ熊本,武者大夢,injury,2026/3/26,2026/12/24,2026/12/24,,左膝前十字靭帯損傷、左膝外側半月板損傷で加療期間は手術日より約9ヶ月
2026,special_2026,1,京都,マルコトゥーリオ,injury,2026/5/14,2026/8/13,2026/8/13,,公式 左長内転筋腱断裂で全治約3ヶ月
2026,special_2026,1,山口,沼田航征,injury,2026/3/3,2026/9/1,2026/9/1,,右肩腱板断裂、右肩反復性肩関節脱臼の手術を行い、術後6ヶ月程度の加療予定
2026,special_2026,1,新潟,小野裕二,injury,2026/4/26,2026/8/25,2026/8/25,,公式 左内側半月板損傷で全治約4ヶ月の見込み
2026,special_2026,1,新潟,落合陸,injury,2026/5/23,2026/8/22,2026/8/22,,公式 左膝外側半月板損傷で全治約3か月の見込み
2026,special_2026,1,栃木SC,櫻庭立樹,injury,2026/5/27,2026/9/25,2026/11/25,,公式 右膝外側半月板損傷で復帰まで約4〜6ヶ月を要する見込み
2026,special_2026,1,横浜FM,遠野大弥,injury,2026/3/26,2026/9/24,2026/9/24,,右アキレス腱断裂で全治6ヶ月の見込み
2026,special_2026,1,福岡,福島和毅,injury,2026/5/28,2026/11/26,2026/11/26,,公式 右膝外側半月板損傷で全治6か月
2026,special_2026,1,鳥栖,水巻時飛,injury,2026/5/19,2027/1/17,2027/1/17,,公式 左足前十字靭帯損傷で全治8ヶ月
2026,special_2026,1,鳥栖,鈴木大馳,injury,2026/5/19,2026/8/18,2026/8/18,,公式 左足第5中足骨骨折で全治3ヶ月
2026,special_2026,1,C大阪,イェンギクシニ,injury,2026/3/12,2026/7/30,2026/7/30,,左大腿直筋腱断裂
2026,special_2026,1,G大阪,半田陸,injury,2026/4/20,2026/7/13,2026/7/13,,公式 左膝前十字靱帯損傷、外側半月板損傷
2026,special_2026,1,G大阪,横井佑弥,injury,2026/2/20,2026/5/15,2026/5/15,,右前十字靭帯損傷、外側半月板損傷
2026,special_2026,1,川崎F,山市秀翔,病気,2026/3/9,2026/7/27,2026/7/27,,右鎖骨下静脈血栓症、右胸郭出口症候群
2026,special_2026,1,徳島,三井大輝,injury,2026/4/10,2026/7/3,2026/7/3,,公式 右膝外側半月板断裂
2026,special_2026,1,札幌,中村桐耶,injury,2026/2/28,2026/5/23,2026/5/23,,左膝後十字靭帯不全、外側半月板損傷
2026,special_2026,1,東京V,吉田泰授,injury,2026/5/4,2026/9/21,2026/9/21,,公式 左膝複合靭帯損傷、半月板損傷
2026,special_2026,1,東京V,山見大登,injury,2026/5/4,2026/11/16,2026/11/16,,公式 左膝前十字靭帯損傷
2026,special_2026,1,松本,安永玲央,injury,2026/5/18,2026/8/10,2026/8/10,,公式 左第5中足骨疲労骨折
2026,special_2026,1,水戸,島谷義進,injury,2026/3/19,2026/7/9,2026/7/9,,第5腰椎分離症
2026,special_2026,1,甲府,林田 滉也,injury,2026/2/12,2026/6/18,2026/6/18,,右膝前十字靱帯不全損傷、右膝内側側副靱帯損傷、右母趾基節骨骨折で全治未定
2026,special_2026,1,神戸,扇原貴宏,injury,2026/4/30,2026/10/15,2026/10/15,,公式 右膝関節軟骨損傷
2026,special_2026,1,秋田,畑橋拓輝,injury,2026/5/18,2026/11/9,2026/11/9,,公式 左アキレス腱断裂
2026,special_2026,1,秋田,藤山智史,injury,2026/3/14,2026/6/20,2026/6/20,,右膝前十字靭帯損傷、内側側副靭帯損傷、外側半月板損傷、大腿骨外顆骨挫傷
2026,special_2026,1,高知,岡澤韻生,injury,2026/5/9,2026/11/21,2026/11/21,,公式 左膝前十字靱帯損傷、外側半月板損傷
2026,special_2026,1,鳥取,吉田伊吹,injury,2026/3/25,2026/9/16,2026/9/16,,右アキレス腱断裂
2026,special_2026,1,鳥取,温井駿斗,injury,2026/4/28,2026/10/20,2026/10/20,,公式 右アキレス腱断裂
2026,2026_2027,1,大分,川島　康暉,,,,,,公式 右肩関節亜脱臼
,,,水戸,岩崎　博,,,,,,公式 右脛骨疲労骨折
,,,鹿島,安西　幸輝,,,,,,公式 左膝前十字靭帯損傷
,,,鹿島,樋口　雄太,,,,,,公式 右腓骨骨折
,,,東京Ｖ,田邉　秀斗,,,,,,公式 左膝内側側副靱帯損傷で全治6-10週
,,,東京Ｖ,森田　晃樹,,,,,,公式 左鎖骨骨折で全治6-10週
,,,広島,浅野　拓磨,,,,,,公式 左ヒラメ筋肉離れ
