節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,league,stats_asof,stats_source_csv,home_elo_at_prediction,away_elo_at_prediction,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,hfa_added_to_diff,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_scaled,elo_diff_for_prob,elo_diff_used_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,draw_tweak_mode,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,prob_home_raw,prob_away_raw,final_prob_home,final_prob_draw,final_prob_away,prob_delta_home,prob_delta_draw,prob_delta_away,residue_detected,prob_home_win,prob_draw,prob_away_win,prob_home,prob_away,final_result,predicted_result,decision_reason,force_draw_applied,argmax_result,argmax_max_prob,argmax_raw_result,argmax_raw_max_prob,d_scaled,decision_draw_expectation_multiplier,decision_draw_assign_enabled,predicted_highest_prob_result,actual_result,is_correct,stats_home_missing,stats_away_missing,management_missing,data_quality_warn
第１節第１日,j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,サンガＳ,京都,神戸,1.0,1.0,0.0,10.0,2026-02-06 19:03:00,サンガＳ,False,False,True,5.6,8.6,,20260215,weather_features_j1_2026_asof_20260215.csv,False,12.4,4.2,9.7,1.2,368.2,64.1,7.8,66.7,17.2,38.4,14.0,21.2,44.5,52.5,10.4,18.0,40.6,5.1,113.0,158.0,62.0,49.0,47.0,29.0,74.0,12.6,3.4,0.8,24.8,18.8,68.1,24.4,0.4,7.6,1.5,7.6,1.0,0.0,14.3,4.0,8.8,1.3,475.8,75.9,8.0,59.4,13.5,57.4,13.8,25.8,54.8,56.0,12.5,14.0,39.5,5.7,114.0,124.0,45.0,41.0,38.0,34.0,56.0,9.5,3.8,0.8,20.3,15.8,58.7,23.3,1.8,3.9,0.9,3.1,1.0,0.0,,0,0,0,,0,0,0,3,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,5,8,-2,0,-2.0,-2,0,-2.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1569,1546,0.2,0.2,21.0,21.0,,,1.0,22.7328,43.7328,22.7328,24.9902,24.9902,24.9902,0.5205,True,0.37739952386393677,0.33922527134159125,0.2833752047944721,off,0.37739952386393677,0.33922527134159125,0.2833752047944721,0.37739952386393677,0.2833752047944721,False,,0.37739952386393677,0.2833752047944721,0.37739952386393677,0.33922527134159125,0.2833752047944721,0.0,0.0,0.0,False,0.37739952386393677,0.33922527134159125,0.2833752047944721,0.37739952386393677,0.2833752047944721,H,H,ARGMAX,False,H,0.37739952386393677,H,0.37739952386393677,24.990169142857145,1.0,False,H,D,False,False,False,False,False
第１節第２日,j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,味スタ,FC東京,鹿島,1.0,1.0,0.0,10.0,2026-02-07 13:35:00,味スタ,True,False,False,0.9,3.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,17.4,5.6,8.0,1.4,484.4,78.8,13.4,44.8,19.4,52.6,18.6,14.6,57.5,51.2,14.4,18.2,38.4,8.0,120.0,166.0,78.0,54.0,35.0,38.0,93.0,8.8,3.0,1.0,20.0,18.6,65.6,16.8,2.4,3.3,0.6,3.3,1.0,0.0,9.6,3.6,18.8,1.8,461.8,78.6,8.0,35.0,15.0,54.7,13.0,12.0,50.8,50.4,9.8,15.0,31.6,5.7,113.0,130.0,53.0,39.0,38.0,33.0,69.0,10.2,3.4,0.6,22.2,20.4,59.8,24.6,2.0,5.8,1.1,5.0,3.0,0.0,,0,0,0,,0,0,0,3,10,3,3,3.3,3,3,3.3,2026,20260314,1,13,0,3,0.3,0,3,0.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1507,1600,-0.2714,-0.2714,21.0,21.0,,,1.0,-93.5111,-72.5111,-93.5111,-41.4349,-41.4349,-41.4349,0.466,False,0.2641621656264302,0.3367873825513681,0.3990504518222017,off,0.2641621656264302,0.3367873825513681,0.3990504518222017,0.2641621656264302,0.3990504518222017,False,,0.2641621656264302,0.3990504518222017,0.2641621656264302,0.3367873825513681,0.3990504518222017,0.0,0.0,0.0,False,0.2641621656264302,0.3367873825513681,0.3990504518222017,0.2641621656264302,0.3990504518222017,A,A,ARGMAX,False,A,0.3990504518222017,A,0.3990504518222017,41.434936571428544,1.0,False,A,D,False,False,False,False,False
第１節第２日,j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,ヤンマー,Ｃ大阪,Ｇ大阪,0.0,0.0,0.0,10.0,2026-02-07 16:03:00,ヤンマー,False,False,False,5.7,6.0,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.6,3.4,5.2,0.6,488.4,77.0,9.8,57.1,19.0,37.9,16.0,15.4,52.4,50.2,11.8,18.0,37.4,5.4,122.0,130.0,50.0,40.0,40.0,36.0,63.0,14.6,2.4,0.6,28.6,21.2,58.5,24.2,0.8,5.9,1.1,5.9,3.0,0.0,15.4,6.0,9.1,1.4,515.4,76.5,12.4,51.6,17.0,51.8,15.0,16.4,52.6,57.8,15.0,19.0,48.0,6.6,115.0,123.0,40.0,46.0,37.0,35.0,62.0,13.6,5.0,1.0,21.6,18.4,68.5,21.0,2.0,6.6,1.3,5.8,2.0,0.0,,0,0,0,,0,0,0,8,6,0,2,0.2,0,2,0.2,2026,20260314,1,11,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1499,1524,0.4738,0.4738,21.0,21.0,,,1.0,-24.4123,-3.4123,-24.4123,-1.9499,-1.9499,-1.9499,0.4984,True,0.32973577552509326,0.34152132487731357,0.32874289959759323,off,0.32973577552509326,0.34152132487731357,0.32874289959759323,0.32973577552509326,0.32874289959759323,False,,0.32973577552509326,0.32874289959759323,0.32973577552509326,0.34152132487731357,0.32874289959759323,0.0,0.0,0.0,False,0.32973577552509326,0.34152132487731357,0.32874289959759323,0.32973577552509326,0.32874289959759323,D,D,ARGMAX,False,D,0.34152132487731357,D,0.34152132487731357,1.949883428571411,1.0,False,D,D,True,False,False,False,False
第１節第３日,j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,ベススタ,福岡,岡山,1.0,1.0,0.0,10.0,2026-02-08 13:08:00,ベススタ,False,False,True,-0.4,21.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,10.6,2.8,5.7,0.6,355.8,72.4,11.6,39.7,8.8,45.5,11.0,15.0,43.4,44.2,7.0,15.0,33.0,4.0,116.0,118.0,38.0,44.0,36.0,30.0,52.0,15.8,5.0,2.4,24.2,19.0,54.7,23.8,1.6,8.3,1.6,8.3,0.0,0.0,13.0,4.0,7.7,1.0,317.8,66.3,13.2,47.0,10.8,51.9,17.2,19.6,55.1,43.0,10.6,16.8,33.4,7.2,112.0,137.0,56.0,46.0,34.0,28.0,62.0,10.2,3.8,1.0,23.8,15.6,67.9,22.4,2.2,4.0,0.8,4.0,1.0,0.0,,0,0,0,,0,0,0,10,2,0,0,0.0,0,0,0.0,2026,20260314,6,7,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1483,1456,0.4024,0.4024,21.0,21.0,,,1.0,26.3096,47.3096,26.3096,27.0341,27.0341,27.0341,0.5222,True,0.3810804559639649,0.3388696360968913,0.2800499079391438,off,0.3810804559639649,0.3388696360968913,0.2800499079391438,0.3810804559639649,0.2800499079391438,False,,0.3810804559639649,0.2800499079391438,0.3810804559639649,0.3388696360968913,0.2800499079391438,0.0,0.0,0.0,False,0.3810804559639649,0.3388696360968913,0.2800499079391438,0.3810804559639649,0.2800499079391438,H,H,ARGMAX,False,H,0.3810804559639649,H,0.3810804559639649,27.034085142857162,1.0,False,H,D,False,False,False,False,False
第２節第２日,j1_2026_02141403_広島_岡山,2026-02-14 14:03:00,Ｅピース,広島,岡山,1.0,1.0,0.0,10.0,2026-02-14 14:03:00,Ｅピース,False,False,False,12.350000000000001,6.35,,20260215,weather_features_j1_2026_asof_20260215.csv,True,16.8,4.0,10.4,1.8,447.5,75.8,8.8,45.7,17.5,42.9,13.3,16.0,47.4,51.4,16.0,13.0,38.8,6.8,113.0,137.0,55.0,37.0,44.0,32.0,60.0,10.5,2.5,1.3,17.8,15.0,60.0,23.5,1.3,3.9,0.9,3.9,0.0,0.0,13.0,4.0,7.7,1.0,317.8,66.3,13.2,47.0,10.8,51.9,17.2,19.6,55.1,43.0,10.6,16.8,33.4,7.2,112.0,137.0,56.0,46.0,34.0,28.0,62.0,10.2,3.8,1.0,23.8,15.6,67.9,22.4,2.2,4.0,0.8,4.0,1.0,0.0,,0,0,0,,0,0,0,4,8,-2,0,-2.0,-2,0,-2.0,2026,20260314,6,7,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1570,1457,0.7024,0.7024,21.0,21.0,,,1.0,112.7173,133.7173,112.7173,76.4099,76.4099,76.4099,0.5625,True,0.4710677837416614,0.3230449876311668,0.2058872286271719,off,0.4710677837416614,0.3230449876311668,0.2058872286271719,0.4710677837416614,0.2058872286271719,False,,0.4710677837416614,0.2058872286271719,0.4710677837416614,0.3230449876311668,0.2058872286271719,0.0,0.0,0.0,False,0.4710677837416614,0.3230449876311668,0.2058872286271719,0.4710677837416614,0.2058872286271719,H,H,ARGMAX,False,H,0.4710677837416614,H,0.4710677837416614,76.40990831957905,1.0,False,H,D,False,False,False,False,True
第２節第２日,j1_2026_02141403_清水_京都,2026-02-14 14:03:00,アイスタ,清水,京都,1.0,1.0,0.0,10.0,2026-02-14 14:03:00,アイスタ,False,False,True,11.8,11.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,10.8,2.4,7.4,0.8,364.0,64.6,8.2,43.9,12.4,46.8,14.4,19.8,44.6,46.5,7.6,16.2,39.0,6.8,114.0,130.0,48.0,36.0,45.0,27.0,59.0,11.8,4.0,0.8,26.4,18.6,67.7,20.6,2.2,5.7,1.1,5.7,2.0,0.0,12.4,4.2,9.7,1.2,368.2,64.1,7.8,66.7,17.2,38.4,14.0,21.2,44.5,52.5,10.4,18.0,40.6,5.1,113.0,158.0,62.0,49.0,47.0,29.0,74.0,12.6,3.4,0.8,24.8,18.8,68.1,24.4,0.4,7.6,1.5,7.6,1.0,0.0,,0,0,0,,0,0,0,7,6,0,1,0.1,0,1,0.1,2026,20260314,3,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1457,1569,-0.5,-0.5,21.0,21.0,,,1.0,-111.0524,-90.0524,-111.0524,-51.4585,-51.4585,-51.4585,0.4578,False,0.24859146354670092,0.33410102480198334,0.41730751165131574,off,0.24859146354670092,0.33410102480198334,0.41730751165131574,0.24859146354670092,0.41730751165131574,False,,0.24859146354670092,0.41730751165131574,0.24859146354670092,0.33410102480198334,0.41730751165131574,0.0,0.0,0.0,False,0.24859146354670092,0.33410102480198334,0.41730751165131574,0.24859146354670092,0.41730751165131574,A,A,ARGMAX,False,A,0.41730751165131574,A,0.41730751165131574,51.458498088058015,1.0,False,A,D,False,False,False,False,False
第２節第１日,j1_2026_02141403_町田_水戸,2026-02-14 14:03:00,Ｇスタ,町田,水戸,2.0,2.0,0.0,10.0,2026-02-14 14:03:00,Ｇスタ,False,False,False,13.3,6.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.0,4.0,20.5,2.3,409.8,74.0,9.3,54.1,8.8,45.7,11.5,15.3,52.1,46.7,6.8,15.8,29.8,5.3,119.0,111.0,44.0,32.0,35.0,32.0,54.0,12.5,4.5,1.8,19.0,14.0,76.8,17.0,1.3,6.2,1.5,5.3,0.0,0.0,12.0,4.4,10.0,1.2,417.4,76.1,9.0,35.6,9.2,50.0,8.8,15.0,51.7,48.6,9.2,12.0,27.4,5.4,117.0,123.0,44.0,40.0,39.0,30.0,51.0,9.6,3.6,2.0,21.0,14.0,62.9,19.8,2.2,6.4,1.2,4.7,0.0,0.0,,0,0,0,,0,0,0,4,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,8,4,-1,0,-1.0,-1,0,-1.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1530,1500,0.55,0.55,21.0,21.0,,,1.0,29.7485,50.7485,29.7485,28.9991,28.9991,28.9991,0.5238,True,0.38462590197726443,0.3385040421698101,0.2768700558529254,off,0.38462590197726443,0.3385040421698101,0.2768700558529254,0.38462590197726443,0.2768700558529254,False,,0.38462590197726443,0.2768700558529254,0.38462590197726443,0.3385040421698101,0.2768700558529254,0.0,0.0,0.0,False,0.38462590197726443,0.3385040421698101,0.2768700558529254,0.38462590197726443,0.2768700558529254,H,H,ARGMAX,False,H,0.38462590197726443,H,0.38462590197726443,28.999138285714253,1.0,False,H,D,False,False,False,False,False
第２節第１日,j1_2026_02141503_FC東京_浦和,2026-02-14 15:03:00,味スタ,FC東京,浦和,1.0,1.0,0.0,10.0,2026-02-14 15:03:00,味スタ,False,False,False,12.9,5.7,,20260215,weather_features_j1_2026_asof_20260215.csv,False,17.4,5.6,8.0,1.4,484.4,78.8,13.4,44.8,19.4,52.6,18.6,14.6,57.5,51.2,14.4,18.2,38.4,8.0,120.0,166.0,78.0,54.0,35.0,38.0,93.0,8.8,3.0,1.0,20.0,18.6,65.6,16.8,2.4,3.3,0.6,3.3,1.0,0.0,12.0,4.0,15.0,1.8,389.6,73.6,10.4,55.8,17.2,52.3,11.4,12.0,45.1,48.4,7.8,20.8,37.0,8.1,117.0,167.0,63.0,51.0,54.0,32.0,76.0,14.0,3.4,0.8,24.2,24.0,62.5,22.8,1.6,6.6,1.3,5.7,3.0,0.0,,0,0,0,,0,0,0,3,10,3,3,3.3,3,3,3.3,2026,20260314,2,10,2,3,2.3,2,3,2.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1509,1528,0.5286,0.5286,21.0,21.0,,,1.0,-18.7884,2.2116,-18.7884,1.2638,1.2638,1.2638,0.501,True,0.33532189130415513,0.3414834404930803,0.3231946682027645,off,0.33532189130415513,0.3414834404930803,0.3231946682027645,0.33532189130415513,0.3231946682027645,False,,0.33532189130415513,0.3231946682027645,0.33532189130415513,0.3414834404930803,0.3231946682027645,0.0,0.0,0.0,False,0.33532189130415513,0.3414834404930803,0.3231946682027645,0.33532189130415513,0.3231946682027645,D,D,ARGMAX,False,D,0.3414834404930803,D,0.3414834404930803,1.2637683058571512,1.0,False,D,D,True,False,False,False,False
第２節第２日,j1_2026_02151303_千葉_川崎Ｆ,2026-02-15 13:03:00,フクアリ,千葉,川崎Ｆ,0.0,0.0,0.0,10.0,2026-02-15 13:03:00,フクアリ,False,False,False,13.7,6.5,,20260215,weather_features_j1_2026_asof_20260215.csv,False,13.4,4.2,6.0,0.8,453.8,78.0,12.4,43.5,10.4,46.2,14.4,13.8,50.0,49.6,11.2,16.8,37.2,6.9,120.0,124.0,42.0,40.0,42.0,36.0,54.0,18.2,5.0,1.2,31.2,17.2,66.3,19.2,2.2,10.2,2.0,9.4,1.0,0.0,13.3,4.5,15.1,2.0,536.8,83.1,10.5,52.4,17.3,49.3,13.8,11.5,44.2,50.0,14.5,15.8,38.0,5.5,117.0,110.0,46.0,37.0,28.0,34.0,57.0,20.8,5.3,1.8,24.0,17.5,58.6,26.5,1.3,8.6,2.1,8.6,1.0,0.0,,0,0,0,,0,0,0,7,5,3,3,3.3,3,3,3.3,2026,20260314,6,7,-1,0,-1.0,-1,0,-1.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1500,1512,-0.4,-0.4,21.0,21.0,,,1.0,-12.4897,8.5103,-12.4897,4.863,4.863,4.863,0.504,False,0.3416143319540259,0.34136471374287036,0.3170209543031038,off,0.3416143319540259,0.34136471374287036,0.3170209543031038,0.3416143319540259,0.3170209543031038,False,,0.3416143319540259,0.3170209543031038,0.3416143319540259,0.34136471374287036,0.3170209543031038,0.0,0.0,0.0,False,0.3416143319540259,0.34136471374287036,0.3170209543031038,0.3416143319540259,0.3170209543031038,H,H,ARGMAX,False,H,0.3416143319540259,H,0.3416143319540259,4.863014285714338,1.0,False,H,D,False,False,False,False,False
第２節第３日,j1_2026_02151603_Ｇ大阪_名古屋,2026-02-15 16:03:00,パナスタ,Ｇ大阪,名古屋,0.0,0.0,0.0,10.0,2026-02-15 16:03:00,パナスタ,False,False,False,14.9,3.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,15.4,6.0,9.1,1.4,515.4,76.5,12.4,51.6,17.0,51.8,15.0,16.4,52.6,57.8,15.0,19.0,48.0,6.6,115.0,123.0,40.0,46.0,37.0,35.0,62.0,13.6,5.0,1.0,21.6,18.4,68.5,21.0,2.0,6.6,1.3,5.8,2.0,0.0,15.6,4.8,10.3,1.6,481.2,78.6,8.8,56.8,19.0,41.1,15.8,18.8,59.9,53.9,14.0,18.8,36.4,7.6,114.0,140.0,57.0,48.0,35.0,35.0,78.0,14.6,4.8,1.0,21.2,20.6,67.0,20.0,2.2,6.4,1.2,6.4,2.0,0.0,,0,0,0,,0,0,0,1,11,3,3,3.3,3,3,3.3,2026,20260314,2,9,4,3,4.3,4,3,4.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-14,team_master_stats_j1_2026_asof_20260314.csv,1523,1467,1.0952,1.0952,21.0,21.0,,,1.0,56.3983,77.3983,56.3983,44.2276,44.2276,44.2276,0.5363,True,0.4122755963473996,0.3348975708620286,0.25282683279057194,off,0.4122755963473996,0.3348975708620286,0.25282683279057194,0.4122755963473996,0.25282683279057194,False,,0.4122755963473996,0.25282683279057194,0.4122755963473996,0.3348975708620286,0.25282683279057194,0.0,0.0,0.0,False,0.4122755963473996,0.3348975708620286,0.25282683279057194,0.4122755963473996,0.25282683279057194,H,H,ARGMAX,False,H,0.4122755963473996,H,0.4122755963473996,44.22761525151418,1.0,False,H,D,False,False,False,False,False
