節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,league,stats_asof,stats_source_csv,home_elo_at_prediction,away_elo_at_prediction,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,hfa_added_to_diff,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_scaled,elo_diff_for_prob,elo_diff_used_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,draw_tweak_mode,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,prob_home_raw,prob_away_raw,final_prob_home,final_prob_draw,final_prob_away,prob_delta_home,prob_delta_draw,prob_delta_away,residue_detected,prob_home_win,prob_draw,prob_away_win,prob_home,prob_away,final_result,predicted_result,decision_reason,force_draw_applied,argmax_result,argmax_max_prob,argmax_raw_result,argmax_raw_max_prob,d_scaled,decision_draw_expectation_multiplier,decision_draw_assign_enabled,predicted_highest_prob_result,actual_result,is_correct,stats_home_missing,stats_away_missing,management_missing,data_quality_warn
第１節第１日,j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,サンガＳ,京都,神戸,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-06 19:03:00,サンガＳ,False,False,True,5.6,8.6,,20260215,weather_features_j1_2026_asof_20260215.csv,False,13.3,4.1,9.7,1.3,395.9,67.6,8.0,67.9,18.3,43.8,15.8,19.1,44.5,53.0,11.3,17.9,39.9,9.1,115.0,158.0,62.0,50.0,46.0,31.0,72.0,12.6,3.6,1.0,25.4,18.1,68.5,23.9,0.4,11.2,1.6,11.2,1.0,0.0,14.3,4.5,11.6,1.7,442.3,74.5,8.3,50.0,12.2,60.3,14.3,23.8,51.1,52.9,11.8,15.2,40.5,9.6,115.0,136.0,46.0,45.0,46.0,33.0,57.0,11.0,4.2,0.8,22.5,17.0,64.7,22.3,1.8,6.8,1.1,6.0,2.0,0.0,,0,0,0,,0,0,0,3,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,5,8,-2,0,-2.0,-2,0,-2.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1569,1546,0.2,0.2,21.0,21.0,,,1.0,22.7328,43.7328,22.7328,24.9902,24.9902,24.9902,0.5205,True,0.37739952386393677,0.33922527134159125,0.2833752047944721,off,0.3721269463819109,0.3344860191329567,0.2933870344851323,0.37739952386393677,0.2833752047944721,False,,0.37739952386393677,0.2833752047944721,0.3721269463819109,0.3344860191329567,0.2933870344851323,0.0,0.0,0.0,False,0.3721269463819109,0.3344860191329567,0.2933870344851323,0.3721269463819109,0.2933870344851323,H,H,ARGMAX,False,H,0.3721269463819109,H,0.37739952386393677,24.990169142857145,1.0,False,H,D,False,False,False,False,False
第１節第２日,j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,味スタ,FC東京,鹿島,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-07 13:35:00,味スタ,True,False,False,0.9,3.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,17.7,5.6,8.1,1.4,471.6,78.0,12.7,51.7,18.9,51.5,16.4,15.7,56.7,51.4,15.0,18.9,39.7,12.6,120.0,157.0,72.0,51.0,35.0,37.0,87.0,9.8,3.1,1.0,19.7,18.3,67.2,19.1,2.1,5.6,0.8,5.6,1.0,0.0,10.7,4.0,17.3,1.9,484.0,80.0,8.1,38.6,16.3,53.5,12.0,12.0,53.5,50.9,10.3,13.8,32.1,9.3,112.0,132.0,54.0,40.0,37.0,33.0,69.0,11.3,3.1,0.4,21.9,17.7,60.5,23.1,2.1,7.9,1.1,7.1,5.0,0.0,,0,0,0,,0,0,0,3,10,3,3,3.3,3,3,3.3,2026,20260314,1,13,0,3,0.3,0,3,0.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1507,1600,-0.2714,-0.2714,21.0,21.0,,,1.0,-93.5111,-72.5111,-93.5111,-41.4349,-41.4349,-41.4349,0.466,False,0.2641621656264302,0.3367873825513681,0.3990504518222017,off,0.2589945706054501,0.330199077988244,0.41080635140630606,0.2641621656264302,0.3990504518222017,False,,0.2641621656264302,0.3990504518222017,0.2589945706054501,0.330199077988244,0.41080635140630606,0.0,0.0,0.0,False,0.2589945706054501,0.330199077988244,0.41080635140630606,0.2589945706054501,0.41080635140630606,A,A,ARGMAX,False,A,0.41080635140630606,A,0.3990504518222017,41.434936571428544,1.0,False,A,D,False,False,False,False,False
第１節第２日,j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,ヤンマー,Ｃ大阪,Ｇ大阪,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-07 16:03:00,ヤンマー,False,False,False,5.7,6.0,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.4,3.9,7.5,0.9,465.9,75.5,10.3,55.6,18.4,41.9,15.6,15.8,52.4,50.0,11.7,18.0,37.9,8.8,122.0,137.0,53.0,44.0,41.0,36.0,69.0,14.7,2.7,0.9,28.4,21.4,57.3,25.4,0.9,8.9,1.2,8.9,3.0,0.0,13.6,5.4,9.5,1.3,482.9,75.7,11.8,53.0,17.3,45.5,12.7,17.0,48.6,56.4,13.0,18.0,43.4,8.5,113.0,121.0,38.0,44.0,39.0,33.0,58.0,13.6,4.4,1.3,24.7,17.1,68.3,22.0,1.7,9.4,1.3,8.6,2.0,0.0,,0,0,0,,0,0,0,8,6,0,2,0.2,0,2,0.2,2026,20260314,1,11,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1499,1524,0.4762,0.4762,21.0,21.0,,,1.0,-24.4123,-3.4123,-24.4123,-1.9499,-1.9499,-1.9499,0.4984,True,0.32973577552509326,0.34152132487731357,0.32874289959759323,off,0.32440350803159634,0.33599846932401706,0.33959802264438665,0.32973577552509326,0.32874289959759323,False,,0.32973577552509326,0.32874289959759323,0.32440350803159634,0.33599846932401706,0.33959802264438665,0.0,0.0,0.0,False,0.32440350803159634,0.33599846932401706,0.33959802264438665,0.32440350803159634,0.33959802264438665,A,A,ARGMAX,False,A,0.33959802264438665,A,0.34152132487731357,1.949883428571411,1.0,False,A,D,False,False,False,False,False
第１節第３日,j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,ベススタ,福岡,岡山,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-08 13:08:00,ベススタ,False,False,True,-0.4,21.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.0,2.7,5.2,0.6,362.3,72.0,11.8,39.8,9.8,44.9,11.6,17.1,46.7,44.6,7.4,14.0,35.9,6.1,117.0,119.0,38.0,43.0,38.0,30.0,53.0,14.0,4.3,2.0,25.3,17.4,53.3,23.4,2.6,10.9,1.5,10.0,0.0,0.0,12.7,4.0,9.0,1.1,325.7,67.2,12.1,51.8,9.7,45.6,15.8,20.7,55.3,43.5,10.0,17.7,32.1,9.5,114.0,137.0,55.0,47.0,36.0,28.0,64.0,10.7,3.9,1.0,24.6,17.4,65.6,22.6,1.7,6.5,0.9,6.5,1.0,0.0,,0,0,0,,0,0,0,10,2,0,0,0.0,0,0,0.0,2026,20260314,6,7,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1483,1456,0.3831,0.3831,21.0,21.0,,,1.0,26.3096,47.3096,26.3096,27.0341,27.0341,27.0341,0.5222,True,0.3810804559639649,0.3388696360968913,0.2800499079391438,off,0.3758180652354127,0.3341901401970733,0.28999179456751406,0.3810804559639649,0.2800499079391438,False,,0.3810804559639649,0.2800499079391438,0.3758180652354127,0.3341901401970733,0.28999179456751406,0.0,0.0,0.0,False,0.3758180652354127,0.3341901401970733,0.28999179456751406,0.3758180652354127,0.28999179456751406,H,H,ARGMAX,False,H,0.3758180652354127,H,0.3810804559639649,27.034085142857162,1.0,False,H,D,False,False,False,False,False
第２節第２日,j1_2026_02141403_広島_岡山,2026-02-14 14:03:00,Ｅピース,広島,岡山,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-14 14:03:00,Ｅピース,False,False,False,12.350000000000001,6.35,,20260215,weather_features_j1_2026_asof_20260215.csv,True,16.5,3.7,10.1,1.7,437.2,74.6,11.5,46.4,17.5,41.0,15.7,19.5,53.2,51.4,14.3,14.8,38.2,9.2,112.0,132.0,55.0,40.0,37.0,32.0,61.0,9.8,3.2,1.2,17.7,15.5,61.3,22.2,1.5,6.0,1.0,6.0,1.0,0.0,12.7,4.0,9.0,1.1,325.7,67.2,12.1,51.8,9.7,45.6,15.8,20.7,55.3,43.5,10.0,17.7,32.1,9.5,114.0,137.0,55.0,47.0,36.0,28.0,64.0,10.7,3.9,1.0,24.6,17.4,65.6,22.6,1.7,6.5,0.9,6.5,1.0,0.0,,0,0,0,,0,0,0,4,8,-2,0,-2.0,-2,0,-2.0,2026,20260314,6,7,3,3,3.3,3,3,3.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1570,1457,0.7045,0.7045,21.0,21.0,,,1.0,112.7173,133.7173,112.7173,76.4099,76.4099,76.4099,0.5625,True,0.4710677837416614,0.3230449876311668,0.2058872286271719,off,0.46626785392948733,0.3197533312701905,0.21397881480032224,0.4710677837416614,0.2058872286271719,False,,0.4710677837416614,0.2058872286271719,0.46626785392948733,0.3197533312701905,0.21397881480032224,0.0,0.0,0.0,False,0.46626785392948733,0.3197533312701905,0.21397881480032224,0.46626785392948733,0.21397881480032224,H,H,ARGMAX,False,H,0.46626785392948733,H,0.4710677837416614,76.40990831957905,1.0,False,H,D,False,False,False,False,True
第２節第２日,j1_2026_02141403_清水_京都,2026-02-14 14:03:00,アイスタ,清水,京都,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-14 14:03:00,アイスタ,False,False,True,11.8,11.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.1,2.6,7.7,0.9,387.7,66.9,8.7,39.3,13.0,45.1,16.6,20.7,45.2,48.4,9.0,15.3,44.3,9.5,114.0,129.0,50.0,36.0,43.0,28.0,60.0,12.0,4.0,0.9,26.6,18.0,65.9,22.0,1.7,8.0,1.1,8.0,2.0,0.0,13.3,4.1,9.7,1.3,395.9,67.6,8.0,67.9,18.3,43.8,15.8,19.1,44.5,53.0,11.3,17.9,39.9,9.1,115.0,158.0,62.0,50.0,46.0,31.0,72.0,12.6,3.6,1.0,25.4,18.1,68.5,23.9,0.4,11.2,1.6,11.2,1.0,0.0,,0,0,0,,0,0,0,7,6,0,1,0.1,0,1,0.1,2026,20260314,3,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1457,1569,-0.5143,-0.5143,21.0,21.0,,,1.0,-111.0524,-90.0524,-111.0524,-51.4585,-51.4585,-51.4585,0.4578,False,0.24859146354670092,0.33410102480198334,0.41730751165131574,off,0.24351052498458967,0.32727236400913845,0.4292171110062718,0.24859146354670092,0.41730751165131574,False,,0.24859146354670092,0.41730751165131574,0.24351052498458967,0.32727236400913845,0.4292171110062718,0.0,0.0,0.0,False,0.24351052498458967,0.32727236400913845,0.4292171110062718,0.24351052498458967,0.4292171110062718,A,A,ARGMAX,False,A,0.4292171110062718,A,0.41730751165131574,51.458498088058015,1.0,False,A,D,False,False,False,False,False
第２節第１日,j1_2026_02141403_町田_水戸,2026-02-14 14:03:00,Ｇスタ,町田,水戸,2.0,2.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-14 14:03:00,Ｇスタ,False,False,False,13.3,6.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.3,3.5,14.7,1.7,399.7,76.2,10.2,52.5,8.0,45.8,11.5,13.2,50.3,44.8,8.5,17.5,29.2,7.2,119.0,111.0,43.0,32.0,36.0,31.0,50.0,12.2,4.2,1.7,17.8,16.5,73.7,17.7,1.3,8.4,1.4,7.6,1.0,0.0,12.6,4.1,9.1,1.1,435.4,75.5,10.1,43.7,10.7,44.0,10.1,16.7,50.9,51.2,9.7,13.7,30.6,8.5,118.0,132.0,50.0,43.0,39.0,32.0,59.0,9.1,2.9,1.6,22.0,14.3,65.0,17.9,2.4,8.3,1.1,6.7,1.0,0.0,,0,0,0,,0,0,0,4,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,8,4,-1,0,-1.0,-1,0,-1.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1530,1500,0.55,0.55,21.0,21.0,,,1.0,29.7485,50.7485,29.7485,28.9991,28.9991,28.9991,0.5238,True,0.38462590197726443,0.3385040421698101,0.2768700558529254,off,0.3793740364442904,0.33388194651087266,0.2867440170448369,0.38462590197726443,0.2768700558529254,False,,0.38462590197726443,0.2768700558529254,0.3793740364442904,0.33388194651087266,0.2867440170448369,0.0,0.0,0.0,False,0.3793740364442904,0.33388194651087266,0.2867440170448369,0.3793740364442904,0.2867440170448369,H,H,ARGMAX,False,H,0.3793740364442904,H,0.38462590197726443,28.999138285714253,1.0,False,H,D,False,False,False,False,False
第２節第１日,j1_2026_02141503_FC東京_浦和,2026-02-14 15:03:00,味スタ,FC東京,浦和,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-14 15:03:00,味スタ,False,False,False,12.9,5.7,,20260215,weather_features_j1_2026_asof_20260215.csv,False,17.7,5.6,8.1,1.4,471.6,78.0,12.7,51.7,18.9,51.5,16.4,15.7,56.7,51.4,15.0,18.9,39.7,12.6,120.0,157.0,72.0,51.0,35.0,37.0,87.0,9.8,3.1,1.0,19.7,18.3,67.2,19.1,2.1,5.6,0.8,5.6,1.0,0.0,12.8,4.0,11.1,1.4,417.1,75.3,11.1,61.5,15.1,52.8,12.8,13.1,46.2,49.1,9.0,21.1,37.0,11.3,118.0,158.0,57.0,50.0,51.0,32.0,70.0,14.1,3.4,0.9,22.7,22.3,64.1,22.7,1.7,9.4,1.3,8.6,3.0,0.0,,0,0,0,,0,0,0,3,10,3,3,3.3,3,3,3.3,2026,20260314,2,10,2,3,2.3,2,3,2.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1509,1528,0.5286,0.5286,21.0,21.0,,,1.0,-18.7884,2.2116,-18.7884,1.2638,1.2638,1.2638,0.501,True,0.33532189130415513,0.3414834404930803,0.3231946682027645,off,0.32998935135802504,0.33605291497537837,0.3339577336665966,0.33532189130415513,0.3231946682027645,False,,0.33532189130415513,0.3231946682027645,0.32998935135802504,0.33605291497537837,0.3339577336665966,0.0,0.0,0.0,False,0.32998935135802504,0.33605291497537837,0.3339577336665966,0.32998935135802504,0.3339577336665966,D,D,ARGMAX,False,D,0.33605291497537837,D,0.3414834404930803,1.2637683058571512,1.0,False,D,D,True,False,False,False,False
第２節第２日,j1_2026_02151303_千葉_川崎Ｆ,2026-02-15 13:03:00,フクアリ,千葉,川崎Ｆ,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-15 13:03:00,フクアリ,False,False,False,13.7,6.5,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.8,3.6,6.0,0.7,440.7,76.5,12.0,46.4,10.6,41.9,13.7,13.8,48.3,49.3,9.3,17.0,36.1,8.9,120.0,117.0,39.0,36.0,41.0,36.0,49.0,19.4,5.6,1.4,32.7,17.7,64.5,19.9,2.3,15.3,2.1,13.7,1.0,0.0,12.5,4.2,13.3,1.7,508.5,81.8,10.2,55.7,18.7,52.7,13.3,10.5,42.9,48.4,13.8,16.2,36.5,7.4,116.0,117.0,48.0,38.0,31.0,32.0,59.0,17.5,4.5,1.3,24.8,16.8,62.4,24.7,1.3,11.3,1.8,11.3,2.0,0.0,,0,0,0,,0,0,0,7,5,3,3,3.3,3,3,3.3,2026,20260314,6,7,-1,0,-1.0,-1,0,-1.0,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1500,1512,-0.4,-0.4,21.0,21.0,,,1.0,-12.4897,8.5103,-12.4897,4.863,4.863,4.863,0.504,False,0.3416143319540259,0.34136471374287036,0.3170209543031038,off,0.3362838801243375,0.3360381568839894,0.3276779629916731,0.3416143319540259,0.3170209543031038,False,,0.3416143319540259,0.3170209543031038,0.3362838801243375,0.3360381568839894,0.3276779629916731,0.0,0.0,0.0,False,0.3362838801243375,0.3360381568839894,0.3276779629916731,0.3362838801243375,0.3276779629916731,H,H,ARGMAX,False,H,0.3362838801243375,H,0.3416143319540259,4.863014285714338,1.0,False,H,D,False,False,False,False,False
第２節第３日,j1_2026_02151603_Ｇ大阪_名古屋,2026-02-15 16:03:00,パナスタ,Ｇ大阪,名古屋,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-15 16:03:00,パナスタ,False,False,False,14.9,3.2,,20260215,weather_features_j1_2026_asof_20260215.csv,False,13.6,5.4,9.5,1.3,482.9,75.7,11.8,53.0,17.3,45.5,12.7,17.0,48.6,56.4,13.0,18.0,43.4,8.5,113.0,121.0,38.0,44.0,39.0,33.0,58.0,13.6,4.4,1.3,24.7,17.1,68.3,22.0,1.7,9.4,1.3,8.6,2.0,0.0,15.0,5.0,9.5,1.4,459.7,77.1,10.3,58.3,16.9,40.7,16.0,20.1,57.6,52.7,13.4,19.9,36.4,10.6,115.0,141.0,53.0,47.0,40.0,34.0,73.0,15.3,5.0,1.3,22.9,20.9,66.4,20.4,2.0,9.9,1.4,9.9,2.0,0.0,,0,0,0,,0,0,0,1,11,3,3,3.3,3,3,3.3,2026,20260314,2,9,4,3,4.3,4,3,4.3,2026,20260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-21,team_master_stats_j1_2026_asof_20260321.csv,1523,1467,1.0952,1.0952,21.0,21.0,,,1.0,56.3983,77.3983,56.3983,44.2276,44.2276,44.2276,0.5363,True,0.4122755963473996,0.3348975708620286,0.25282683279057194,off,0.4071289403214567,0.3307168659733058,0.26215419370523746,0.4122755963473996,0.25282683279057194,False,,0.4122755963473996,0.25282683279057194,0.4071289403214567,0.3307168659733058,0.26215419370523746,0.0,0.0,0.0,False,0.4071289403214567,0.3307168659733058,0.26215419370523746,0.4071289403214567,0.26215419370523746,H,H,ARGMAX,False,H,0.4071289403214567,H,0.4122755963473996,44.22761525151418,1.0,False,H,D,False,False,False,False,False
