match_no,home_team,away_team,league,ticket01,ticket02,ticket03,ticket04,ticket05,ticket06,ticket07,ticket08,ticket09,ticket10
1,清水,京都,J1,2,2,2,2,2,2,2,2,2,2
2,町田,水戸,J1,1,1,1,1,2,1,1,1,1,1
3,鹿島,横浜FM,J1,1,1,1,1,1,1,1,1,1,1
4,柏,東京Ｖ,J1,1,1,1,1,1,1,1,1,0,1
5,福岡,Ｃ大阪,J1,1,1,1,1,1,1,1,0,1,1
6,広島,岡山,J1,1,1,1,1,1,1,1,1,1,1
7,FC東京,浦和,J1,1,1,2,1,1,1,1,1,1,1
8,千葉,川崎Ｆ,J1,0,2,0,0,0,0,0,0,0,0
9,Ｇ大阪,名古屋,J1,1,1,1,1,1,1,1,1,1,1
10,徳島,新潟,J2,1,1,1,1,1,1,1,1,1,0
11,大宮,札幌,J2,1,1,1,1,1,1,2,1,1,1
12,横浜FC,仙台,J2,2,2,2,1,2,2,2,2,2,2
13,栃木Ｃ,秋田,J2,1,1,1,1,1,2,1,1,1,1
