scenario,match_no,A_count_after_ticket_generation,A_count_after_draw_distribution,A_count_after_same_symbol_cap,A_count_after_unique_repair,A_count_after_final_range,best_prob,second_prob,third_prob,top_gap,spread,decision_reason
experimental,2,0,0,0,0,0,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
experimental,3,0,0,0,0,0,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
experimental,5,0,0,0,0,0,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
experimental,6,0,0,0,0,0,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
experimental,7,0,0,0,0,0,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
experimental,8,0,0,0,0,0,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
experimental,9,0,0,0,0,0,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
experimental,11,0,0,0,0,0,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
experimental,12,0,0,0,0,0,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
experimental,13,0,0,0,0,0,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
lock_strict,2,0,0,0,0,0,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
lock_strict,3,0,0,0,0,0,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
lock_strict,5,0,0,0,0,0,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
lock_strict,6,0,0,0,0,0,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
lock_strict,7,0,0,0,0,0,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
lock_strict,8,0,0,0,0,0,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
lock_strict,9,0,0,0,0,0,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
lock_strict,11,0,0,0,0,0,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
lock_strict,12,0,0,0,0,0,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
lock_strict,13,0,0,0,0,0,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
prob_faithful,2,0,0,0,0,0,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
prob_faithful,3,1,0,0,0,0,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
prob_faithful,5,0,0,0,0,0,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
prob_faithful,6,0,0,0,0,0,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
prob_faithful,7,0,0,0,0,0,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
prob_faithful,8,0,0,0,0,0,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
prob_faithful,9,0,0,0,0,0,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
prob_faithful,11,1,0,0,0,0,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
prob_faithful,12,0,0,0,0,0,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
prob_faithful,13,1,0,0,0,0,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
