match_no,home_team,away_team,buyplan_base_choice,buyplan_base_reason,p_home,p_draw,p_away,best,second,margin_best_second,entropy,closeness_2axis,draw_candidate,weak_draw_candidate_calc,draw_count_10,why_not_balance_draw
1,千葉,柏,2,ARGMAX_BASE,0.1753282086566394,0.3112281596508315,0.5134436316925292,2,0,0.3381154230358897,1.0108069455166473,0.0,False,False,1,ARGMAX_BASE
2,鹿島,東京Ｖ,1,GATE_MAX_STRONG,0.5831690308146698,0.2862494578526633,0.1305815113326668,1,0,0.4525875194820029,0.938389703076106,0.0,False,False,0,GATE_MAX_STRONG
3,福岡,名古屋,0,2AXIS_CLOSE_DRAW,0.3578033387688764,0.3406989550870911,0.3014977061440326,1,0,0.0563056326248437,1.096083424768303,0.6246291158343747,True,False,9,2AXIS_CLOSE_DRAW
4,岡山,京都,2,ARGMAX_BASE,0.1746298335325861,0.3109138524139441,0.5144563140534698,2,0,0.3398264805208837,1.0098966589006444,0.0,False,False,0,ARGMAX_BASE
5,Ｇ大阪,長崎,0,2AXIS_CLOSE_DRAW,0.367776460624184,0.3400382334225696,0.2921853059532462,1,0,0.0755911546709378,1.0941729009996128,0.4960589688604147,False,True,1,2AXIS_CLOSE_DRAW
6,FC東京,横浜FM,0,2AXIS_CLOSE_DRAW,0.3736716045036207,0.3395603770636274,0.2867680184327517,1,0,0.086903586070869,1.0927911151652183,0.4206427595275399,False,True,0,2AXIS_CLOSE_DRAW
7,浦和,水戸,0,2AXIS_CLOSE_DRAW,0.3796279715002489,0.339012892277527,0.2813591362222239,1,0,0.0982688352780249,1.0912079578385734,0.3448744314798337,False,True,0,2AXIS_CLOSE_DRAW
8,Ｃ大阪,清水,1,2AXIS_APPLIED_NO_SWITCH,0.4002926059723823,0.3366225946169465,0.2630847994106711,1,0,0.1372078065617112,1.0842955470144653,0.0852812895885918,False,False,0,2AXIS_APPLIED_NO_SWITCH
9,仙台,湘南,1,2AXIS_APPLIED_NO_SWITCH,0.3948741868403798,0.3366065298527225,0.2685192833068976,1,0,0.1263549035334821,1.0864811361363422,0.1576339764434522,False,False,0,2AXIS_APPLIED_NO_SWITCH
10,藤枝,磐田,2,ARGMAX_BASE,0.1827161011937842,0.3135982458625737,0.5036856529436421,2,0,0.3209695517498578,1.0196757586764147,0.0,False,False,0,ARGMAX_BASE
11,八戸,横浜FC,0,2AXIS_CLOSE_DRAW,0.3327388833807512,0.3407346996933035,0.3265264169259452,0,1,0.0062124664548059,1.098460210324554,0.95858355696796,True,False,10,2AXIS_CLOSE_DRAW
12,山形,秋田,1,ARGMAX_BASE,0.4134422413780927,0.3340216374403614,0.2525361211815458,1,0,0.1609061201965469,1.0789793940669428,0.0,False,False,0,ARGMAX_BASE
13,いわき,大宮,0,2AXIS_CLOSE_DRAW,0.3374092843698855,0.3406825738064822,0.3219081418236321,0,1,0.0155011425462534,1.0983089627631024,0.896659049691644,True,False,9,2AXIS_CLOSE_DRAW
