scenario,stage,match_no,best,second,third,other,dominant_symbol,dominant_count,locked80,all_same_flag,H_count,D_count,A_count
experimental,after_ticket_generation,1,2,0,0,0,A,2,1,1,0,0,2
experimental,after_ticket_generation,2,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,3,1,0,0,1,H,1,0,0,1,0,0
experimental,after_ticket_generation,4,2,0,0,0,A,2,1,1,0,0,2
experimental,after_ticket_generation,5,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,6,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,7,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,8,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,9,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,10,1,1,0,0,D,1,0,0,0,1,1
experimental,after_ticket_generation,11,2,0,0,0,D,2,1,1,0,2,0
experimental,after_ticket_generation,12,2,0,0,0,H,2,1,1,2,0,0
experimental,after_ticket_generation,13,2,0,0,0,D,2,1,1,0,2,0
experimental,after_draw_distribution,1,2,0,0,0,A,2,1,1,0,0,2
experimental,after_draw_distribution,2,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,3,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,4,2,0,0,0,A,2,1,1,0,0,2
experimental,after_draw_distribution,5,1,1,0,0,H,1,0,0,1,1,0
experimental,after_draw_distribution,6,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,7,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,8,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,9,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,10,1,1,0,0,D,1,0,0,0,1,1
experimental,after_draw_distribution,11,2,0,0,0,D,2,1,1,0,2,0
experimental,after_draw_distribution,12,2,0,0,0,H,2,1,1,2,0,0
experimental,after_draw_distribution,13,2,0,0,0,D,2,1,1,0,2,0
experimental,after_same_symbol_cap,1,2,0,0,0,A,2,1,1,0,0,2
experimental,after_same_symbol_cap,2,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,3,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,4,2,0,0,0,A,2,1,1,0,0,2
experimental,after_same_symbol_cap,5,1,1,0,0,H,1,0,0,1,1,0
experimental,after_same_symbol_cap,6,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,7,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,8,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,9,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,10,1,1,0,0,D,1,0,0,0,1,1
experimental,after_same_symbol_cap,11,2,0,0,0,D,2,1,1,0,2,0
experimental,after_same_symbol_cap,12,2,0,0,0,H,2,1,1,2,0,0
experimental,after_same_symbol_cap,13,2,0,0,0,D,2,1,1,0,2,0
experimental,after_unique_repair,1,2,0,0,0,A,2,1,1,0,0,2
experimental,after_unique_repair,2,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,3,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,4,2,0,0,0,A,2,1,1,0,0,2
experimental,after_unique_repair,5,1,1,0,0,H,1,0,0,1,1,0
experimental,after_unique_repair,6,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,7,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,8,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,9,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,10,1,1,0,0,D,1,0,0,0,1,1
experimental,after_unique_repair,11,2,0,0,0,D,2,1,1,0,2,0
experimental,after_unique_repair,12,2,0,0,0,H,2,1,1,2,0,0
experimental,after_unique_repair,13,2,0,0,0,D,2,1,1,0,2,0
experimental,after_final_range,1,2,0,0,0,A,2,1,1,0,0,2
experimental,after_final_range,2,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,3,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,4,2,0,0,0,A,2,1,1,0,0,2
experimental,after_final_range,5,1,1,0,0,H,1,0,0,1,1,0
experimental,after_final_range,6,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,7,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,8,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,9,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,10,1,1,0,0,D,1,0,0,0,1,1
experimental,after_final_range,11,2,0,0,0,D,2,1,1,0,2,0
experimental,after_final_range,12,2,0,0,0,H,2,1,1,2,0,0
experimental,after_final_range,13,2,0,0,0,D,2,1,1,0,2,0
lock_strict,after_ticket_generation,1,3,0,0,0,A,3,1,1,0,0,3
lock_strict,after_ticket_generation,2,3,0,0,0,H,3,1,1,3,0,0
lock_strict,after_ticket_generation,3,3,0,0,0,H,3,1,1,3,0,0
lock_strict,after_ticket_generation,4,3,0,0,0,A,3,1,1,0,0,3
lock_strict,after_ticket_generation,5,1,2,0,0,D,2,0,0,1,2,0
lock_strict,after_ticket_generation,6,1,2,0,0,D,2,0,0,1,2,0
lock_strict,after_ticket_generation,7,2,1,0,0,H,2,0,0,2,1,0
lock_strict,after_ticket_generation,8,3,0,0,0,H,3,1,1,3,0,0
lock_strict,after_ticket_generation,9,2,1,0,0,H,2,0,0,2,1,0
lock_strict,after_ticket_generation,10,3,0,0,0,A,3,1,1,0,0,3
lock_strict,after_ticket_generation,11,1,2,0,0,H,2,0,0,2,1,0
lock_strict,after_ticket_generation,12,3,0,0,0,H,3,1,1,3,0,0
lock_strict,after_ticket_generation,13,1,2,0,0,H,2,0,0,2,1,0
lock_strict,after_draw_distribution,1,3,0,0,0,A,3,1,1,0,0,3
