match_no,home_team,away_team,pH,pD,pA,best,second,margin,entropy,closeness,score,draw_candidate,weak_draw_candidate,match_reason,base_pick,decision_reason,diff_ha
1,千葉,柏,0.1753,0.3112,0.5134,2,0,0.2022,1.0108,0.6619,0.8175,0,0,ha_not_close,2,BALANCE_HA,0.3381
2,鹿島,東京Ｖ,0.5832,0.2862,0.1306,1,0,0.2969,0.9384,0.5474,0.6905,0,0,ha_not_close,1,BALANCE_HA,0.4526
3,福岡,名古屋,0.3578,0.3407,0.3015,1,0,0.0171,1.0961,0.9437,1.114,1,0,ha_close,0,BALANCE_DRAW,0.0563
4,岡山,京都,0.1746,0.3109,0.5145,2,0,0.2035,1.0099,0.6602,0.8156,0,0,ha_not_close,2,BALANCE_HA,0.3398
5,Ｇ大阪,長崎,0.3678,0.34,0.2922,1,0,0.0277,1.0942,0.9244,1.0944,0,1,ha_not_close,1,BALANCE_HA,0.0756
6,FC東京,横浜FM,0.3737,0.3396,0.2868,1,0,0.0341,1.0928,0.9131,1.0829,0,1,ha_not_close,1,BALANCE_HA,0.0869
7,浦和,水戸,0.3796,0.339,0.2814,1,0,0.0406,1.0912,0.9017,1.0712,0,1,ha_not_close,1,BALANCE_HA,0.0983
8,Ｃ大阪,清水,0.4003,0.3366,0.2631,1,0,0.0637,1.0843,0.8628,1.0311,0,0,ha_not_close,1,BALANCE_HA,0.1372
9,仙台,湘南,0.3949,0.3366,0.2685,1,0,0.0583,1.0865,0.8736,1.0419,0,0,ha_not_close,1,BALANCE_HA,0.1264
10,藤枝,磐田,0.1827,0.3136,0.5037,2,0,0.1901,1.0197,0.679,0.8358,0,0,ha_not_close,2,BALANCE_HA,0.321
11,八戸,横浜FC,0.3327,0.3407,0.3265,0,1,0.008,1.0985,0.9938,1.1642,1,0,ha_close,0,BALANCE_DRAW,0.0062
12,山形,秋田,0.4134,0.334,0.2525,1,0,0.0794,1.079,0.8391,1.0061,0,0,ha_not_close,1,BALANCE_HA,0.1609
13,いわき,大宮,0.3374,0.3407,0.3219,0,1,0.0033,1.0983,0.9845,1.1548,1,0,ha_close,0,BALANCE_DRAW,0.0155
