scenario,match_no,delta_best,delta_second,delta_third,delta_A,delta_D,delta_H,case_flags
experimental,1,0,0,0,0,0,0,
experimental,2,0,0,0,0,0,0,
experimental,3,1,0,0,0,0,1,best_H_increase
experimental,4,0,0,0,0,0,0,
experimental,5,-1,1,0,0,1,-1,
experimental,6,0,0,0,0,0,0,
experimental,7,0,0,0,0,0,0,
experimental,8,0,0,0,0,0,0,
experimental,9,0,0,0,0,0,0,
experimental,10,0,0,0,0,0,0,
experimental,11,0,0,0,0,0,0,
experimental,12,0,0,0,0,0,0,
experimental,13,0,0,0,0,0,0,
lock_strict,1,0,0,0,0,0,0,
lock_strict,2,0,0,0,0,0,0,
lock_strict,3,0,0,0,0,0,0,
lock_strict,4,0,0,0,0,0,0,
lock_strict,5,0,0,0,0,0,0,
lock_strict,6,1,-1,0,0,-1,1,best_H_increase
lock_strict,7,1,-1,0,0,-1,1,best_H_increase
lock_strict,8,0,0,0,0,0,0,
lock_strict,9,1,-1,0,0,-1,1,best_H_increase
lock_strict,10,0,0,0,0,0,0,
lock_strict,11,1,-1,0,0,1,-1,
lock_strict,12,0,0,0,0,0,0,
lock_strict,13,0,0,0,0,0,0,
prob_faithful,1,0,0,0,0,0,0,
prob_faithful,2,0,0,0,0,0,0,
prob_faithful,3,1,0,-1,-1,0,1,third_decrease|away_decrease|best_H_increase
prob_faithful,4,0,0,0,0,0,0,
prob_faithful,5,0,0,0,0,0,0,
prob_faithful,6,0,0,0,0,0,0,
prob_faithful,7,0,0,0,0,0,0,
prob_faithful,8,0,0,0,0,0,0,
prob_faithful,9,0,0,0,0,0,0,
prob_faithful,10,0,0,0,0,0,0,
prob_faithful,11,-1,2,-1,-1,-1,2,third_decrease|away_decrease
prob_faithful,12,0,0,0,0,0,0,
prob_faithful,13,-3,4,-1,-1,-3,4,third_decrease|away_decrease
