match_no,best_count,second_count,third_count,dominant_symbol,dominant_count,A_rank_type,A_count,best_prob,second_prob,third_prob,top_gap,spread,decision_reason
1,5,0,0,A,5,A_best,5,0.5134,0.3112,0.1753,0.2022,0.3381,BALANCE_HA
2,5,0,0,H,5,A_third,0,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
3,4,0,1,H,4,A_third,1,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
4,5,0,0,A,5,A_best,5,0.5145,0.3109,0.1746,0.2035,0.3398,BALANCE_HA
5,5,0,0,H,5,A_third,0,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
6,3,2,0,H,3,A_third,0,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
7,3,2,0,H,3,A_third,0,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
8,3,2,0,H,3,A_third,0,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
9,2,3,0,D,3,A_third,0,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
10,5,0,0,A,5,A_best,5,0.5037,0.3136,0.1827,0.1901,0.321,BALANCE_HA
11,4,0,1,D,4,A_third,1,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
12,4,1,0,H,4,A_third,0,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
13,4,0,1,D,4,A_third,1,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
