stage,match_no,H,D,A,dominant,dominant_count,locked80
after_ticket_generation,1,0,1,9,2,9,1
after_ticket_generation,2,10,0,0,1,10,1
after_ticket_generation,3,1,9,0,0,9,1
after_ticket_generation,4,0,0,10,2,10,1
after_ticket_generation,5,9,1,0,1,9,1
after_ticket_generation,6,8,0,2,1,8,1
after_ticket_generation,7,8,0,2,1,8,1
after_ticket_generation,8,8,0,2,1,8,1
after_ticket_generation,9,7,0,3,1,7,0
after_ticket_generation,10,1,0,9,2,9,1
after_ticket_generation,11,2,8,0,0,8,1
after_ticket_generation,12,8,0,2,1,8,1
after_ticket_generation,13,2,8,0,0,8,1
after_draw_distribution,1,0,1,9,2,9,1
after_draw_distribution,2,10,0,0,1,10,1
after_draw_distribution,3,1,9,0,0,9,1
after_draw_distribution,4,0,0,10,2,10,1
after_draw_distribution,5,9,1,0,1,9,1
after_draw_distribution,6,8,0,2,1,8,1
after_draw_distribution,7,8,0,2,1,8,1
after_draw_distribution,8,8,0,2,1,8,1
after_draw_distribution,9,7,0,3,1,7,0
after_draw_distribution,10,1,0,9,2,9,1
after_draw_distribution,11,0,10,0,0,10,1
after_draw_distribution,12,8,0,2,1,8,1
after_draw_distribution,13,1,9,0,0,9,1
after_same_symbol_cap,1,0,1,9,2,9,1
after_same_symbol_cap,2,10,0,0,1,10,1
after_same_symbol_cap,3,1,9,0,0,9,1
after_same_symbol_cap,4,0,0,10,2,10,1
after_same_symbol_cap,5,9,1,0,1,9,1
after_same_symbol_cap,6,8,0,2,1,8,1
after_same_symbol_cap,7,8,0,2,1,8,1
after_same_symbol_cap,8,8,0,2,1,8,1
after_same_symbol_cap,9,7,0,3,1,7,0
after_same_symbol_cap,10,1,0,9,2,9,1
after_same_symbol_cap,11,0,10,0,0,10,1
after_same_symbol_cap,12,8,0,2,1,8,1
after_same_symbol_cap,13,1,9,0,0,9,1
after_unique_repair,1,0,1,9,2,9,1
after_unique_repair,2,10,0,0,1,10,1
after_unique_repair,3,1,9,0,0,9,1
after_unique_repair,4,0,0,10,2,10,1
after_unique_repair,5,9,1,0,1,9,1
after_unique_repair,6,8,0,2,1,8,1
after_unique_repair,7,8,0,2,1,8,1
after_unique_repair,8,8,0,2,1,8,1
after_unique_repair,9,7,0,3,1,7,0
after_unique_repair,10,1,0,9,2,9,1
after_unique_repair,11,0,10,0,0,10,1
after_unique_repair,12,8,0,2,1,8,1
after_unique_repair,13,1,9,0,0,9,1
after_final_range,1,0,1,9,2,9,1
after_final_range,2,10,0,0,1,10,1
after_final_range,3,1,9,0,0,9,1
after_final_range,4,0,0,10,2,10,1
after_final_range,5,9,1,0,1,9,1
after_final_range,6,8,0,2,1,8,1
after_final_range,7,8,0,2,1,8,1
after_final_range,8,8,0,2,1,8,1
after_final_range,9,7,0,3,1,7,0
after_final_range,10,1,0,9,2,9,1
after_final_range,11,0,10,0,0,10,1
after_final_range,12,8,0,2,1,8,1
after_final_range,13,1,9,0,0,9,1
