round,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,ticket01_hits,ticket01_total,ticket01_hit_rate,best_ticket,best_hits,best_hit_rate,unique_ticket_count,duplicate_count,avg_ticket_distance,draw_family_ticket_count,draw_family_hit_rate,draw_family_base_net_gain,swing_family_ticket_count,swing_family_hit_rate,swing_family_base_net_gain
round02,balanced,13,13,13,6,13,0.4615384615384615,ticket02,7,0.5384615384615384,6,4,2.178,5,0.47692307692307695,1,3,0.4358974358974359,-1
round03,balanced,13,13,13,5,13,0.3846153846153846,ticket06,6,0.4615384615384615,8,2,2.289,5,0.38461538461538464,0,3,0.358974358974359,-1
round04,unknown,0,0,0,2,13,0.1538461538461538,ticket01,2,0.1538461538461538,1,9,0.0,0,0.0,0,0,0.0,0
round05,balanced,13,13,13,4,13,0.3076923076923077,ticket04,6,0.4615384615384615,8,2,3.222,5,0.3230769230769231,1,3,0.3333333333333333,1
round06,balanced,13,13,13,4,13,0.3076923076923077,ticket10,7,0.5384615384615384,6,4,2.0,5,0.3076923076923077,0,3,0.38461538461538464,3
round07,balanced,13,13,13,4,13,0.3076923076923077,ticket02,6,0.4615384615384615,10,0,2.4,5,0.35384615384615387,3,3,0.41025641025641024,4
round08,balanced,13,13,13,4,13,0.3076923076923077,ticket02,6,0.4615384615384615,10,0,2.4,5,0.35384615384615387,3,3,0.41025641025641024,4
round09,balanced,13,13,13,4,13,0.3076923076923077,ticket02,5,0.3846153846153846,7,3,1.933,5,0.2923076923076923,-1,3,0.28205128205128205,-1
round10,balanced,13,13,13,5,13,0.3846153846153846,ticket04,7,0.5384615384615384,10,0,3.089,5,0.3230769230769231,-4,3,0.3076923076923077,-3
round11,balanced,13,13,13,1,13,0.0769230769230769,ticket07,3,0.2307692307692307,8,2,2.089,5,0.1076923076923077,2,3,0.1794871794871795,4
round12,swing_heavy,2,3,2,2,9,0.2222222222222222,ticket03,5,0.5555555555555556,10,0,3.422,5,0.26666666666666666,2,3,0.4444444444444444,6
round13,balanced,13,13,13,4,13,0.3076923076923077,ticket02,6,0.4615384615384615,9,1,2.422,5,0.3076923076923077,0,3,0.358974358974359,2
round14,balanced,13,13,13,6,13,0.4615384615384615,ticket01,6,0.4615384615384615,7,3,1.889,5,0.4461538461538462,-1,3,0.358974358974359,-4
round15,balanced,13,13,13,4,13,0.3076923076923077,ticket02,5,0.3846153846153846,10,0,3.4,5,0.35384615384615387,3,3,0.3076923076923077,0
round16,balanced,13,13,13,5,13,0.3846153846153846,ticket07,8,0.6153846153846154,6,4,2.089,5,0.36923076923076925,-1,3,0.4358974358974359,2
round17,balanced,12,12,12,2,12,0.1666666666666666,ticket04,4,0.3333333333333333,10,0,2.644,5,0.25,5,3,0.19444444444444445,1
