purchase_type_confidence,match_purchase_type,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue
high,chaos_draw_watch,27.0,5.0,7.0,15.0,0.18518518518518517,0.25925925925925924,0.5555555555555556,11.0,0.4074074074074074,15.0,0.5555555555555556,6.0,1.0,5.0,0.18518518518518517
high,chaos_side_watch,7.0,1.0,4.0,2.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,2.0,0.2857142857142857,3.0,0.42857142857142855,1.0,0.0,1.0,0.14285714285714285
high,draw_trap,7.0,2.0,4.0,1.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,3.0,0.42857142857142855,6.0,0.8571428571428571,1.0,2.0,-1.0,-0.14285714285714285
high,j2_draw_trap,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
low,chaos_draw_watch,17.0,12.0,3.0,2.0,0.7058823529411765,0.17647058823529413,0.11764705882352941,4.0,0.23529411764705882,14.0,0.8235294117647058,3.0,1.0,2.0,0.11764705882352941
low,chaos_flat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,chaos_side_watch,14.0,8.0,1.0,5.0,0.5714285714285714,0.07142857142857142,0.35714285714285715,4.0,0.2857142857142857,7.0,0.5,2.0,3.0,-1.0,-0.07142857142857142
low,draw_trap,4.0,3.0,0.0,1.0,0.75,0.0,0.25,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
low,home_reversal_watch,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,j2_directional_stall,8.0,3.0,1.0,4.0,0.375,0.125,0.5,5.0,0.625,1.0,0.125,0.0,1.0,-1.0,-0.125
low,j2_draw_trap,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.0,0.0,0.0
medium,chaos_draw_watch,46.0,17.0,18.0,11.0,0.3695652173913043,0.391304347826087,0.2391304347826087,12.0,0.2608695652173913,33.0,0.717391304347826,10.0,4.0,6.0,0.13043478260869565
medium,chaos_side_watch,17.0,6.0,7.0,4.0,0.35294117647058826,0.4117647058823529,0.23529411764705882,5.0,0.29411764705882354,14.0,0.8235294117647058,8.0,2.0,6.0,0.35294117647058826
medium,draw_trap,5.0,1.0,1.0,3.0,0.2,0.2,0.6,1.0,0.2,2.0,0.4,2.0,0.0,2.0,0.4
medium,home_reversal_watch,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,j2_draw_trap,6.0,2.0,0.0,4.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.3333333333333333,2.0,0.3333333333333333,0.0,2.0,-2.0,-0.3333333333333333
