league,match_purchase_type,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue
J1,chaos_draw_watch,74.0,28.0,23.0,23.0,0.3783783783783784,0.3108108108108108,0.3108108108108108,24.0,0.32432432432432434,42.0,0.5675675675675675,10.0,6.0,4.0,0.05405405405405406
J1,chaos_side_watch,33.0,13.0,11.0,9.0,0.3939393939393939,0.3333333333333333,0.2727272727272727,9.0,0.2727272727272727,23.0,0.696969696969697,11.0,5.0,6.0,0.18181818181818182
J1,draw_trap,13.0,5.0,5.0,3.0,0.38461538461538464,0.38461538461538464,0.23076923076923078,6.0,0.46153846153846156,8.0,0.6153846153846154,3.0,2.0,1.0,0.07692307692307693
J1,home_reversal_watch,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J2,chaos_draw_watch,16.0,6.0,5.0,5.0,0.375,0.3125,0.3125,3.0,0.1875,20.0,1.25,9.0,0.0,9.0,0.5625
J2,chaos_flat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J2,chaos_side_watch,5.0,2.0,1.0,2.0,0.4,0.2,0.4,2.0,0.4,1.0,0.2,0.0,0.0,0.0,0.0
J2,draw_trap,3.0,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J2,home_reversal_watch,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J2,j2_directional_stall,8.0,3.0,1.0,4.0,0.375,0.125,0.5,5.0,0.625,1.0,0.125,0.0,1.0,-1.0,-0.125
J2,j2_draw_trap,10.0,6.0,0.0,4.0,0.6,0.0,0.4,4.0,0.4,5.0,0.5,1.0,2.0,-1.0,-0.1
