round,match_no,league,home_team,away_team,context_match_purchase_type,context_match_purchase_subtype,context_primary_pick,context_secondary_pick,context_purchase_type_confidence,context_purchase_type_reason,shape_cluster_label,lab_cluster_label,lab_overlap_subtype,lab_matchup_profile,lab_basis_hint,lab_mix_home,lab_mix_draw,lab_mix_away,lab_home_path_score,lab_away_path_score,lab_flip_dislocation_score,lab_scenario_entropy_score,lab_volatility_score,lab_draw_tension_score,lab_stall_compactness_score,p_home,p_draw,p_away,margin_best_second,diff_ha,entropy,buyplan_base_choice,buyplan_base_reason,actual_symbol,actual_result,actual_group
round02,1,J1,清水,京都,chaos_side_watch,away_watch,2,0.0,low,best=A top_prob=0.392 side_gap=0.136 path_gap=0.000 entropy=0.457,hold_core,hold_core,non_overlap,stall_shape,basis_balanced,0.2217512068204995,0.556447910473085,0.2218008827064154,0.4998129672472329,0.5001870327527671,0.2610450431657042,0.4566012947242971,0.2172688907212716,0.6704769768134586,0.5301596215719837,0.2492017811355617,0.3690722297696387,0.3817259890947995,0.0126537593251608,0.1325242079592378,1.0817635432122945,0,2AXIS_CLOSE_DRAW,0,D,D
round02,3,J1,鹿島,横浜FM,chaos_side_watch,away_watch,2,1.0,low,best=A top_prob=0.360 side_gap=0.022 path_gap=0.486 entropy=0.540,draw_core,draw_core,non_overlap,balanced,basis_balanced,0.3285585587804531,0.429210128537313,0.2422313126822338,0.7429470085896852,0.2570529914103147,0.2152915647185854,0.5399304729208603,0.1829869099154814,0.4566142259360147,0.4643938222262721,0.3252519257316829,0.3277965629725247,0.3469515112957923,0.0216995855641093,0.0216995855641093,1.098192813684045,0,2AXIS_CLOSE_DRAW,1,H,H
round02,4,J1,柏,東京Ｖ,chaos_side_watch,away_watch,2,0.0,low,best=A top_prob=0.380 side_gap=0.109 path_gap=0.121 entropy=0.455,hold_core,hold_core,non_overlap,stall_shape,draw_compressed,0.2335002918723553,0.5495711379694826,0.2169285701581621,0.5603856009736912,0.4396143990263088,0.2499161633617147,0.454975107558549,0.1383230834421311,0.8212233895325687,0.6404976169044089,0.2632921256949986,0.3669947230736151,0.3697131512313861,0.002718428157771,0.1064210255363874,1.0871142586057416,0,2AXIS_CLOSE_DRAW,2,A,A
round03,1,J1,横浜FM,浦和,chaos_side_watch,away_watch,2,0.0,medium,best=A top_prob=0.389 side_gap=0.146 path_gap=0.250 entropy=0.477,hold_core,hold_core,non_overlap,stall_shape,basis_balanced,0.2234264066300787,0.5164814289433066,0.2600921644266144,0.3751370383521127,0.6248629616478872,0.2720232608913017,0.4771249858034349,0.2675065883068528,0.6349853541769034,0.5450777095646488,0.2329178297794684,0.3944208965149099,0.3726612737056216,0.0217596228092883,0.1397434439261531,1.074170199515082,0,2AXIS_CLOSE_DRAW,2,A,A
round03,2,J1,清水,神戸,chaos_side_watch,away_watch,2,,medium,best=A top_prob=0.470 side_gap=0.255 path_gap=0.273 entropy=0.455,hold_core,hold_core,non_overlap,stall_side_preserve,basis_balanced,0.2195042400711002,0.5221681840566101,0.2583275758722897,0.3635409884920127,0.6364590115079872,0.2535894284550891,0.4550073936188313,0.2241064067228088,0.6501197731028557,0.5810876583619065,0.2095664128941009,0.3318700855294198,0.4585635015764792,0.1266934160470593,0.2489970886823782,1.0510710891435056,2,ARGMAX_BASE,1,H,H
round05,1,J1,千葉,柏,chaos_side_watch,away_watch,2,0.0,medium,best=A top_prob=0.411 side_gap=0.167 path_gap=0.339 entropy=0.619,overlap,overlap,general_overlap,balanced,basis_balanced,0.2256217462499206,0.4861821843453854,0.2881960694046938,0.3303857242132931,0.6696142757867068,0.5575953097539746,0.6188362301802837,0.2255675757957504,0.6534589811013932,0.4410470986340332,0.23724210230518,0.3627542897694376,0.4000036079253822,0.0372493181559446,0.1627615056202022,1.0756736393998645,2,ARGMAX_BASE,1,H,H
round05,10,J2,藤枝,磐田,chaos_side_watch,away_watch,2,0.0,medium,best=A top_prob=0.409 side_gap=0.173 path_gap=0.310 entropy=0.472,hold_core,hold_core,non_overlap,stall_side_preserve,basis_balanced,0.2925636714304699,0.4657678963324905,0.2416684322370394,0.6550842195951769,0.3449157804048231,0.2424633027921404,0.4718743974595595,0.1900378043473281,0.5869705458524225,0.5357866668127131,0.2293700986397141,0.3732790295957687,0.397350871764517,0.0240718421687483,0.1679807731248028,1.0722980249185392,2,ARGMAX_BASE,0,D,D
round06,3,J1,水戸,FC東京,chaos_side_watch,away_watch,2,0.0,medium,best=A top_prob=0.413 side_gap=0.168 path_gap=0.461 entropy=0.529,hold_core,hold_core,non_overlap,stall_side_preserve,basis_balanced,0.2454194785541937,0.4270887561779917,0.3274917652678145,0.2696779172737601,0.7303220827262399,0.1862683737645978,0.5288464705441465,0.1369766606605231,0.5157920814846803,0.4527284615222992,0.2384038876668053,0.3595651731330314,0.4020309392001632,0.0424657660671318,0.1636270515333578,1.075946789404015,2,ARGMAX_BASE,0,D,D
round06,4,J1,京都,Ｃ大阪,chaos_side_watch,away_watch,2,0.0,low,best=A top_prob=0.402 side_gap=0.151 path_gap=0.221 entropy=0.471,hold_core,hold_core,non_overlap,stall_side_preserve,basis_balanced,0.2313093887990722,0.5041826800257825,0.2645079311751451,0.3892605863048871,0.6107394136951129,0.2286832852679031,0.470823910864069,0.2127135756659566,0.5934224862348922,0.509934704283589,0.2442070946693376,0.3648615054670006,0.3909313998636616,0.0260698943966609,0.1467243051943239,1.079307045286567,2,2AXIS_APPLIED_NO_SWITCH,2,A,A
round06,8,J1,鹿島,川崎Ｆ,chaos_side_watch,away_watch,2,0.0,low,best=A top_prob=0.354 side_gap=0.031 path_gap=0.426 entropy=0.514,draw_core,draw_core,non_overlap,balanced,basis_balanced,0.3132644935448184,0.4457306368077736,0.241004869647408,0.7129480298797425,0.2870519701202575,0.216676084872342,0.5135689004173611,0.2130884118331208,0.403867409406139,0.4511857511758984,0.3146747090744021,0.3405299713274252,0.3447953195981727,0.0042653482707475,0.0301206105237706,1.0978080669659254,0,2AXIS_CLOSE_DRAW,1,H,H
