round,role_family,topology_mode,hits,total,draw_count,sway_count,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,ticket_count
round02,draw,balanced,33,65,33,3,1,2,0,3,0,3,1,32,5
round02,swing,balanced,17,39,17,8,8,0,0,3,4,-1,3,14,3
round03,draw,balanced,25,65,23,4,2,0,2,2,2,0,2,23,5
round03,swing,balanced,14,39,11,6,4,0,2,2,3,-1,2,12,3
round05,draw,balanced,23,65,29,8,4,4,0,5,2,3,1,22,5
round05,swing,balanced,16,39,15,13,5,6,2,7,3,4,3,13,3
round06,draw,balanced,20,65,34,3,1,2,0,0,0,0,0,20,5
round06,swing,balanced,15,39,17,7,7,0,0,4,1,3,4,11,3
round07,draw,balanced,24,65,7,8,2,5,1,5,1,4,0,24,5
round07,swing,balanced,17,39,1,7,2,3,2,5,0,5,2,15,3
round08,draw,balanced,24,65,7,8,2,5,1,5,1,4,0,24,5
round08,swing,balanced,17,39,1,7,2,3,2,5,0,5,2,15,3
round09,draw,balanced,19,65,32,3,3,0,0,1,2,-1,1,18,5
round09,swing,balanced,11,39,15,5,5,0,0,1,2,-1,1,10,3
round10,draw,balanced,21,65,28,13,3,8,2,1,5,-4,1,20,5
round10,swing,balanced,12,39,14,7,3,0,4,1,4,-3,3,9,3
round11,draw,balanced,7,65,27,8,1,3,4,2,0,2,2,5,5
round11,swing,balanced,7,39,14,4,4,0,0,4,0,4,4,3,3
round12,draw,swing_heavy,12,45,11,10,4,4,2,3,1,2,3,9,5
round12,swing,swing_heavy,12,27,8,9,1,7,1,6,0,6,1,11,3
round13,draw,balanced,20,65,38,6,3,2,1,2,2,0,2,18,5
round13,swing,balanced,14,39,21,5,5,0,0,3,1,2,3,11,3
round14,draw,balanced,29,65,28,3,3,0,0,0,1,-1,0,29,5
round14,swing,balanced,14,39,12,5,1,2,2,0,4,-4,2,12,3
round15,draw,balanced,23,65,22,13,4,6,3,5,2,3,3,20,5
round15,swing,balanced,12,39,17,9,3,2,4,3,3,0,2,10,3
round16,draw,balanced,24,65,34,1,1,0,0,0,1,-1,0,24,5
round16,swing,balanced,17,39,17,8,6,2,0,4,2,2,2,15,3
round17,draw,balanced,15,60,21,9,0,6,3,5,0,5,1,14,5
round17,swing,balanced,7,36,13,6,3,2,1,3,2,1,1,6,3
