round,ticket,hits,total,hit_rate,draw_count,sway_count,role_family,role_mode,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,cluster_changes,basis_changes
round02,ticket02,8,13,0.6153846153846154,6,2,draw,none,1,1,0,2,0,2,1,7,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket03,6,13,0.4615384615384615,8,1,swing,none,1,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket05,7,13,0.5384615384615384,6,1,draw,none,0,1,0,1,0,1,0,7,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket06,6,13,0.4615384615384615,7,0,draw,skip,0,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket07,5,13,0.3846153846153846,4,5,swing,none,5,0,0,2,3,-1,2,3,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=1 trap=0 split=0 balanced=0
round02,ticket08,6,13,0.4615384615384615,7,0,draw,none,0,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket09,6,13,0.4615384615384615,7,0,draw,none,0,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round02,ticket10,6,13,0.4615384615384615,5,2,swing,none,2,0,0,1,1,0,1,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket02,5,13,0.3846153846153846,5,2,draw,none,1,0,1,1,1,0,1,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket03,4,13,0.3076923076923077,4,1,swing,none,1,0,0,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket05,4,13,0.3076923076923077,4,1,draw,none,0,0,1,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket06,6,13,0.4615384615384615,4,1,draw,skip,1,0,0,1,0,1,1,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket07,6,13,0.4615384615384615,4,3,swing,none,2,0,1,2,1,1,2,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round03,ticket08,5,13,0.3846153846153846,5,0,draw,none,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket09,5,13,0.3846153846153846,5,0,draw,none,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round03,ticket10,4,13,0.3076923076923077,3,2,swing,none,1,0,1,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round05,ticket02,5,13,0.3846153846153846,5,2,draw,none,1,1,0,1,0,1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round05,ticket03,5,13,0.3846153846153846,6,4,swing,none,1,2,1,2,1,1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round05,ticket05,6,13,0.4615384615384615,7,4,draw,none,2,2,0,3,1,2,1,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round05,ticket06,3,13,0.2307692307692307,5,1,draw,skip,1,0,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
