round,topology_mode,ticket01_hit_rate,best_ticket,best_hit_rate,draw_family_base_net_gain,swing_family_base_net_gain,unique_ticket_count,duplicate_count,dashboard_note
round02,balanced,0.4615384615384615,ticket02,0.6153846153846154,3,-1,7,3,重複あり
round03,balanced,0.3846153846153846,ticket06,0.4615384615384615,0,-1,8,2,重複あり
round04,unknown,0.1538461538461538,ticket01,0.1538461538461538,0,0,1,9,重複あり
round05,balanced,0.3076923076923077,ticket10,0.6153846153846154,3,4,9,1,重複あり
round06,balanced,0.3076923076923077,ticket10,0.5384615384615384,0,3,7,3,重複あり
round07,balanced,0.3076923076923077,ticket10,0.5384615384615384,4,5,10,0,swing familyが相対優勢
round08,balanced,0.3076923076923077,ticket10,0.5384615384615384,4,5,10,0,swing familyが相対優勢
round09,balanced,0.3076923076923077,ticket02,0.3846153846153846,-1,-1,7,3,重複あり
round10,balanced,0.3846153846153846,ticket04,0.5384615384615384,-4,-3,10,0,base依存が強い節
round11,balanced,0.0769230769230769,ticket07,0.2307692307692307,2,4,9,1,重複あり
round12,swing_heavy,0.2222222222222222,ticket03,0.5555555555555556,2,6,10,0,swing familyが効いた節
round13,balanced,0.3076923076923077,ticket02,0.4615384615384615,0,2,9,1,重複あり
round14,balanced,0.4615384615384615,ticket01,0.4615384615384615,-1,-4,7,3,重複あり
round15,balanced,0.3076923076923077,ticket02,0.3846153846153846,3,0,10,0,draw familyが相対優勢
round16,balanced,0.3846153846153846,ticket07,0.6153846153846154,-1,2,6,4,重複あり
round17,balanced,0.1666666666666666,ticket04,0.3333333333333333,5,1,10,0,draw familyが相対優勢
