purchase_type_confidence,match_purchase_type,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue,all_same_count,all_same_rate,all_same_side_count,all_same_side_rate
high,chaos_draw_watch,32.0,5.0,7.0,15.0,0.15625,0.21875,0.46875,11.0,0.34375,53.0,1.65625,16.0,0.0,16.0,0.5,10.0,0.3125,10.0,0.3125
high,chaos_side_watch,8.0,1.0,4.0,2.0,0.125,0.5,0.25,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,1.0
high,draw_trap,7.0,2.0,4.0,1.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,3.0,0.42857142857142855,4.0,0.5714285714285714,2.0,0.0,2.0,0.2857142857142857,4.0,0.5714285714285714,4.0,0.5714285714285714
high,j2_draw_trap,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
low,chaos_draw_watch,18.0,12.0,3.0,2.0,0.6666666666666666,0.16666666666666666,0.1111111111111111,4.0,0.2222222222222222,15.0,0.8333333333333334,9.0,2.0,7.0,0.3888888888888889,13.0,0.7222222222222222,13.0,0.7222222222222222
low,chaos_flat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
low,chaos_side_watch,14.0,8.0,1.0,5.0,0.5714285714285714,0.07142857142857142,0.35714285714285715,4.0,0.2857142857142857,3.0,0.21428571428571427,1.0,2.0,-1.0,-0.07142857142857142,11.0,0.7857142857142857,11.0,0.7857142857142857
low,draw_trap,4.0,3.0,0.0,1.0,0.75,0.0,0.25,2.0,0.5,2.0,0.5,0.0,2.0,-2.0,-0.5,3.0,0.75,3.0,0.75
low,home_reversal_watch,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,4.2,21.0,0.0,21.0,4.2,0.0,0.0,0.0,0.0
low,j2_directional_stall,9.0,3.0,1.0,4.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,5.0,0.5555555555555556,1.0,0.1111111111111111,0.0,1.0,-1.0,-0.1111111111111111,8.0,0.8888888888888888,8.0,0.8888888888888888
low,j2_draw_trap,7.0,3.0,2.0,0.0,0.42857142857142855,0.2857142857142857,0.0,3.0,0.42857142857142855,8.0,1.1428571428571428,0.0,0.0,0.0,0.0,5.0,0.7142857142857143,5.0,0.7142857142857143
medium,chaos_draw_watch,49.0,17.0,20.0,11.0,0.3469387755102041,0.40816326530612246,0.22448979591836735,13.0,0.2653061224489796,31.0,0.6326530612244898,11.0,0.0,11.0,0.22448979591836735,38.0,0.7755102040816326,38.0,0.7755102040816326
medium,chaos_side_watch,21.0,6.0,8.0,4.0,0.2857142857142857,0.38095238095238093,0.19047619047619047,5.0,0.23809523809523808,7.0,0.3333333333333333,2.0,1.0,1.0,0.047619047619047616,16.0,0.7619047619047619,16.0,0.7619047619047619
medium,draw_trap,7.0,1.0,2.0,3.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0,0.14285714285714285,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,6.0,0.8571428571428571,6.0,0.8571428571428571
medium,home_reversal_watch,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
medium,j2_draw_trap,6.0,2.0,0.0,4.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.3333333333333333,9.0,1.5,4.0,0.0,4.0,0.6666666666666666,5.0,0.8333333333333334,5.0,0.8333333333333334
unknown,unclassified,18.0,2.0,5.0,6.0,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0
